,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.22761744,0.67367315,0.30040926,0.21654615,0.74559295,0.39963943,0.21942836,0.71191406,0.34472656
1,2,0.21356642,0.7217263,0.35342264,0.20249416,0.7828526,0.4471154,0.20578425,0.74544275,0.38378906
2,3,0.20061234,0.74981403,0.38783485,0.19112775,0.78135014,0.44831732,0.19530737,0.7542318,0.39648438
3,4,0.19177751,0.7521081,0.39285716,0.18185186,0.7916667,0.4705529,0.1855132,0.7623698,0.4140625
4,5,0.18320805,0.75471234,0.40029764,0.1742292,0.78826123,0.45853364,0.17805663,0.76171875,0.40722656
5,6,0.17650455,0.7570065,0.405878,0.16821793,0.79246795,0.4720553,0.17236543,0.76660156,0.4248047
6,7,0.17007113,0.76171875,0.41313243,0.16310114,0.7928686,0.48076922,0.16664602,0.76888025,0.42871094
7,8,0.1661858,0.7591766,0.41071433,0.15862909,0.79407054,0.47866586,0.16374269,0.76464844,0.42089844
8,9,0.16403069,0.75632447,0.40718007,0.1557679,0.7956731,0.48046875,0.16029185,0.7669271,0.4267578
9,10,0.1598109,0.7660591,0.41796875,0.15296149,0.7975762,0.4861779,0.1573686,0.77376306,0.43554688
10,11,0.15793288,0.76754713,0.42280507,0.15095937,0.7984776,0.48707932,0.15504417,0.77441406,0.43359375
11,12,0.15599899,0.77002734,0.42503724,0.15002945,0.80198324,0.50030047,0.15376121,0.7792969,0.4482422
12,13,0.15430564,0.76990336,0.4276414,0.14765227,0.80248404,0.4981971,0.15205555,0.77962244,0.45117188
13,14,0.15319046,0.77411956,0.43768603,0.14603561,0.802484,0.50090146,0.15091577,0.7825521,0.45996094
14,15,0.15088531,0.77870786,0.44977683,0.14480573,0.8056891,0.5105168,0.14853677,0.78776044,0.4716797
15,16,0.14873224,0.7845983,0.46781993,0.14396739,0.8089944,0.5177283,0.14794531,0.78776044,0.47460938
16,17,0.14775135,0.7894966,0.4778646,0.14150615,0.8163061,0.5405649,0.14658341,0.7965495,0.49609375
17,18,0.14569417,0.79340285,0.48995537,0.1414729,0.8145032,0.5333533,0.14477031,0.79752606,0.5019531
18,19,0.14553252,0.79303074,0.49386162,0.13970299,0.8184095,0.5438702,0.14247186,0.80501306,0.5175781
