"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,1,1,1,1,1,1,1
"ID2",1,0,0,1,0,1,1,1,1,1
"ID3",0,1,1,1,0,0,1,0,1,1
"ID4",0,0,1,0,1,1,1,0,0,1
"ID5",1,0,1,0,0,0,1,1,1,0
"ID6",0,1,0,0,0,0,0,0,1,0
"ID7",0,1,0,0,0,1,0,1,0,1
"ID8",0,1,0,0,0,1,1,0,0,0
"ID9",0,1,1,0,0,0,1,0,1,0
"ID10",0,0,0,1,1,0,0,1,1,0
"ID11",0,0,1,1,0,1,0,0,0,1
"ID12",0,1,1,0,0,0,1,1,1,1
"ID13",0,1,1,0,1,1,1,0,1,1
"ID14",0,0,1,0,1,0,1,0,1,0
"ID15",0,0,1,0,1,1,1,1,1,1
"ID16",0,0,1,0,1,1,1,0,1,0
"ID17",0,1,0,0,1,1,1,0,1,1
"ID18",0,0,1,0,0,0,0,0,1,1
"ID19",0,1,0,0,1,1,0,0,0,0
"ID20",0,1,1,0,1,0,1,1,0,1
"ID21",1,1,1,0,1,0,1,1,1,1
"ID22",0,0,1,0,1,0,0,0,0,0
"ID23",0,0,1,1,1,0,1,1,1,0
"ID24",0,0,1,1,0,1,0,0,0,1
"ID25",0,0,1,0,1,1,0,1,1,1
"ID26",1,0,1,0,0,0,1,0,1,0
"ID27",1,1,0,0,0,0,1,1,1,1
"ID28",0,1,1,0,1,1,1,1,0,1
"ID29",0,1,0,0,1,1,1,1,0,0
"ID30",0,1,0,0,1,1,0,1,1,1
"ID31",0,1,1,1,0,1,1,0,1,0
"ID32",0,0,0,0,0,0,0,0,0,0
"ID33",1,1,1,1,0,0,1,0,1,1
"ID34",0,1,1,0,1,1,1,1,1,1
"ID35",0,1,0,0,0,0,1,1,1,0
"ID36",0,0,1,0,1,0,0,0,0,1
"ID37",0,0,1,0,0,1,1,0,1,0
"ID38",0,0,1,1,0,0,0,0,1,1
"ID39",1,1,1,1,0,1,1,0,1,0
"ID40",0,0,0,0,0,0,1,0,0,1
"ID41",0,1,0,0,1,1,1,0,1,1
"ID42",0,1,1,0,1,0,1,1,1,1
"ID43",0,0,0,1,0,0,1,0,0,0
"ID44",0,1,1,0,1,0,1,1,1,0
"ID45",1,1,1,0,1,1,0,0,1,1
"ID46",1,0,0,0,0,1,1,0,0,0
"ID47",0,1,1,1,0,1,0,0,1,1
"ID48",0,0,0,0,0,0,1,0,1,0
"ID49",0,1,1,0,0,0,0,0,1,0
"ID50",1,0,1,1,0,0,1,1,1,1
"ID51",1,1,1,1,1,0,0,0,0,1
"ID52",0,0,0,0,1,1,0,1,1,1
"ID53",0,0,0,0,1,0,1,0,1,0
"ID54",0,1,0,1,1,1,1,1,1,1
"ID55",0,0,1,1,0,0,1,1,1,1
"ID56",1,1,1,1,0,0,1,0,0,0
"ID57",0,1,1,0,1,1,1,0,1,0
"ID58",1,0,1,1,1,0,1,0,1,1
"ID59",0,1,1,0,1,1,1,1,1,0
"ID60",0,0,1,0,1,1,0,0,1,1
"ID61",0,1,1,0,1,0,1,1,1,1
"ID62",0,0,0,0,1,1,1,0,0,1
"ID63",1,0,1,1,1,0,0,1,1,1
"ID64",0,1,1,0,1,1,1,0,0,1
"ID65",0,0,0,0,0,0,1,0,0,0
"ID66",0,1,1,0,1,1,1,1,1,1
"ID67",0,1,1,1,1,0,0,1,0,0
"ID68",0,0,0,1,0,1,1,1,1,1
"ID69",1,1,1,1,1,1,1,0,1,1
"ID70",0,1,1,0,1,1,1,0,1,0
"ID71",0,0,1,1,0,0,1,0,0,0
"ID72",1,1,1,1,1,1,1,1,1,1
"ID73",0,1,0,1,1,1,1,1,1,1
"ID74",0,0,0,0,0,0,0,0,1,0
"ID75",0,0,1,0,0,0,1,0,0,1
"ID76",0,1,1,1,0,1,1,1,1,1
"ID77",0,1,1,1,1,1,1,0,1,0
"ID78",1,1,1,1,0,1,0,1,1,1
"ID79",0,1,1,0,1,0,1,0,0,1
"ID80",1,1,1,0,1,0,0,1,1,1
"ID81",1,1,1,1,1,1,1,0,1,1
"ID82",0,1,1,1,0,1,0,1,0,1
"ID83",0,1,0,0,1,0,0,1,1,1
"ID84",0,1,1,0,1,1,1,1,1,1
"ID85",0,0,1,0,1,0,1,0,0,0
"ID86",0,1,1,0,1,0,0,0,1,0
"ID87",0,1,1,0,1,1,1,0,1,1
"ID88",0,1,0,1,0,1,1,1,0,1
"ID89",0,0,1,1,0,1,1,1,1,1
"ID90",1,1,1,1,1,1,1,0,1,1
"ID91",1,1,1,0,1,1,1,0,1,1
"ID92",0,1,1,0,1,0,1,1,1,0
"ID93",0,0,1,1,1,0,1,1,0,1
"ID94",0,0,0,0,0,0,1,0,0,0
"ID95",0,1,1,0,0,0,1,1,1,1
"ID96",0,0,1,0,1,1,1,1,0,0
"ID97",0,1,1,0,1,0,0,0,1,1
"ID98",0,0,0,1,0,0,1,1,1,0
