,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.2434848,0.5807292,0.11328125,0.24026117,0.604798,0.22727273,0.24002293,0.6003472,0.221875
1,2,0.24177851,0.5572917,0.2421875,0.23187336,0.6792929,0.3598485,0.23572007,0.6586806,0.36458334
2,3,0.22986446,0.7161459,0.47265625,0.22894168,0.71433085,0.48295456,0.23013459,0.70312506,0.43958336
3,4,0.22576332,0.7434896,0.515625,0.22367638,0.7414774,0.51420456,0.22511049,0.72430557,0.48020837
4,5,0.22719705,0.7161459,0.4140625,0.22164023,0.73263896,0.46496212,0.22056353,0.7319445,0.478125
5,6,0.21654944,0.76171875,0.54296875,0.21183817,0.81313133,0.6164773,0.21615958,0.7586806,0.5208334
6,7,0.20957054,0.7838542,0.578125,0.20674793,0.8169192,0.6373106,0.21275134,0.7614584,0.53854173
7,8,0.2040241,0.79296875,0.59375,0.20515577,0.8039774,0.62784094,0.2073762,0.7840279,0.56979173
8,9,0.20807546,0.7604167,0.48828125,0.19702238,0.823548,0.6676137,0.20244394,0.7809028,0.5791667
9,10,0.2001883,0.796875,0.6171875,0.19679546,0.7837753,0.5880682,0.19927837,0.76909727,0.5604167
10,11,0.19617388,0.7942709,0.61328125,0.18673566,0.83364904,0.6780304,0.19558126,0.76840276,0.55833334
11,12,0.19180462,0.7981771,0.6171875,0.1898474,0.7973485,0.61837125,0.19086857,0.7777778,0.57708335
12,13,0.18701482,0.7981771,0.6171875,0.19174933,0.74747485,0.5587121,0.18550965,0.7836806,0.58750004
13,14,0.1992572,0.67578125,0.49609375,0.18444273,0.77051777,0.5880682,0.18502891,0.76944447,0.5635417
14,15,0.18987644,0.75651044,0.49609375,0.17361419,0.8036617,0.62784094,0.18105242,0.77291673,0.57395834
15,16,0.17300633,0.796875,0.6171875,0.1705402,0.790404,0.62784094,0.17560978,0.77986115,0.58958334
16,17,0.1702446,0.796875,0.6171875,0.16836774,0.7904041,0.60795456,0.17311214,0.77638894,0.5791667
17,18,0.16443923,0.796875,0.6171875,0.15936857,0.8169192,0.62784094,0.17043968,0.77638894,0.57395834
18,19,0.1826533,0.7161459,0.49609375,0.17344765,0.76388896,0.5482955,0.16896562,0.77291673,0.56875
19,20,0.16028862,0.796875,0.6171875,0.15780948,0.79703283,0.60795456,0.16710639,0.76944447,0.5635417
20,21,0.18079464,0.7161459,0.49609375,0.15788852,0.790404,0.60795456,0.16484103,0.77118057,0.5635417
21,22,0.1628592,0.796875,0.6171875,0.15830807,0.78377527,0.5880682,0.16034178,0.77465284,0.56875
22,23,0.1765117,0.7161459,0.49609375,0.14697894,0.8169192,0.6477273,0.16189717,0.76597226,0.55833334
23,24,0.1739412,0.7161459,0.49609375,0.1498473,0.790404,0.62784094,0.1565857,0.77638894,0.57395834
24,25,0.1797562,0.67578125,0.49609375,0.1489733,0.790404,0.60795456,0.15609688,0.77118057,0.5635417
25,26,0.14747787,0.796875,0.6171875,0.14685243,0.78377527,0.60795456,0.15335166,0.7746528,0.56875
26,27,0.15189144,0.796875,0.6171875,0.14427845,0.79703283,0.5880682,0.14999445,0.778125,0.57395834
27,28,0.15748245,0.75651044,0.49609375,0.14275756,0.7837753,0.60795456,0.14828017,0.77812505,0.57395834
28,29,0.14233807,0.796875,0.6171875,0.1339797,0.8169192,0.62784094,0.14466189,0.78333336,0.58958334
29,30,0.14688733,0.796875,0.6171875,0.14082077,0.78377527,0.60795456,0.14993237,0.76423615,0.553125
30,31,0.15194815,0.75651044,0.49609375,0.12662548,0.83017683,0.6676137,0.14630663,0.77291673,0.56875
31,32,0.1373482,0.796875,0.6171875,0.12615857,0.8169192,0.6676137,0.14332551,0.7746528,0.5791667
32,33,0.14174876,0.796875,0.6171875,0.13806048,0.78377527,0.5681819,0.14110069,0.778125,0.57395834
33,34,0.15029642,0.75651044,0.49609375,0.144304,0.75063133,0.5482955,0.13830106,0.78333336,0.584375
34,35,0.16171002,0.7161459,0.49609375,0.13760316,0.76388896,0.5880682,0.13930054,0.77465284,0.5791667
35,36,0.14922443,0.75651044,0.49609375,0.124781236,0.8036617,0.62784094,0.14035301,0.76944447,0.56875
36,37,0.13054793,0.796875,0.6171875,0.1244972,0.8036617,0.62784094,0.13486326,0.77986115,0.58958334
37,38,0.16699184,0.7161459,0.49609375,0.12874353,0.78377527,0.5681819,0.13584943,0.77465284,0.5791667
38,39,0.15650763,0.7161459,0.49609375,0.13124472,0.7837753,0.5880682,0.13931222,0.76423615,0.553125
39,40,0.16535902,0.67578125,0.49609375,0.11610212,0.81029046,0.6477273,0.13569397,0.76944447,0.56875
40,41,0.12522449,0.796875,0.6171875,0.11465361,0.8169192,0.6477273,0.13717951,0.76597226,0.5479167
41,42,0.14357956,0.75651044,0.49609375,0.12166425,0.7904041,0.60795456,0.13252647,0.7746528,0.5791667
42,43,0.13959646,0.75651044,0.49609375,0.11470758,0.81029046,0.62784094,0.13053226,0.778125,0.5791667
43,44,0.12200667,0.796875,0.6171875,0.122382045,0.79703283,0.60795456,0.13190988,0.77291673,0.57395834
44,45,0.14292426,0.75651044,0.49609375,0.119847015,0.7904041,0.5880682,0.13159189,0.77291673,0.57395834
45,46,0.1236635,0.796875,0.6171875,0.1217294,0.790404,0.60795456,0.1306512,0.76944447,0.5635417
46,47,0.124862075,0.796875,0.6171875,0.11671586,0.79703283,0.60795456,0.12981191,0.76944447,0.57395834
47,48,0.12158888,0.796875,0.6171875,0.11224115,0.81029046,0.60795456,0.126815,0.77986115,0.5791667
48,49,0.1457605,0.75651044,0.49609375,0.120087266,0.7837753,0.5880682,0.13073994,0.76597226,0.55833334
49,50,0.11910439,0.796875,0.6171875,0.1247897,0.7771465,0.5681819,0.12673454,0.77638894,0.56875
50,51,0.14953756,0.7161459,0.49609375,0.114623204,0.79703283,0.60795456,0.12794529,0.76944447,0.5635417
51,52,0.11828621,0.796875,0.6171875,0.11298524,0.7904041,0.60795456,0.12283405,0.77986115,0.5791667
52,53,0.13251184,0.75651044,0.49609375,0.11858156,0.77051777,0.5880682,0.12583022,0.77291673,0.56875
53,54,0.11740623,0.796875,0.6171875,0.12183993,0.7771465,0.5681819,0.12633649,0.76770836,0.5635417
54,55,0.119478434,0.796875,0.6171875,0.107650876,0.8036617,0.62784094,0.12120082,0.77986115,0.5791667
55,56,0.1131604,0.796875,0.6171875,0.12546618,0.75063133,0.5681819,0.12101995,0.77812505,0.584375
56,57,0.11537778,0.796875,0.6171875,0.10519491,0.8036617,0.60795456,0.12090889,0.77986115,0.5791667
57,58,0.11315858,0.796875,0.6171875,0.11142447,0.790404,0.5880682,0.12198146,0.77118057,0.56875
58,59,0.11196262,0.796875,0.6171875,0.10330971,0.8036617,0.6477273,0.12041266,0.77638894,0.57395834
59,60,0.12811509,0.75651044,0.49609375,0.11204666,0.790404,0.5880682,0.120728515,0.7746528,0.5635417
60,61,0.11227688,0.796875,0.6171875,0.11000734,0.7771465,0.5880682,0.11932542,0.778125,0.584375
61,62,0.11068116,0.796875,0.6171875,0.114290744,0.78409094,0.5880682,0.11593526,0.78854173,0.58958334
62,63,0.11010419,0.8020834,0.6171875,0.11072147,0.7945077,0.5984849,0.120995976,0.77986115,0.5666667
63,64,0.13288352,0.7630209,0.49609375,0.096188866,0.8409092,0.658144,0.11770473,0.78854173,0.5822917
64,65,0.109888986,0.80338544,0.6171875,0.109122746,0.80113643,0.5984849,0.123202555,0.77638894,0.55625004
65,66,0.14266723,0.72265625,0.49609375,0.10103379,0.814394,0.61837125,0.118004374,0.7850695,0.57187504
66,67,0.1284192,0.7630209,0.49609375,0.10906961,0.8077652,0.5984849,0.11432848,0.79201394,0.58750004
67,68,0.10845557,0.80338544,0.6171875,0.09629005,0.8342804,0.658144,0.11889565,0.77812505,0.56145835
68,69,0.110002175,0.80338544,0.6171875,0.113135085,0.7945077,0.5785985,0.11439454,0.78854173,0.5822917
69,70,0.1060006,0.80338544,0.6171875,0.098224655,0.8276515,0.61837125,0.11905583,0.77465284,0.56145835
70,71,0.1452088,0.6822917,0.49609375,0.095295906,0.8409092,0.658144,0.11482829,0.78680557,0.57708335
71,72,0.12836301,0.7630209,0.49609375,0.10757488,0.7945077,0.5785985,0.11661781,0.78159726,0.5666667
72,73,0.10502393,0.80338544,0.6171875,0.09771206,0.82102275,0.61837125,0.114591375,0.78506947,0.57187504
73,74,0.12365469,0.7630209,0.49609375,0.103076994,0.8077652,0.5984849,0.11098271,0.79027784,0.58750004
74,75,0.10458639,0.80338544,0.6171875,0.10601755,0.8011364,0.5785985,0.11227971,0.78680557,0.5822917
75,76,0.1349644,0.72265625,0.49609375,0.10515201,0.8077652,0.5984849,0.11109932,0.79131955,0.58750004
76,77,0.10306799,0.8046875,0.6171875,0.09869486,0.8276515,0.6382576,0.10863717,0.7947917,0.58750004
77,78,0.12494442,0.76432294,0.49609375,0.104441896,0.814394,0.61837125,0.11770532,0.77152777,0.5510417
78,79,0.1036903,0.8072917,0.6171875,0.11180767,0.78125,0.5785985,0.11011069,0.7916667,0.57708335
79,80,0.10343669,0.80859375,0.6171875,0.10503616,0.8213384,0.5785985,0.108977556,0.80034727,0.58541673
80,81,0.10365558,0.81119794,0.62109375,0.09875965,0.8213384,0.61837125,0.10972416,0.79687506,0.58020836
81,82,0.11804192,0.7708334,0.5,0.10264774,0.8213384,0.5984849,0.11041784,0.7916667,0.575
82,83,0.100711726,0.8177084,0.625,0.09793895,0.8380682,0.61837125,0.11027696,0.7996528,0.578125
83,84,0.14590125,0.6966146,0.50390625,0.100665435,0.8181819,0.5785985,0.1078303,0.8069445,0.59375
84,85,0.10083548,0.8203125,0.625,0.09398958,0.83143944,0.61837125,0.108216144,0.80347234,0.578125
85,86,0.10029667,0.8203125,0.625,0.08711314,0.85132587,0.6780304,0.10902337,0.80173606,0.578125
86,87,0.098924726,0.8203125,0.625,0.10626851,0.8181819,0.5785985,0.10888046,0.80277777,0.5864584
87,88,0.10219215,0.8216146,0.62890625,0.09917366,0.8248107,0.61837125,0.10901544,0.80451393,0.5760417
88,89,0.10014307,0.8216146,0.62890625,0.096796535,0.8380682,0.6382576,0.105096035,0.80972224,0.596875
89,90,0.12472214,0.78125,0.5078125,0.0989575,0.82828283,0.5785985,0.106597796,0.8072917,0.5864584
90,91,0.12501472,0.7838542,0.5078125,0.09285977,0.8481692,0.6382576,0.107861854,0.80972224,0.5864584
91,92,0.13710052,0.75390625,0.5078125,0.09374432,0.84880054,0.63920456,0.10900664,0.81770843,0.590625
92,93,0.12758407,0.7552084,0.51171875,0.09831696,0.8421718,0.63920456,0.105743185,0.8229167,0.59583336
93,94,0.09805399,0.8359375,0.6328125,0.09399313,0.85542935,0.65909094,0.10573955,0.8229167,0.59583336
94,95,0.09744267,0.8359375,0.6328125,0.089459285,0.85542935,0.65909094,0.107370295,0.8229167,0.59583336
95,96,0.10098638,0.8359375,0.6328125,0.091397785,0.85542935,0.65909094,0.10591765,0.8211805,0.59583336
96,97,0.09610067,0.8359375,0.6328125,0.0876665,0.8620581,0.6789774,0.10064246,0.83159727,0.61666673
97,98,0.116833165,0.79557294,0.51171875,0.084896654,0.8686869,0.6988637,0.1049655,0.82465285,0.59583336
98,99,0.11788034,0.79557294,0.51171875,0.08998205,0.85542935,0.63920456,0.104899846,0.8211805,0.59583336
99,100,0.11379383,0.79557294,0.51171875,0.093284786,0.8421718,0.63920456,0.10150345,0.828125,0.61145836
100,101,0.12127632,0.79557294,0.51171875,0.09415477,0.8421718,0.63920456,0.10321794,0.82118064,0.59583336
101,102,0.09480492,0.8359375,0.6328125,0.097106144,0.8421718,0.6193182,0.1022985,0.8246528,0.59583336
102,103,0.0973233,0.8359375,0.6328125,0.08917862,0.85542935,0.65909094,0.10410147,0.81770843,0.58541673
103,104,0.112548426,0.79557294,0.51171875,0.08843054,0.85542935,0.63920456,0.10134456,0.8229167,0.60104173
104,105,0.12025675,0.79557294,0.51171875,0.09855046,0.83554304,0.6193182,0.10135567,0.82465285,0.60104173
105,106,0.11933948,0.79557294,0.51171875,0.100701384,0.8355429,0.5994319,0.100127116,0.82638896,0.60625
106,107,0.11584583,0.8359375,0.6328125,0.088107884,0.85542935,0.65909094,0.10564166,0.8125,0.575
107,108,0.09499903,0.8359375,0.6328125,0.0833904,0.88194454,0.71875,0.1048662,0.81770843,0.58541673
108,109,0.12222173,0.7552084,0.51171875,0.092823714,0.85542935,0.63920456,0.09960242,0.82465285,0.60625
109,110,0.093235925,0.8359375,0.6328125,0.081012234,0.87531567,0.6988637,0.101210825,0.82118064,0.59583336
110,111,0.09258438,0.8359375,0.6328125,0.08307561,0.8620581,0.65909094,0.10153689,0.8229167,0.60104173
111,112,0.09260893,0.8359375,0.6328125,0.082567126,0.8686869,0.6789774,0.10231211,0.8194445,0.590625
112,113,0.12028005,0.79557294,0.51171875,0.100165986,0.82891417,0.6193182,0.09798037,0.82638896,0.60625
