,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.22834565,0.640625,0.278125,0.21523285,0.6923077,0.23076925,0.22850996,0.6296296,0.18055555
1,2,0.22946557,0.6125,0.19375,0.21435055,0.6923077,0.23076925,0.22868851,0.630787,0.19270834
2,3,0.2342399,0.6177083,0.19375,0.21348755,0.6923077,0.23076925,0.22779912,0.62673616,0.16840278
3,4,0.21536183,0.6458334,0.109375,0.21259327,0.6923077,0.23076925,0.22468367,0.6469908,0.18055555
4,5,0.22619164,0.6177083,0.19375,0.21166733,0.6923077,0.23076925,0.22515365,0.6429398,0.2170139
5,6,0.23293167,0.6458334,0.109375,0.21092437,0.6923077,0.23076925,0.22325969,0.6510417,0.2170139
6,7,0.2210078,0.67395836,0.19375,0.21012196,0.6923077,0.23076925,0.22453225,0.6469908,0.2048611
7,8,0.21600296,0.67395836,0.3625,0.20914581,0.6923077,0.23076925,0.21833459,0.6510417,0.19270834
8,9,0.22872993,0.6177083,0.19375,0.20825581,0.6923077,0.23076925,0.21778293,0.681713,0.27256945
9,10,0.24238943,0.6,0.140625,0.20748715,0.6923077,0.23076925,0.22049814,0.6574074,0.2361111
10,11,0.21621083,0.740625,0.39375,0.2066046,0.6923077,0.23076925,0.21993089,0.6493056,0.21180555
11,12,0.22990882,0.628125,0.140625,0.20568995,0.6923077,0.23076925,0.21713749,0.6736111,0.2604167
12,13,0.22516076,0.68437505,0.309375,0.204879,0.6923077,0.23076925,0.21992317,0.6493056,0.2361111
13,14,0.21352875,0.68437505,0.309375,0.20402493,0.6923077,0.23076925,0.21767727,0.6655093,0.2482639
14,15,0.23588055,0.628125,0.225,0.20327096,0.6923077,0.23076925,0.21695971,0.67476857,0.27256945
15,16,0.22410911,0.6614584,0.225,0.20261809,0.6923077,0.23076925,0.21413621,0.67476857,0.2482639
16,17,0.22009774,0.6614584,0.225,0.20162475,0.6923077,0.23076925,0.21687987,0.6626158,0.22395834
17,18,0.21753217,0.68958336,0.309375,0.2009119,0.6923077,0.23076925,0.2156826,0.6799768,0.27256945
18,19,0.2239874,0.6666667,0.225,0.19997281,0.6923077,0.23076925,0.2153237,0.6799768,0.2604167
19,20,0.22282743,0.6385417,0.225,0.19925474,0.6923077,0.23076925,0.21250018,0.6840278,0.2361111
20,21,0.2097592,0.7229167,0.309375,0.19842732,0.6923077,0.23076925,0.21406461,0.6892361,0.2361111
21,22,0.2184046,0.70000005,0.309375,0.19768582,0.6923077,0.23076925,0.21448837,0.6730324,0.21180555
22,23,0.21860863,0.70000005,0.309375,0.19694944,0.6923077,0.23076925,0.20772426,0.7054398,0.2847222
23,24,0.20318112,0.72812504,0.309375,0.19606474,0.6923077,0.23076925,0.21116884,0.6863426,0.2361111
24,25,0.21006973,0.70520836,0.225,0.19517107,0.6923077,0.23076925,0.21356812,0.6741898,0.22395834
25,26,0.21075137,0.70520836,0.309375,0.19436444,0.6923077,0.23076925,0.21008205,0.6863426,0.22395834
