,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.27074218,0.2947917,0.0,0.2692658,0.30769232,0.0,0.26681906,0.3292824,0.0
1,2,0.26551905,0.3385417,0.0,0.26864243,0.30769232,0.0,0.2657972,0.3414352,0.0
2,3,0.25901777,0.42291668,0.0,0.26852039,0.30769232,0.0,0.26880485,0.3130787,0.0
3,4,0.26612335,0.36666667,0.0,0.26791358,0.30769232,0.0,0.26601213,0.3292824,0.0
4,5,0.2708843,0.28229168,0.0,0.26737043,0.30769232,0.0,0.26564577,0.3292824,0.0
5,6,0.25574833,0.4510417,0.0,0.2669087,0.30769232,0.0,0.26420885,0.3454861,0.0
6,7,0.26531538,0.3385417,0.0,0.26635975,0.30769232,0.0,0.26350498,0.33738428,0.0
7,8,0.26452973,0.36666667,0.0,0.26585013,0.30769232,0.0,0.2650294,0.3252315,0.0
8,9,0.26759523,0.3104167,0.0,0.2653421,0.30769232,0.0,0.26298124,0.33333334,0.0
9,10,0.25661117,0.3947917,0.0,0.26491547,0.30769232,0.0,0.2614982,0.3454861,0.0
10,11,0.26510683,0.28229168,0.0,0.26443914,0.33333334,0.07692308,0.26129702,0.3547454,0.027777778
11,12,0.2661297,0.28229168,0.0,0.26396337,0.33333334,0.07692308,0.26051396,0.34953704,0.027777778
12,13,0.25664598,0.36145836,0.0,0.26359794,0.33333334,0.07692308,0.25956595,0.3628472,0.043402776
13,14,0.2604376,0.3385417,0.015625,0.2631281,0.33333334,0.07692308,0.25991285,0.3587963,0.055555556
14,15,0.25729653,0.36666667,0.015625,0.26278168,0.33333334,0.07692308,0.26173383,0.3304398,0.03125
15,16,0.25530845,0.36666667,0.1,0.2624287,0.33333334,0.07692308,0.26035196,0.35185188,0.043402776
16,17,0.26168007,0.34375,0.015625,0.26195663,0.35897437,0.07692308,0.26035327,0.3449074,0.03125
17,18,0.26114187,0.34375,0.015625,0.26146078,0.35897437,0.07692308,0.26202136,0.3298611,0.046875
18,19,0.2571205,0.32083333,0.03125,0.26113868,0.35897437,0.07692308,0.25993758,0.3582176,0.059027776
19,20,0.25668406,0.37708336,0.115625,0.26080602,0.3846154,0.15384616,0.25912476,0.36863428,0.074652776
20,21,0.26033127,0.3541667,0.03125,0.26037467,0.3846154,0.15384616,0.2590031,0.3767361,0.098958336
21,22,0.25595558,0.38229167,0.03125,0.25985372,0.3846154,0.15384616,0.25761235,0.38194445,0.074652776
22,23,0.25395858,0.38750002,0.115625,0.25945678,0.3846154,0.15384616,0.2580792,0.38425928,0.10243055
23,24,0.2553405,0.4260417,0.13125,0.25902098,0.3846154,0.15384616,0.25837404,0.390625,0.090277776
24,25,0.25502113,0.40833336,0.046875,0.25864762,0.3846154,0.15384616,0.2570811,0.3946759,0.090277776
25,26,0.2520769,0.46979168,0.146875,0.25823942,0.3846154,0.15384616,0.25539884,0.4322917,0.13020834
26,27,0.25577527,0.3854167,0.0625,0.2577418,0.3846154,0.15384616,0.2574718,0.4010417,0.105902776
27,28,0.25348833,0.503125,0.146875,0.2575173,0.3846154,0.15384616,0.25552982,0.4375,0.13020834
28,29,0.2550289,0.47500002,0.146875,0.257068,0.3846154,0.15384616,0.2560885,0.4172454,0.11805555
29,30,0.26350302,0.3625,0.0625,0.25661713,0.41025642,0.15384616,0.2574335,0.4045139,0.09375
30,31,0.25000346,0.48541668,0.146875,0.25619772,0.3846154,0.07692308,0.25359684,0.4554398,0.13020834
31,32,0.2514729,0.50104165,0.1625,0.25574526,0.43589744,0.23076925,0.25338393,0.4988426,0.1736111
32,33,0.24915254,0.51666665,0.246875,0.2553308,0.43589744,0.23076925,0.25469923,0.4837963,0.13368055
33,34,0.25557014,0.47083336,0.146875,0.25476706,0.43589744,0.23076925,0.2535933,0.5040509,0.14583334
34,35,0.25257367,0.5270834,0.146875,0.2542228,0.43589744,0.23076925,0.252459,0.5104167,0.13368055
35,36,0.24889532,0.565625,0.23125,0.25378618,0.43589744,0.23076925,0.2517199,0.5225695,0.14583334
36,37,0.2515644,0.565625,0.146875,0.25332567,0.46153846,0.23076925,0.2516386,0.5225695,0.1579861
37,38,0.25138938,0.4479167,0.0625,0.25277036,0.46153846,0.23076925,0.2511447,0.51967597,0.1579861
38,39,0.24873573,0.565625,0.146875,0.25241318,0.4871795,0.23076925,0.25058582,0.552662,0.1579861
39,40,0.24667463,0.553125,0.0625,0.25200757,0.4871795,0.23076925,0.25128722,0.5364584,0.14583334
40,41,0.2502532,0.58125,0.146875,0.251449,0.53846157,0.23076925,0.2513948,0.5364584,0.105902776
41,42,0.24915117,0.5427084,0.046875,0.2508714,0.5897436,0.23076925,0.24933523,0.5457176,0.11805555
42,43,0.25005785,0.5375,0.046875,0.25068855,0.5897436,0.23076925,0.24861088,0.5578704,0.11805555
43,44,0.25107127,0.5375,0.046875,0.2502235,0.5641026,0.23076925,0.24833867,0.556713,0.1423611
44,45,0.24851997,0.5375,0.13125,0.24972525,0.5641026,0.23076925,0.2487576,0.5578704,0.14583334
45,46,0.2502842,0.5427084,0.0625,0.24916683,0.5641026,0.23076925,0.24672419,0.5752315,0.18229167
46,47,0.24429241,0.6041667,0.23125,0.24855252,0.5897436,0.23076925,0.24710856,0.568287,0.1579861
47,48,0.24434566,0.6041667,0.23125,0.2480348,0.61538464,0.23076925,0.24601741,0.5856482,0.14583334
48,49,0.24997574,0.4916667,0.0625,0.24752139,0.61538464,0.23076925,0.24803829,0.57986116,0.14583334
49,50,0.2476851,0.5864583,0.0625,0.24697047,0.5897436,0.15384616,0.24701267,0.583912,0.105902776
50,51,0.24395773,0.56354165,0.146875,0.2463938,0.5897436,0.15384616,0.24677311,0.583912,0.105902776
51,52,0.24772182,0.5916667,0.0625,0.24578522,0.5897436,0.15384616,0.24596287,0.5931713,0.105902776
52,53,0.24645245,0.596875,0.0625,0.24516404,0.5897436,0.15384616,0.2439487,0.6041667,0.114583336
53,54,0.24627998,0.5916667,0.046875,0.24459864,0.5897436,0.15384616,0.2447188,0.5850695,0.13020834
54,55,0.24030083,0.596875,0.0625,0.24410339,0.5897436,0.15384616,0.2434743,0.6053241,0.13020834
55,56,0.24630079,0.56875,0.0625,0.24351925,0.5897436,0.15384616,0.24241006,0.6012732,0.11805555
56,57,0.24523571,0.596875,0.146875,0.24313472,0.5897436,0.15384616,0.2425873,0.6157408,0.14583334
57,58,0.24560127,0.57916665,0.078125,0.24257645,0.5897436,0.15384616,0.24204953,0.64467597,0.2013889
58,59,0.24322963,0.65625,0.19375,0.24198051,0.61538464,0.23076925,0.24248977,0.6417824,0.19270834
59,60,0.24653146,0.57187504,0.109375,0.24150749,0.61538464,0.23076925,0.24248773,0.630787,0.18055555
60,61,0.23748936,0.71770835,0.278125,0.24102294,0.61538464,0.23076925,0.24263175,0.630787,0.2204861
61,62,0.24550897,0.6614584,0.125,0.24042809,0.64102566,0.23076925,0.23967573,0.6643518,0.2326389
62,63,0.23597449,0.68958336,0.209375,0.23988627,0.64102566,0.23076925,0.23988955,0.6510417,0.2326389
63,64,0.2392141,0.68437505,0.209375,0.23924312,0.6923077,0.23076925,0.24015483,0.64120376,0.20833334
64,65,0.23712112,0.68437505,0.209375,0.2387334,0.6666667,0.15384616,0.2391055,0.66030097,0.2170139
65,66,0.24010886,0.6,0.125,0.2380611,0.6666667,0.15384616,0.23836085,0.6655093,0.2204861
66,67,0.23812976,0.6333333,0.140625,0.23738627,0.6666667,0.15384616,0.23851134,0.6574074,0.2204861
67,68,0.23429812,0.68958336,0.309375,0.23667121,0.6666667,0.15384616,0.23710907,0.6655093,0.2204861
68,69,0.23826893,0.6614584,0.225,0.23615108,0.6666667,0.15384616,0.23654047,0.6533565,0.2326389
69,70,0.23703532,0.6333333,0.140625,0.2354327,0.6923077,0.23076925,0.23687829,0.671875,0.23958334
70,71,0.23915303,0.6666667,0.325,0.23483661,0.6923077,0.23076925,0.23591,0.6799768,0.2638889
71,72,0.23725374,0.61041665,0.240625,0.23427485,0.6923077,0.23076925,0.23511747,0.6799768,0.2638889
72,73,0.23701331,0.6385417,0.240625,0.23364897,0.7692308,0.3846154,0.23579101,0.7245371,0.3142361
73,74,0.24038896,0.659375,0.271875,0.23310241,0.7692308,0.3846154,0.23380062,0.728588,0.35069445
74,75,0.23339048,0.74375004,0.35625,0.23256756,0.7692308,0.3846154,0.23451594,0.703125,0.2986111
75,76,0.23202334,0.7104167,0.340625,0.2318872,0.7692308,0.3846154,0.23360516,0.72164357,0.3107639
76,77,0.23454644,0.6927084,0.340625,0.23127282,0.7692308,0.3846154,0.23233435,0.7378472,0.3229167
77,78,0.230437,0.74895835,0.340625,0.23050587,0.7692308,0.3846154,0.2315579,0.7256944,0.3229167
78,79,0.23381707,0.6645833,0.25625,0.2299716,0.7692308,0.3846154,0.2322616,0.7430556,0.3472222
