"","A1","A2","A3"
"ID1",0,1,1
"ID2",1,0,1
"ID3",0,0,0
"ID4",0,0,1
"ID5",0,0,1
"ID6",1,0,1
"ID7",0,0,1
"ID8",0,1,1
"ID9",0,1,1
"ID10",0,1,1
"ID11",0,1,1
"ID12",0,0,0
"ID13",0,1,1
"ID14",0,0,1
"ID15",0,0,1
"ID16",0,1,1
"ID17",0,1,1
"ID18",0,0,1
"ID19",1,1,1
"ID20",0,0,1
"ID21",0,0,1
"ID22",0,0,0
"ID23",0,0,1
"ID24",0,0,1
"ID25",0,1,1
"ID26",0,0,1
"ID27",0,1,1
"ID28",1,1,1
"ID29",0,0,0
"ID30",0,1,1
"ID31",0,1,1
"ID32",0,0,1
"ID33",0,0,1
"ID34",0,1,1
"ID35",0,0,1
"ID36",0,0,1
"ID37",0,1,1
"ID38",0,0,1
"ID39",0,0,1
"ID40",0,0,0
"ID41",0,1,0
"ID42",0,1,1
"ID43",0,0,1
"ID44",0,1,1
"ID45",0,0,1
"ID46",0,1,1
"ID47",0,1,1
"ID48",0,1,0
"ID49",0,0,1
"ID50",0,1,0
"ID51",0,0,1
"ID52",0,0,1
"ID53",0,0,1
"ID54",0,1,1
"ID55",0,1,1
"ID56",0,0,1
"ID57",0,0,1
"ID58",0,0,1
"ID59",0,0,1
"ID60",0,0,1
"ID61",0,1,1
"ID62",0,1,1
"ID63",0,0,0
"ID64",0,0,0
"ID65",0,0,1
"ID66",0,1,1
"ID67",0,0,1
"ID68",0,0,1
"ID69",0,0,0
"ID70",0,1,1
"ID71",0,1,1
"ID72",0,0,1
"ID73",0,0,1
"ID74",0,0,0
"ID75",1,1,1
"ID76",0,0,0
"ID77",0,0,1
"ID78",0,0,1
"ID79",0,0,0
"ID80",0,0,1
"ID81",0,0,1
"ID82",0,0,1
"ID83",1,0,1
"ID84",1,0,1
"ID85",0,0,1
"ID86",1,1,1
"ID87",0,1,1
"ID88",0,1,1
"ID89",0,0,1
"ID90",0,1,1
"ID91",0,1,1
"ID92",0,0,1
"ID93",0,0,1
"ID94",0,0,1
"ID95",0,1,0
"ID96",0,1,1
"ID97",0,1,1
"ID98",0,0,0
"ID99",0,0,0
"ID100",0,1,1
