"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0
"ID2",0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0
"ID3",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ID4",1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"ID5",0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
"ID6",0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"ID7",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"ID8",0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
"ID9",1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"ID10",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"ID11",0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0
"ID12",0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
"ID13",0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0
"ID14",0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0
"ID15",0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1
"ID16",0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
"ID17",1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"ID18",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"ID19",0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0
"ID20",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
"ID21",1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
"ID22",0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
"ID23",1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0
"ID24",1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1
"ID25",1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
"ID26",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ID27",1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0
"ID28",1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID29",0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ID30",0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0
"ID31",1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
"ID32",0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"ID33",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ID34",1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"ID35",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1
"ID36",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ID37",0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
"ID38",0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0
"ID39",0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1
"ID40",0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
"ID41",1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"ID42",0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1
"ID43",1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1
"ID44",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"ID45",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
"ID46",0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0
"ID47",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID48",0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
"ID49",0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
"ID50",0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"ID51",0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
"ID52",1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
"ID53",0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1
"ID54",0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"ID55",0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
"ID56",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"ID57",1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1
"ID58",0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
"ID59",1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1
"ID60",0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"ID61",1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"ID62",0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
"ID63",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"ID64",1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
"ID65",0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
"ID66",1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"ID67",0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1
"ID68",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"ID69",1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
"ID70",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ID71",1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0
"ID72",0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1
"ID73",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"ID74",1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"ID75",1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
"ID76",0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
"ID77",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
"ID78",0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
"ID79",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID80",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"ID81",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ID82",1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1
"ID83",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"ID84",1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
"ID85",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
"ID86",0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0
"ID87",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"ID88",1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0
"ID89",0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID90",0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"ID91",1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1
"ID92",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"ID93",1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"ID94",0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1
"ID95",0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0
"ID96",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
"ID97",0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
"ID98",1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"ID99",0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"ID100",0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
