"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,0
"ID3",0,1,1
"ID4",0,1,1
"ID5",1,0,1
"ID6",0,0,1
"ID7",0,1,0
"ID8",1,1,1
"ID9",0,1,1
"ID10",0,0,0
"ID11",0,1,1
"ID12",0,0,1
"ID13",0,1,1
"ID14",0,0,0
"ID15",0,1,1
"ID16",1,0,1
"ID17",0,1,0
"ID18",0,0,1
"ID19",0,1,1
"ID20",1,1,1
"ID21",0,1,1
"ID22",1,1,1
"ID23",0,1,1
"ID24",0,1,1
"ID25",0,1,1
"ID26",0,1,1
"ID27",0,0,1
"ID28",0,0,1
"ID29",0,0,1
"ID30",0,0,0
"ID31",0,0,1
"ID32",0,0,0
"ID33",1,1,1
"ID34",0,0,1
"ID35",0,0,1
"ID36",0,1,1
"ID37",1,0,1
"ID38",0,0,1
"ID39",1,1,1
"ID40",1,1,1
"ID41",1,1,0
"ID42",0,1,1
"ID43",0,1,1
"ID44",0,0,1
"ID45",0,0,0
"ID46",0,1,1
"ID47",0,1,1
"ID48",0,1,1
"ID49",0,1,1
"ID50",1,1,1
"ID51",0,1,0
"ID52",0,0,1
"ID53",0,1,1
"ID54",0,0,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",0,1,1
"ID58",1,1,1
"ID59",1,1,1
"ID60",0,1,1
"ID61",0,1,1
"ID62",1,1,1
"ID63",0,0,0
"ID64",0,1,1
"ID65",1,0,1
"ID66",0,1,0
"ID67",0,1,1
"ID68",0,0,1
"ID69",0,0,1
"ID70",0,1,1
"ID71",0,0,1
"ID72",0,1,1
"ID73",0,0,1
"ID74",0,1,1
"ID75",0,0,1
"ID76",0,1,1
"ID77",0,0,1
"ID78",1,0,1
"ID79",0,1,1
"ID80",0,1,1
"ID81",0,0,1
"ID82",0,1,1
"ID83",0,1,0
"ID84",0,1,1
"ID85",0,1,1
"ID86",0,1,1
"ID87",0,0,0
"ID88",0,0,0
"ID89",0,1,1
"ID90",0,0,1
"ID91",0,1,1
"ID92",0,1,1
"ID93",0,1,1
