,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.23206745,0.73065484,0.39490327,0.22510523,0.7842548,0.48527646,0.22471443,0.7890625,0.50390625
1,2,0.21852991,0.796069,0.51395094,0.21208814,0.8029848,0.4966947,0.21177748,0.8089193,0.52441406
2,3,0.20666187,0.80115336,0.5070685,0.20094381,0.78565705,0.46304086,0.20094606,0.7913412,0.4794922
3,4,0.1961906,0.78875256,0.47563243,0.19125013,0.768129,0.42998797,0.19140399,0.7809245,0.4609375
4,5,0.18793902,0.78025794,0.45833334,0.18316096,0.7619191,0.41436297,0.18380447,0.773112,0.44335938
5,6,0.18049136,0.77740574,0.45703125,0.17566088,0.76272035,0.4188702,0.17635679,0.77180994,0.44140625
6,7,0.17407128,0.7743676,0.453125,0.16949141,0.76372194,0.42097357,0.1705394,0.77246094,0.4453125
7,8,0.16773555,0.7784599,0.45907736,0.1639357,0.7698318,0.44020432,0.16519779,0.7750651,0.45117188
8,9,0.16456848,0.77821183,0.46112353,0.15997288,0.7752404,0.46003607,0.16098207,0.7835287,0.4736328
9,10,0.15881981,0.79024065,0.4869792,0.15584481,0.7797476,0.46304086,0.1559692,0.7945964,0.4970703
10,11,0.15508895,0.80016124,0.50855654,0.1523555,0.784956,0.4747596,0.1524393,0.7991537,0.5078125
11,12,0.15142229,0.8034475,0.5184152,0.14921692,0.789363,0.48317307,0.15282959,0.7936198,0.5048828
12,13,0.15040332,0.80034727,0.514881,0.14710373,0.7963742,0.49639422,0.14688605,0.8072917,0.5234375
13,14,0.14721976,0.8096479,0.5292039,0.14426234,0.8066907,0.5108173,0.14659762,0.8098959,0.53222656
14,15,0.14449844,0.81727433,0.55022323,0.14191298,0.81189907,0.5186298,0.14349422,0.81575525,0.5439453
15,16,0.14189565,0.8207466,0.5576637,0.14027229,0.8133013,0.52253604,0.13976297,0.8232422,0.55859375
16,17,0.14041352,0.82440484,0.5651042,0.13783073,0.8213141,0.54296875,0.14087582,0.82421875,0.56152344
17,18,0.13921587,0.8260169,0.5716146,0.13621885,0.82592154,0.55378604,0.13702485,0.8294271,0.5761719
18,19,0.13674982,0.8301091,0.58054316,0.13470365,0.8297276,0.56340146,0.13600293,0.827474,0.5703125
19,20,0.13599765,0.82986116,0.58147323,0.1337393,0.83533657,0.5829327,0.13470304,0.83170575,0.57910156
20,21,0.13519901,0.83147323,0.58630955,0.13160625,0.83934295,0.5922476,0.13394922,0.83203125,0.5859375
21,22,0.13302338,0.83432543,0.59188986,0.13134038,0.83834136,0.5880408,0.13224405,0.83658856,0.5908203
22,23,0.13149492,0.8389138,0.60137653,0.13000831,0.84565306,0.5955529,0.13100135,0.8404948,0.59765625
23,24,0.13140492,0.83655757,0.5963542,0.12979373,0.84385014,0.59375,0.12954734,0.843099,0.60546875
24,25,0.1303715,0.8382317,0.59970236,0.12818906,0.8427484,0.59344953,0.12999657,0.8401693,0.59765625
25,26,0.1295602,0.8417039,0.6078869,0.12733933,0.8478566,0.60396636,0.12938179,0.8417969,0.5996094
26,27,0.12934443,0.8395958,0.59988844,0.12698561,0.85026044,0.6081731,0.12832507,0.84407556,0.6074219
