"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
"ID2",1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"ID3",0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
"ID4",1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1
"ID5",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1
"ID6",1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
"ID7",0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"ID8",1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
"ID9",0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0
"ID10",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"ID11",0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
"ID12",0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"ID13",0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
"ID14",0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"ID15",0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
"ID16",0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1
"ID17",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"ID18",0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0
"ID19",0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"ID20",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"ID21",1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
"ID22",1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
"ID23",1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID24",0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"ID25",0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"ID26",0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0
"ID27",1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
"ID28",0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
"ID29",0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0
"ID30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID31",1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
"ID32",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"ID33",0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0
"ID34",0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1
"ID35",0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0
"ID36",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
