,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.23363885,0.6653646,0.19921875,0.22551224,0.7383207,0.32954547,0.2306615,0.6940972,0.2875
1,2,0.23015949,0.6927084,0.2578125,0.22537534,0.73547983,0.3409091,0.2265126,0.7184028,0.32708335
2,3,0.2223399,0.7395834,0.3828125,0.22285423,0.7421086,0.37121212,0.22526312,0.7128473,0.31770834
3,4,0.22486962,0.7005209,0.265625,0.22235471,0.72222227,0.35132575,0.22210823,0.72083336,0.33645836
4,5,0.21913421,0.74088544,0.38671875,0.22003615,0.728851,0.35132575,0.22029696,0.7138889,0.32083336
5,6,0.21626756,0.7421875,0.38671875,0.21480861,0.7421087,0.37121212,0.2178626,0.71597224,0.33125
6,7,0.21696414,0.70703125,0.26953125,0.21161513,0.7421086,0.35132575,0.21460874,0.725,0.32500002
7,8,0.20956425,0.7578125,0.40625,0.21055143,0.749053,0.39204547,0.21212056,0.73819447,0.35208336
8,9,0.21746296,0.7356771,0.3203125,0.20563722,0.7765152,0.42329547,0.2084919,0.76736116,0.41145834
9,10,0.20668326,0.796875,0.48046875,0.20372793,0.8172349,0.5350379,0.20690177,0.7864584,0.4572917
10,11,0.20302084,0.81640625,0.52734375,0.20242243,0.7973485,0.4848485,0.20414333,0.79756945,0.49583337
11,12,0.20716861,0.78125,0.4296875,0.20234214,0.8046087,0.5066288,0.20170484,0.80625004,0.49687502
12,13,0.21640307,0.75390625,0.453125,0.20359504,0.78156567,0.5170455,0.19929259,0.81805557,0.5395834
13,14,0.19586411,0.84244794,0.58984375,0.18837981,0.84154046,0.60795456,0.19666861,0.8229167,0.55833334
14,15,0.20113045,0.80338544,0.48046875,0.18870735,0.8377526,0.626894,0.19401145,0.81875,0.5552084
15,16,0.18990701,0.83984375,0.60546875,0.18828839,0.8248107,0.5681819,0.19319993,0.8114584,0.546875
16,17,0.19759932,0.7981771,0.48046875,0.18668179,0.8213384,0.5776515,0.18948923,0.81805557,0.56458336
17,18,0.18681678,0.8372396,0.6015625,0.18789831,0.81123745,0.5776515,0.18811166,0.81319445,0.553125
18,19,0.17909312,0.8333334,0.59765625,0.17673719,0.82796717,0.5880682,0.18422039,0.81631947,0.56875
19,20,0.17741534,0.83203125,0.59375,0.18163346,0.8046086,0.5880682,0.18068807,0.815625,0.5625
20,21,0.17785382,0.8294271,0.5859375,0.18370697,0.8014521,0.5587121,0.18066421,0.80625004,0.546875
21,22,0.18753593,0.7864584,0.4609375,0.18058835,0.7878789,0.5378788,0.17908393,0.79965276,0.5416667
22,23,0.19480705,0.7434896,0.45703125,0.1702718,0.824495,0.62784094,0.17785488,0.79722226,0.5322917
23,24,0.168272,0.8229167,0.578125,0.16730344,0.82102275,0.5975379,0.17449014,0.803125,0.534375
24,25,0.18344268,0.7825521,0.45703125,0.17587124,0.7878789,0.5577652,0.17174388,0.8038195,0.5364584
25,26,0.16697803,0.81901044,0.5703125,0.16450143,0.814394,0.5577652,0.17215678,0.80069447,0.534375
26,27,0.179676,0.7825521,0.45703125,0.17371279,0.7945076,0.5776515,0.17070673,0.80069447,0.534375
27,28,0.16223551,0.82421875,0.578125,0.16369675,0.82102275,0.5975379,0.16812408,0.80763894,0.5447917
28,29,0.18602747,0.7421875,0.45703125,0.1590721,0.82796717,0.61837125,0.16917907,0.80486107,0.54062504
29,30,0.16485325,0.8255209,0.578125,0.1651536,0.80808085,0.5984849,0.16755567,0.80972224,0.55416673
30,31,0.15584487,0.83203125,0.58984375,0.1498881,0.85448235,0.6780304,0.16645943,0.8114584,0.54375
31,32,0.15919197,0.83203125,0.58984375,0.1625698,0.8213384,0.61837125,0.16547322,0.80763894,0.54062504
32,33,0.15980399,0.82682294,0.58203125,0.15266018,0.82796717,0.61837125,0.16364358,0.8079862,0.5416667
33,34,0.16194904,0.7890625,0.46484375,0.1611253,0.8213384,0.61837125,0.16599202,0.81076396,0.54062504
34,35,0.15900502,0.83463544,0.59765625,0.14990412,0.854798,0.658144,0.16341196,0.81423616,0.55
35,36,0.15757167,0.8359375,0.59375,0.16570391,0.8083965,0.61837125,0.16254714,0.81979173,0.56145835
36,37,0.15843497,0.8359375,0.59375,0.15906714,0.811553,0.5681819,0.15912984,0.8208334,0.56145835
37,38,0.18111512,0.796875,0.4765625,0.15412307,0.83838385,0.64867425,0.16319107,0.809375,0.55625004
38,39,0.15301423,0.8333334,0.58984375,0.14955409,0.84154046,0.6382576,0.15879714,0.81875,0.553125
39,40,0.17567644,0.796875,0.47265625,0.14675316,0.8481692,0.6382576,0.1575828,0.8204862,0.5635417
40,41,0.20576732,0.7135417,0.47265625,0.14865415,0.8349117,0.61837125,0.15706328,0.8236112,0.578125
41,42,0.17417917,0.79557294,0.47265625,0.14162627,0.854798,0.658144,0.15908118,0.8190972,0.559375
42,43,0.1483376,0.8411459,0.60546875,0.14822435,0.8481692,0.6382576,0.15782283,0.82013893,0.5677084
43,44,0.14585623,0.8411459,0.609375,0.16234767,0.80176777,0.51893944,0.1589752,0.81284726,0.54583335
44,45,0.14731614,0.83984375,0.6015625,0.14538345,0.8380682,0.62784094,0.15626003,0.8211805,0.5625
45,46,0.15035014,0.84244794,0.609375,0.1444156,0.844697,0.62784094,0.15312487,0.82638896,0.5729167
46,47,0.15163606,0.84244794,0.609375,0.14353012,0.8380682,0.62784094,0.15324071,0.82534736,0.56979173
47,48,0.16490261,0.80078125,0.484375,0.14285576,0.83143944,0.62784094,0.15371053,0.8236112,0.56979173
48,49,0.15078247,0.80078125,0.48046875,0.15125982,0.8349117,0.5984849,0.14972928,0.8291667,0.578125
