"","A1","A2","A3","A4","A5"
"ID1",0,0,0,1,0
"ID2",0,1,0,1,1
"ID3",0,1,1,1,1
"ID4",0,1,1,1,1
"ID5",1,0,0,1,1
"ID6",0,0,1,1,1
"ID7",0,0,0,0,0
"ID8",0,0,0,0,1
"ID9",0,0,0,0,1
"ID10",0,1,0,0,0
"ID11",1,1,0,0,1
"ID12",0,0,0,1,1
"ID13",0,1,1,1,1
"ID14",0,0,0,0,0
"ID15",0,1,0,0,1
"ID16",0,0,1,0,0
"ID17",1,0,1,0,1
"ID18",0,0,1,0,1
"ID19",0,1,1,1,1
"ID20",0,0,0,0,1
"ID21",0,1,0,0,0
"ID22",0,1,0,0,1
"ID23",1,0,0,1,1
"ID24",0,0,0,0,1
"ID25",0,0,1,1,1
"ID26",0,0,0,1,0
"ID27",0,0,1,1,1
"ID28",0,0,0,1,1
"ID29",0,0,1,1,0
"ID30",0,0,0,1,1
"ID31",0,0,0,0,1
"ID32",0,0,0,1,1
"ID33",0,0,0,0,1
"ID34",0,0,1,0,1
"ID35",1,0,1,1,1
"ID36",0,0,0,1,0
"ID37",0,0,0,1,1
"ID38",0,0,1,1,1
"ID39",1,0,0,1,1
"ID40",0,0,0,0,1
"ID41",0,1,1,1,1
"ID42",0,0,1,1,1
"ID43",1,1,0,1,1
"ID44",1,1,0,1,1
"ID45",0,0,1,1,1
"ID46",0,0,1,1,1
"ID47",1,1,1,1,1
"ID48",0,0,1,1,1
"ID49",0,1,1,1,1
"ID50",0,0,0,1,1
"ID51",0,1,1,1,1
"ID52",0,0,0,0,0
"ID53",1,1,0,1,1
"ID54",0,1,1,1,1
"ID55",0,1,1,1,1
"ID56",0,0,0,1,0
"ID57",0,1,0,1,1
"ID58",1,1,0,1,1
"ID59",0,0,0,0,1
"ID60",0,0,1,1,1
"ID61",0,0,1,1,1
"ID62",0,0,1,1,1
"ID63",1,0,1,1,1
"ID64",0,0,1,1,1
"ID65",0,0,1,1,1
"ID66",1,1,1,1,1
"ID67",0,0,0,1,1
"ID68",0,0,0,1,1
"ID69",0,0,0,1,1
"ID70",1,0,0,1,1
"ID71",0,0,0,1,0
"ID72",0,0,1,1,1
"ID73",0,1,1,1,1
"ID74",0,0,1,1,1
"ID75",0,0,1,1,1
"ID76",1,0,0,1,1
"ID77",1,0,1,1,0
"ID78",0,0,1,0,1
"ID79",0,0,1,1,1
"ID80",0,0,1,1,1
"ID81",1,1,1,1,1
"ID82",1,0,0,1,1
"ID83",0,1,1,1,1
"ID84",1,0,0,1,1
"ID85",0,0,0,0,1
"ID86",1,0,0,1,1
"ID87",0,0,0,0,0
"ID88",0,0,1,1,1
"ID89",0,1,1,1,1
"ID90",0,0,0,0,1
"ID91",1,0,0,0,1
"ID92",0,0,1,1,1
"ID93",0,1,0,1,1
"ID94",0,0,0,0,1
"ID95",0,0,0,0,1
"ID96",0,0,0,0,1
"ID97",1,0,0,0,1
"ID98",0,0,0,1,1
"ID99",0,0,1,0,1
"ID100",0,0,0,0,0
