"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"ID2",0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0
"ID3",1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ID4",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
"ID5",1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
"ID6",1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0
"ID7",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ID8",0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"ID9",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ID10",1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"ID11",0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
"ID12",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
"ID13",1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
"ID14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ID15",0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
"ID16",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"ID17",1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1
"ID18",0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1
"ID19",0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0
"ID20",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ID21",0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"ID22",1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1
"ID23",1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1
"ID24",0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"ID25",0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1
"ID26",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ID27",1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
"ID28",0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0
"ID29",1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1
"ID30",0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
"ID31",1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
"ID32",0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0
"ID33",0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1
"ID34",0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1
"ID35",1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1
"ID36",0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"ID37",0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
"ID38",0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
"ID39",0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1
"ID40",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
"ID41",0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
"ID42",0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
"ID43",1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1
"ID44",0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
"ID45",1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
"ID46",0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
"ID47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"ID48",0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0
"ID49",1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
"ID50",1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1
"ID51",0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"ID52",0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
"ID53",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
