"","P(0)","1-P(1)"
"Item1",0.2125,0.2411
"Item2",0.2375,0.2827
"Item3",0.1724,0.1819
"Item4",0.2696,0.1903
"Item5",0.2592,0.1779
"Item6",0.1714,0.1632
"Item7",0.2345,0.2712
"Item8",0.2305,0.2378
"Item9",0.2184,0.2894
"Item10",0.2672,0.2071
"Item11",0.1581,0.2805
"Item12",0.2335,0.2969
"Item13",0.2566,0.2658
"Item14",0.2384,0.1527
"Item15",0.2221,0.2654
"Item16",0.1871,0.2391
"Item17",0.2043,0.2133
"Item18",0.2475,0.1971
"Item19",0.2254,0.1514
"Item20",0.155,0.2838
"Item21",0.2866,0.2412
"Item22",0.2234,0.2357
"Item23",0.2482,0.2746
"Item24",0.2943,0.2731
"Item25",0.2493,0.1956
"Item26",0.1504,0.276
"Item27",0.1769,0.1775
"Item28",0.2089,0.1525
"Item29",0.1995,0.2747
"Item30",0.2052,0.2862
