"","P(0)","1-P(1)"
"Item1",0.2397,0.2418
"Item2",0.1863,0.2301
"Item3",0.239,0.1721
"Item4",0.229,0.2494
"Item5",0.166,0.216
"Item6",0.2884,0.2378
"Item7",0.1553,0.2827
"Item8",0.2828,0.1788
"Item9",0.2796,0.2029
"Item10",0.2755,0.1606
"Item11",0.2064,0.1847
"Item12",0.2469,0.2032
"Item13",0.2215,0.2737
"Item14",0.2396,0.2093
"Item15",0.2529,0.2266
"Item16",0.1578,0.2774
"Item17",0.1821,0.2338
"Item18",0.2618,0.2237
"Item19",0.1551,0.25
"Item20",0.2465,0.1545
"Item21",0.264,0.2491
"Item22",0.2523,0.1917
"Item23",0.204,0.2569
"Item24",0.219,0.2721
"Item25",0.2083,0.2167
"Item26",0.2727,0.1913
"Item27",0.1844,0.2725
"Item28",0.2235,0.2184
"Item29",0.2413,0.2479
"Item30",0.1751,0.2287
