"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",1,1,1,1,1,1,1,1,1,1
"ID2",1,1,1,0,1,1,0,0,1,0
"ID3",0,1,1,1,1,0,0,0,0,1
"ID4",1,1,1,1,1,1,1,1,1,1
"ID5",1,0,1,1,1,0,1,0,0,1
"ID6",0,0,0,1,1,1,0,0,0,0
"ID7",0,1,1,1,1,1,0,1,1,1
"ID8",0,0,0,0,1,0,0,0,0,1
"ID9",0,0,1,0,0,0,0,0,0,0
"ID10",1,0,1,1,1,0,0,0,0,1
"ID11",0,1,1,0,1,1,0,0,1,1
"ID12",0,1,1,1,1,1,0,0,1,0
"ID13",0,1,0,0,1,0,0,1,1,1
"ID14",0,0,1,1,0,1,0,0,1,1
"ID15",1,1,1,0,1,1,0,1,1,0
"ID16",0,1,0,0,1,0,0,1,1,1
"ID17",0,0,0,1,1,0,1,0,0,1
"ID18",0,0,0,0,1,1,0,1,1,0
"ID19",0,1,1,1,1,0,0,1,1,1
"ID20",0,1,1,0,1,0,0,1,1,0
"ID21",0,0,1,1,0,1,0,0,0,1
"ID22",0,0,1,1,0,0,0,0,1,0
"ID23",0,0,1,0,1,0,1,1,0,1
"ID24",0,1,1,0,1,0,0,1,1,1
"ID25",0,0,1,1,1,1,0,0,1,1
"ID26",0,0,1,0,1,1,1,0,1,1
"ID27",0,1,1,0,1,0,0,1,1,1
"ID28",1,0,0,0,0,0,0,0,0,0
"ID29",0,1,0,0,1,1,0,1,0,1
"ID30",0,0,1,0,0,0,0,0,1,1
"ID31",1,0,1,1,0,0,0,0,1,1
"ID32",1,1,1,1,1,1,1,1,1,1
"ID33",0,1,0,0,1,1,0,1,0,1
"ID34",0,1,0,0,1,1,0,0,1,1
"ID35",0,0,1,1,1,0,1,0,0,1
"ID36",0,1,1,1,1,1,0,0,1,1
"ID37",1,0,1,1,0,1,0,0,0,0
"ID38",0,0,0,0,0,0,0,0,0,0
"ID39",0,0,1,0,0,0,0,0,0,1
"ID40",1,1,1,1,1,1,1,1,1,1
"ID41",0,0,0,0,0,0,0,0,0,0
"ID42",1,1,1,1,1,1,1,1,1,0
"ID43",0,0,0,0,0,0,0,0,0,0
