,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.23842925,0.7135417,0.3515625,0.23835546,0.78061867,0.38352275,0.23773251,0.7666667,0.425
1,2,0.24022523,0.7044271,0.37890625,0.23373549,0.79387635,0.43371212,0.2343972,0.76562506,0.44375
2,3,0.23225811,0.7434896,0.37890625,0.2311525,0.7869319,0.4535985,0.22986488,0.77326393,0.4625
3,4,0.22648738,0.7981771,0.53125,0.22581337,0.8248107,0.5359849,0.22724639,0.78472227,0.475
4,5,0.22568512,0.7630209,0.41796875,0.22146675,0.83143944,0.5359849,0.22379832,0.7881945,0.4854167
5,6,0.22817163,0.72265625,0.41796875,0.21828459,0.8181819,0.5160985,0.2202398,0.78472227,0.475
6,7,0.21721292,0.80338544,0.5390625,0.2133261,0.8248107,0.5160985,0.21569584,0.79513896,0.5010417
7,8,0.22206807,0.72265625,0.41796875,0.21167299,0.80492425,0.47632575,0.21341856,0.7881945,0.490625
8,9,0.2137876,0.7630209,0.41796875,0.21005408,0.7916667,0.47632575,0.2090706,0.78993064,0.4854167
9,10,0.20566487,0.80338544,0.5390625,0.2027775,0.811553,0.49621212,0.20602813,0.7864584,0.4854167
10,11,0.19995737,0.80338544,0.5390625,0.19502518,0.83143944,0.5359849,0.20152052,0.7951389,0.5010417
11,12,0.19772932,0.80338544,0.5390625,0.19170956,0.844697,0.5757576,0.19887878,0.7881945,0.490625
12,13,0.21173707,0.72265625,0.41796875,0.1895412,0.8481692,0.59659094,0.19689365,0.7864584,0.49687502
13,14,0.20053706,0.76171875,0.41796875,0.19019309,0.8216541,0.5369319,0.19515161,0.7795139,0.48125002
14,15,0.18694946,0.8020834,0.5390625,0.18614742,0.8216541,0.5369319,0.19056016,0.7861111,0.4885417
15,16,0.19087377,0.7591146,0.4140625,0.17890863,0.84154046,0.59659094,0.18687014,0.7861111,0.49895835
16,17,0.1897153,0.7591146,0.4140625,0.17748827,0.8349117,0.5568182,0.18423632,0.7895834,0.49375
17,18,0.18845478,0.7591146,0.4140625,0.17540812,0.81502527,0.5170455,0.18176162,0.79236114,0.5041667
18,19,0.18116054,0.80078125,0.53515625,0.17126974,0.8484849,0.5975379,0.17991714,0.80451393,0.5322917
19,20,0.17288788,0.81901044,0.58203125,0.16881108,0.8418561,0.5975379,0.17749129,0.80208343,0.52708334
20,21,0.17957869,0.7786459,0.4609375,0.17278397,0.82196975,0.5577652,0.17401789,0.8079861,0.5479167
21,22,0.18627714,0.73828125,0.46484375,0.16138068,0.8484849,0.5975379,0.17329858,0.80486107,0.54062504
22,23,0.18291107,0.78515625,0.46484375,0.15876745,0.8519571,0.5975379,0.1697311,0.8194445,0.5510417
23,24,0.17389801,0.7916667,0.47265625,0.151382,0.8791036,0.6789774,0.16780196,0.83055556,0.5822917
24,25,0.16148531,0.8372396,0.609375,0.15822196,0.8525884,0.6193182,0.16662203,0.82534724,0.5666667
25,26,0.17034245,0.796875,0.48828125,0.15543604,0.86584604,0.63920456,0.1639105,0.82881945,0.57708335
26,27,0.16705894,0.796875,0.48828125,0.14796346,0.88257587,0.689394,0.16052273,0.8392361,0.59583336
27,28,0.17339638,0.80338544,0.4921875,0.15061152,0.8693182,0.64962125,0.15901779,0.8392362,0.59583336
28,29,0.16604352,0.8046875,0.49609375,0.14959922,0.8797349,0.7007576,0.15889709,0.83750004,0.59583336
29,30,0.17361435,0.8046875,0.49609375,0.14907648,0.8797349,0.7007576,0.15647675,0.8392361,0.60104173
30,31,0.15071687,0.8450521,0.6171875,0.14897813,0.8664774,0.6808712,0.15670793,0.83576393,0.590625
31,32,0.17084502,0.7630209,0.49609375,0.14638406,0.8664774,0.6609849,0.15594254,0.83402777,0.590625
32,33,0.16042611,0.8046875,0.49609375,0.14510915,0.8731061,0.6808712,0.15452208,0.83576393,0.590625
33,34,0.15417053,0.8450521,0.6171875,0.14201155,0.8863637,0.7007576,0.15165363,0.8392362,0.60625
34,35,0.15179494,0.8450521,0.6171875,0.13766715,0.8863637,0.7007576,0.1505701,0.8392361,0.60104173
35,36,0.14517495,0.8463542,0.62109375,0.13773218,0.8863637,0.7007576,0.14888851,0.83576393,0.59583336
36,37,0.14764453,0.85026044,0.6328125,0.1367476,0.8964647,0.7310607,0.1496233,0.8385417,0.6145834
37,38,0.18071444,0.7708334,0.515625,0.12759261,0.90972227,0.7708334,0.1470493,0.84375,0.609375
38,39,0.14203724,0.8515625,0.63671875,0.14001033,0.85669196,0.6515152,0.14585279,0.84027785,0.609375
39,40,0.17105511,0.7708334,0.515625,0.13430542,0.8832071,0.6912879,0.14363126,0.8482639,0.6229167
40,41,0.13904557,0.8528646,0.640625,0.13726151,0.87657833,0.6912879,0.14396495,0.8402778,0.609375
41,42,0.14310533,0.8528646,0.640625,0.13028467,0.8832071,0.6912879,0.1427284,0.8465279,0.6177084
42,43,0.1365579,0.8528646,0.640625,0.13357295,0.87657833,0.6912879,0.14101453,0.8482639,0.6229167
43,44,0.14790618,0.8125,0.51953125,0.12307894,0.9030935,0.750947,0.13935676,0.84652776,0.6229167
44,45,0.1340101,0.8528646,0.640625,0.12699057,0.88983583,0.71117425,0.14139216,0.8447917,0.6177084
45,46,0.13441639,0.8528646,0.640625,0.13147588,0.85669196,0.6515152,0.13844562,0.8482639,0.6229167
46,47,0.13877621,0.8528646,0.640625,0.12539838,0.9002525,0.751894,0.13743961,0.8506945,0.62708336
47,48,0.1547573,0.8138021,0.5234375,0.12514849,0.9002525,0.7320076,0.13619767,0.8506945,0.63229173
48,49,0.15418828,0.8138021,0.5234375,0.12743554,0.9002526,0.7320076,0.13637893,0.84895843,0.621875
49,50,0.13043037,0.8541667,0.64453125,0.12570617,0.886995,0.7121212,0.1362396,0.84895843,0.621875
50,51,0.15472582,0.8138021,0.5234375,0.12455552,0.9002525,0.7320076,0.13858001,0.84375,0.621875
51,52,0.14361265,0.8138021,0.5234375,0.1275365,0.886995,0.7121212,0.13551562,0.8538195,0.6302084
52,53,0.13099197,0.85807294,0.6484375,0.12543577,0.886995,0.7121212,0.13317299,0.8572917,0.640625
53,54,0.14394698,0.8177084,0.52734375,0.11870559,0.90688133,0.751894,0.13375838,0.85555553,0.640625
54,55,0.1328652,0.85807294,0.6484375,0.12474434,0.9002525,0.751894,0.13525791,0.8520833,0.6302084
55,56,0.1360119,0.8177084,0.52734375,0.121035844,0.89362377,0.7320076,0.13256036,0.85555553,0.640625
56,57,0.12640633,0.85807294,0.6484375,0.11572218,0.90688133,0.751894,0.1318103,0.85555553,0.6354167
57,58,0.15254599,0.77734375,0.52734375,0.116804175,0.90688133,0.751894,0.13302837,0.8520834,0.6302084
58,59,0.15305462,0.8177084,0.52734375,0.11489606,0.89362377,0.7320076,0.13087349,0.85555553,0.6354167
59,60,0.1308425,0.85807294,0.6484375,0.11579046,0.90688133,0.751894,0.13005082,0.8548611,0.6333334
60,61,0.124405585,0.859375,0.65234375,0.11581877,0.9002525,0.751894,0.13039455,0.8538195,0.6354167
