,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.27785188,0.30520833,0.0,0.27601048,0.2820513,0.0,0.27138025,0.30439815,0.0
1,2,0.2645247,0.35104167,0.0,0.27543557,0.2820513,0.0,0.27012277,0.2962963,0.0
2,3,0.27230337,0.2947917,0.0,0.2746859,0.2820513,0.0,0.2686376,0.32060188,0.0
3,4,0.26581526,0.3229167,0.0,0.274028,0.2820513,0.0,0.26904923,0.30439815,0.0
4,5,0.26152194,0.2947917,0.0,0.27350926,0.2820513,0.0,0.26916626,0.30034724,0.0
5,6,0.26305333,0.3229167,0.0,0.27297,0.2820513,0.0,0.26747742,0.3125,0.0
6,7,0.2617617,0.3229167,0.0,0.27239227,0.2820513,0.0,0.26701528,0.3246528,0.0
7,8,0.26212797,0.3229167,0.0,0.27181703,0.2820513,0.0,0.26713797,0.3084491,0.0
8,9,0.26478118,0.35104167,0.0,0.27126157,0.2820513,0.0,0.2641299,0.3125,0.0
9,10,0.26071298,0.35104167,0.0,0.27068803,0.2820513,0.0,0.26403177,0.32060188,0.0
10,11,0.25584614,0.3791667,0.0,0.2702175,0.2820513,0.0,0.26591215,0.30034724,0.0
11,12,0.2559539,0.35104167,0.0,0.26973525,0.2820513,0.0,0.2659244,0.30439815,0.0
12,13,0.26855296,0.2947917,0.0,0.26925957,0.2820513,0.0,0.26334602,0.3125,0.0
13,14,0.26067418,0.2947917,0.0,0.268765,0.2820513,0.0,0.26455712,0.2962963,0.0
14,15,0.26458395,0.2947917,0.0,0.26824734,0.2820513,0.0,0.2639698,0.30034724,0.0
15,16,0.25815502,0.35104167,0.0,0.26778525,0.2820513,0.0,0.26472306,0.2922454,0.0
16,17,0.2613867,0.3229167,0.0,0.26747295,0.2820513,0.0,0.2635098,0.30439815,0.0
17,18,0.26988655,0.23854166,0.0,0.2670419,0.2820513,0.0,0.2656092,0.3015046,0.0
18,19,0.26064223,0.328125,0.0,0.26672903,0.2820513,0.0,0.26210624,0.3096065,0.0
19,20,0.26116323,0.38958335,0.0,0.26642087,0.33333334,0.0,0.26194942,0.3547454,0.0
20,21,0.2540794,0.3947917,0.0,0.26612014,0.33333334,0.0,0.2615094,0.3559028,0.0
21,22,0.2590465,0.37187502,0.0,0.2658289,0.33333334,0.0,0.26135787,0.3396991,0.0
22,23,0.25170684,0.36666667,0.0,0.26552603,0.33333334,0.0,0.26159453,0.3263889,0.0
23,24,0.25940654,0.3385417,0.0,0.26525342,0.33333334,0.0,0.26080006,0.3275463,0.0
24,25,0.2586006,0.34375,0.0,0.2649552,0.33333334,0.0,0.26016468,0.35300928,0.0
25,26,0.26285845,0.32083333,0.0,0.26469293,0.33333334,0.0,0.25762394,0.3582176,0.0
26,27,0.26327878,0.3541667,0.0,0.26437005,0.33333334,0.0,0.258818,0.3923611,0.0
27,28,0.26101124,0.40833336,0.0,0.26394522,0.33333334,0.0,0.25960004,0.3883102,0.0
28,29,0.2502554,0.46458334,0.0,0.2636156,0.41025642,0.0,0.25791758,0.4502315,0.0
29,30,0.25025588,0.43958336,0.0,0.26334968,0.41025642,0.0,0.2583369,0.45775464,0.0
30,31,0.25768733,0.50625,0.0,0.26295125,0.41025642,0.0,0.2560717,0.4699074,0.0
31,32,0.25785232,0.47812504,0.0,0.26257128,0.41025642,0.0,0.2579881,0.4670139,0.0
32,33,0.25336102,0.51145834,0.0,0.26228297,0.3846154,0.0,0.25636482,0.4658565,0.0
33,34,0.25833285,0.51145834,0.0,0.2620138,0.41025642,0.0,0.25665146,0.4710648,0.0
34,35,0.2587673,0.42708337,0.0,0.2616745,0.41025642,0.0,0.25596744,0.4884259,0.0
35,36,0.25138125,0.51666665,0.0,0.26136023,0.46153846,0.0,0.25781232,0.5289352,0.0
36,37,0.25429088,0.6041667,0.1,0.26113498,0.46153846,0.0,0.25406674,0.5422454,0.015625
37,38,0.24959731,0.5760417,0.015625,0.2608528,0.46153846,0.0,0.25580204,0.5381945,0.027777778
38,39,0.24866371,0.5760417,0.015625,0.26058587,0.46153846,0.0,0.2557336,0.5381945,0.027777778
39,40,0.24882442,0.6041667,0.1,0.26039025,0.46153846,0.0,0.25560805,0.5300926,0.015625
40,41,0.25277036,0.6041667,0.1,0.26015952,0.46153846,0.0,0.253951,0.5300926,0.027777778
41,42,0.25669116,0.4916667,0.015625,0.2598105,0.43589744,0.0,0.25399014,0.4959491,0.015625
42,43,0.24984312,0.5270834,0.015625,0.25952587,0.43589744,0.0,0.25373766,0.4959491,0.027777778
43,44,0.2540851,0.5270834,0.015625,0.2592153,0.43589744,0.0,0.25140473,0.5121528,0.027777778
44,45,0.24821615,0.49895835,0.015625,0.2589653,0.43589744,0.0,0.2534821,0.5092592,0.015625
45,46,0.26227322,0.4760417,0.015625,0.25860986,0.43589744,0.0,0.2517432,0.5052084,0.027777778
46,47,0.24847904,0.53229165,0.015625,0.2583825,0.43589744,0.0,0.25238442,0.48900467,0.015625
47,48,0.24790528,0.53229165,0.015625,0.2581092,0.43589744,0.0,0.25179076,0.5115741,0.015625
48,49,0.2536969,0.48645836,0.015625,0.25778806,0.43589744,0.0,0.25232935,0.5277778,0.015625
49,50,0.25570866,0.5427084,0.015625,0.25744322,0.51282054,0.07692308,0.25100303,0.5445602,0.043402776
50,51,0.25044462,0.5760417,0.015625,0.25707152,0.51282054,0.07692308,0.2501647,0.54861116,0.043402776
51,52,0.25243407,0.5197917,0.015625,0.25670168,0.53846157,0.07692308,0.25061312,0.5752315,0.07118055
52,53,0.25118735,0.52500004,0.03125,0.25629735,0.53846157,0.07692308,0.24886176,0.5856482,0.10243055
53,54,0.25286227,0.56354165,0.0625,0.2559412,0.5641026,0.07692308,0.2499699,0.6157408,0.114583336
54,55,0.2550193,0.55625004,0.0625,0.25554603,0.5641026,0.07692308,0.24961397,0.599537,0.090277776
55,56,0.24198589,0.6125,0.146875,0.2552724,0.5641026,0.07692308,0.25021642,0.6168982,0.090277776
56,57,0.2489431,0.6177083,0.0625,0.25496504,0.5641026,0.07692308,0.24864325,0.6168982,0.114583336
57,58,0.238624,0.70208335,0.23125,0.2546554,0.5641026,0.07692308,0.24980831,0.6047454,0.090277776
58,59,0.24183618,0.6458334,0.0625,0.254378,0.5641026,0.07692308,0.24820437,0.6209491,0.10243055
59,60,0.24735811,0.6177083,0.146875,0.25399926,0.5641026,0.07692308,0.24869509,0.6087963,0.090277776
60,61,0.24555816,0.6458334,0.0625,0.2537226,0.5641026,0.07692308,0.25003207,0.6047454,0.090277776
61,62,0.24113268,0.67395836,0.146875,0.2535334,0.5641026,0.07692308,0.24689946,0.6209491,0.10243055
62,63,0.23882625,0.6177083,0.0625,0.2532626,0.5641026,0.07692308,0.24637578,0.6047454,0.090277776
63,64,0.25491965,0.56145835,0.0625,0.25288793,0.5641026,0.07692308,0.24678321,0.6128472,0.090277776
64,65,0.24995844,0.6177083,0.0625,0.25262392,0.5641026,0.07692308,0.24761735,0.6087963,0.090277776
65,66,0.23684132,0.67395836,0.146875,0.25229603,0.5641026,0.07692308,0.2470669,0.6168982,0.090277776
66,67,0.24358235,0.6177083,0.0625,0.25192901,0.5641026,0.07692308,0.24474949,0.6128472,0.10243055
67,68,0.23707017,0.6458334,0.146875,0.25165528,0.5641026,0.07692308,0.24745706,0.6006945,0.078125
68,69,0.24605982,0.6229167,0.0625,0.25129822,0.5897436,0.07692308,0.24654905,0.619213,0.10243055
69,70,0.23642536,0.6510417,0.146875,0.2509905,0.5897436,0.07692308,0.24408863,0.6313658,0.10243055
