"","A1","A2","A3"
"ID1",0,0,1
"ID2",0,0,1
"ID3",0,0,1
"ID4",0,1,1
"ID5",1,1,1
"ID6",0,1,1
"ID7",0,0,1
"ID8",1,1,1
"ID9",0,0,1
"ID10",1,0,1
"ID11",1,1,1
"ID12",1,0,1
"ID13",0,0,1
"ID14",0,1,1
"ID15",1,1,1
"ID16",1,0,1
"ID17",0,1,1
"ID18",0,1,1
"ID19",0,1,1
"ID20",0,1,1
"ID21",0,1,1
"ID22",0,1,1
"ID23",1,0,1
"ID24",0,1,1
"ID25",0,1,1
"ID26",0,0,1
"ID27",0,1,1
"ID28",0,0,1
"ID29",0,1,0
"ID30",0,0,1
"ID31",0,1,1
"ID32",1,0,1
"ID33",0,1,1
"ID34",0,1,1
"ID35",1,1,1
"ID36",1,1,1
"ID37",0,1,1
"ID38",0,1,1
"ID39",1,1,1
"ID40",0,1,1
"ID41",0,0,0
"ID42",0,0,1
"ID43",0,1,1
"ID44",1,1,1
"ID45",0,1,1
"ID46",0,0,1
"ID47",0,1,0
"ID48",1,1,0
"ID49",0,0,1
"ID50",0,1,0
"ID51",0,0,0
"ID52",1,1,1
"ID53",0,1,1
"ID54",1,1,1
"ID55",0,1,1
"ID56",0,1,1
"ID57",0,0,1
"ID58",1,1,1
"ID59",1,0,1
"ID60",0,1,1
"ID61",0,1,1
"ID62",0,1,1
"ID63",0,1,1
"ID64",1,1,1
"ID65",0,1,1
"ID66",1,0,1
"ID67",0,0,1
"ID68",1,0,0
"ID69",0,0,1
"ID70",0,0,1
"ID71",0,0,1
"ID72",1,1,0
"ID73",0,1,1
"ID74",0,0,1
"ID75",0,1,1
"ID76",0,1,1
"ID77",0,1,1
"ID78",0,1,1
"ID79",0,1,1
"ID80",0,1,1
"ID81",0,1,1
"ID82",0,0,1
"ID83",0,1,0
"ID84",1,1,0
"ID85",0,0,0
"ID86",0,1,1
"ID87",0,0,0
"ID88",0,0,1
"ID89",1,0,0
"ID90",1,1,0
"ID91",0,1,1
"ID92",0,1,1
"ID93",0,0,1
"ID94",0,0,1
"ID95",0,0,1
"ID96",0,1,1
"ID97",0,0,1
"ID98",0,1,1
"ID99",0,0,1
"ID100",0,1,0
