"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"ID2",0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
"ID3",0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
"ID4",1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
"ID5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID6",1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
"ID7",0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"ID8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"ID9",1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"ID10",0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
"ID11",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"ID12",0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"ID13",0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
"ID14",1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"ID15",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"ID16",0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
"ID17",1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0
"ID18",0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"ID19",1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"ID20",1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
"ID21",1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0
"ID22",0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"ID23",1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
"ID24",0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
