,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.19913426,0.7744297,0.4311756,0.18254432,0.8342348,0.5982572,0.18409517,0.8203125,0.56640625
1,2,0.17322545,0.85280263,0.64825153,0.15888004,0.8814103,0.71935093,0.16149303,0.8697917,0.68066406
2,3,0.15496849,0.8652034,0.6588542,0.14146158,0.8823117,0.71334136,0.1458506,0.8714193,0.6738281
3,4,0.14132822,0.8709078,0.6625744,0.12906146,0.8791066,0.7094351,0.1348695,0.874349,0.6738281
4,5,0.13076673,0.87599206,0.671317,0.120197155,0.8788061,0.70853364,0.12500426,0.87858075,0.68652344
5,6,0.122756764,0.8792783,0.68247765,0.112416565,0.8840145,0.7124399,0.116336465,0.8841146,0.69921875
6,7,0.11573937,0.8800224,0.68601197,0.10647857,0.8844151,0.7088342,0.11072593,0.8821615,0.6953125
7,8,0.110048234,0.8806424,0.6865699,0.10030008,0.88721955,0.7172476,0.105863854,0.8798828,0.6972656
8,9,0.10389494,0.88392866,0.69605654,0.09561052,0.89152646,0.72626203,0.10080888,0.8873698,0.70703125
9,10,0.097931564,0.890067,0.70926344,0.09039552,0.89723563,0.7433894,0.09397447,0.890625,0.7138672
10,11,0.09386619,0.88957095,0.70944947,0.08636311,0.8984375,0.74969953,0.090525374,0.89453125,0.7246094
11,12,0.088403516,0.89744544,0.7287947,0.0820726,0.9077524,0.77103364,0.085017785,0.90494794,0.7529297
12,13,0.0853695,0.90172374,0.7416295,0.07808906,0.91456336,0.7797476,0.08135857,0.9088542,0.7626953
13,14,0.08044864,0.9110863,0.7671131,0.074642055,0.91396236,0.7797476,0.07758841,0.9104818,0.765625
14,15,0.07706903,0.91443455,0.77883184,0.0708295,0.92097354,0.7989784,0.07363406,0.9186198,0.7871094
15,16,0.07319237,0.92423123,0.8013393,0.06806795,0.9323919,0.8323317,0.07110714,0.93066406,0.8251953
16,17,0.06939149,0.9333458,0.8286831,0.0650651,0.93719953,0.8467548,0.067626126,0.93359375,0.8330078
17,18,0.06702131,0.93644595,0.83575153,0.062022734,0.94370997,0.8545673,0.06540375,0.93815106,0.83691406
18,19,0.06357548,0.94636667,0.86123514,0.059911154,0.9503205,0.8762019,0.060708918,0.9505209,0.87402344
19,20,0.061313014,0.9498388,0.8720238,0.057405896,0.95222354,0.88100964,0.06053583,0.95149744,0.8720703
20,21,0.057842597,0.95703125,0.8854167,0.055428877,0.9551282,0.8849159,0.056269415,0.95703125,0.88671875
21,22,0.05525162,0.95920146,0.88932294,0.05300896,0.95933497,0.8936298,0.054806836,0.95996094,0.890625
22,23,0.053880766,0.9602555,0.889881,0.051370077,0.9610377,0.8957332,0.05168383,0.9628906,0.8984375
23,24,0.05112247,0.9635417,0.8997396,0.0496041,0.9620393,0.8996394,0.050976306,0.9625651,0.89746094
24,25,0.04915843,0.96484375,0.9036459,0.048043597,0.9636419,0.9035457,0.048660908,0.9638672,0.9013672
25,26,0.04817162,0.9660219,0.9071801,0.04632788,0.9636418,0.9035457,0.046120413,0.9664714,0.9082031
26,27,0.046350792,0.96732396,0.90978426,0.044771686,0.9639423,0.9035457,0.045239992,0.9667969,0.9091797
27,28,0.044908427,0.96763396,0.9107143,0.043696247,0.9646435,0.9017428,0.043066,0.96875,0.9140625
28,29,0.043085605,0.9694941,0.9162947,0.041953973,0.9646434,0.9035457,0.041847613,0.9684245,0.91308594
29,30,0.04158225,0.96937007,0.91592264,0.040878814,0.96434295,0.9017428,0.040582098,0.96940106,0.9160156
30,31,0.040046144,0.9713542,0.92057294,0.03931886,0.96784854,0.91225964,0.039033353,0.9716797,0.92089844
31,32,0.039138846,0.9734003,0.9241072,0.038298048,0.9720553,0.9239784,0.037896365,0.97558594,0.9316406
32,33,0.03725838,0.9765625,0.93359375,0.036671583,0.9765625,0.9296875,0.03696927,0.976237,0.9316406
33,34,0.036504608,0.97829866,0.9375,0.036529403,0.97566104,0.9269832,0.036226343,0.97721356,0.93359375
34,35,0.035527118,0.9790427,0.9397322,0.03540514,0.9772637,0.9317909,0.03506816,0.98014325,0.9423828
35,36,0.034873128,0.97922873,0.93768597,0.03448165,0.97696316,0.9308894,0.034410074,0.9788412,0.93652344
36,37,0.033217993,0.98263896,0.9479167,0.033151392,0.9775641,0.9326923,0.032776818,0.9820964,0.94628906
37,38,0.032668766,0.9815229,0.9445685,0.032460786,0.97696316,0.9308894,0.031627044,0.9820964,0.94628906
38,39,0.031514466,0.98350704,0.9505209,0.03131644,0.9775641,0.9326923,0.031031873,0.9811198,0.9433594
39,40,0.030920548,0.98350704,0.9505209,0.0306043,0.9788662,0.93659854,0.03002198,0.9824219,0.9472656
40,41,0.030403625,0.983941,0.95182294,0.030273294,0.98016834,0.9405048,0.029854689,0.98307294,0.94921875
41,42,0.029588994,0.9828249,0.94847476,0.029111248,0.9817709,0.9453125,0.028365988,0.98339844,0.9501953
42,43,0.02838507,0.98338294,0.9501488,0.028904382,0.98147035,0.94441104,0.02815343,0.98339844,0.9501953
43,44,0.028018525,0.983941,0.95182294,0.028019525,0.9808694,0.9426082,0.02726198,0.98339844,0.9501953
44,45,0.027139302,0.983941,0.95182294,0.027491685,0.9795673,0.9387019,0.026909279,0.9824219,0.9472656
