,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.28316757,0.2682292,0.00390625,0.28595662,0.22001263,0.0,0.28296348,0.23819447,0.003125
1,2,0.28125256,0.22135417,0.00390625,0.27651113,0.21590911,0.0,0.27577993,0.22847223,0.003125
2,3,0.2716533,0.24739584,0.00390625,0.27238154,0.2159091,0.0,0.27009413,0.23194444,0.0
3,4,0.26568863,0.2591146,0.00390625,0.26801127,0.21306819,0.0,0.26574373,0.24305558,0.003125
4,5,0.2640292,0.23177084,0.00390625,0.2640133,0.24084596,0.010416667,0.26092926,0.26493058,0.00625
5,6,0.25624743,0.33203125,0.00390625,0.25824165,0.2995581,0.010416667,0.2559947,0.32118058,0.00625
6,7,0.25138426,0.39713544,0.0078125,0.25464344,0.4084596,0.0407197,0.2518846,0.42048618,0.0375
7,8,0.24856348,0.4856771,0.0625,0.24987507,0.4804293,0.071022734,0.24714601,0.49201393,0.071875
8,9,0.24392535,0.5234375,0.125,0.24536917,0.5842804,0.17613637,0.24322422,0.5986111,0.19895834
9,10,0.24341014,0.65234375,0.2109375,0.24095353,0.6837122,0.2878788,0.23846404,0.70902777,0.303125
10,11,0.23336038,0.76953125,0.421875,0.2370269,0.7114899,0.3001894,0.23387383,0.75034726,0.36875
11,12,0.22889343,0.7890625,0.44921875,0.2324839,0.74242437,0.4015152,0.22877823,0.76631945,0.39895836
12,13,0.2274932,0.7552084,0.34765625,0.22896789,0.74936867,0.3721591,0.22437957,0.7736112,0.41458336
13,14,0.22074412,0.7591146,0.35546875,0.22238193,0.7493688,0.39204547,0.21971138,0.7777778,0.42395836
14,15,0.21547556,0.81119794,0.50390625,0.21950111,0.73611116,0.39204547,0.21543084,0.77847224,0.43125
15,16,0.2088061,0.81119794,0.5078125,0.21229649,0.7591541,0.41193184,0.21125446,0.7746528,0.4229167
16,17,0.2113482,0.7669271,0.37890625,0.20683073,0.76893944,0.4318182,0.20644073,0.7760417,0.43125
17,18,0.21225789,0.72526044,0.37890625,0.20591652,0.75252527,0.40246212,0.20350254,0.7673611,0.415625
18,19,0.20097281,0.765625,0.37890625,0.20021734,0.759154,0.4223485,0.1997912,0.76458335,0.415625
19,20,0.19645274,0.7630209,0.37890625,0.1984897,0.75284094,0.4128788,0.19441268,0.77291673,0.4354167
20,21,0.18653804,0.80859375,0.515625,0.1909363,0.75946975,0.40246212,0.19046748,0.7697917,0.42083335
21,22,0.18254723,0.80859375,0.51953125,0.18681619,0.7695707,0.40246212,0.18458252,0.78020835,0.44895837
22,23,0.18053448,0.7669271,0.39453125,0.18331027,0.7765152,0.42329547,0.18167602,0.77951396,0.44375
23,24,0.17369246,0.8151042,0.53125,0.17740199,0.783144,0.4630682,0.17865984,0.7722222,0.42395836
24,25,0.17421098,0.7708334,0.3984375,0.17250267,0.7765152,0.4630682,0.17402904,0.78333336,0.4541667
25,26,0.18103333,0.73307294,0.40234375,0.16843653,0.783144,0.4630682,0.16995521,0.7892361,0.471875
26,27,0.17886835,0.74088544,0.421875,0.16488186,0.8036617,0.5047349,0.16620134,0.8072917,0.5125
27,28,0.15847504,0.8294271,0.56640625,0.16306068,0.8036617,0.5047349,0.16171186,0.8079861,0.51458335
28,29,0.16020127,0.79296875,0.453125,0.16251579,0.7904041,0.4848485,0.15839283,0.809375,0.515625
29,30,0.15581301,0.8359375,0.58203125,0.15799025,0.8077652,0.5265152,0.15655111,0.8149306,0.5395834
30,31,0.15636618,0.7994792,0.47265625,0.14896846,0.8276515,0.5662879,0.15338191,0.8190972,0.53854173
31,32,0.14930558,0.84375,0.6015625,0.15122163,0.83112377,0.59659094,0.14907405,0.82465285,0.5552084
32,33,0.15899064,0.8046875,0.484375,0.14951482,0.824495,0.57670456,0.14766274,0.8229167,0.5552084
33,34,0.14641045,0.8450521,0.60546875,0.14233029,0.82796717,0.5672349,0.14298289,0.83194447,0.57708335
34,35,0.13631065,0.84765625,0.61328125,0.1437606,0.83143944,0.5975379,0.14436452,0.8211805,0.55
35,36,0.13618827,0.8489584,0.6171875,0.13793303,0.8248107,0.5577652,0.14078413,0.8229167,0.5604167
36,37,0.13111684,0.8528646,0.625,0.14134839,0.8251263,0.5984849,0.13754575,0.8350695,0.5885417
37,38,0.12971126,0.8528646,0.625,0.13698417,0.84248745,0.6505682,0.13747063,0.83576393,0.59583336
38,39,0.15486121,0.77994794,0.51953125,0.13659309,0.8560607,0.6714015,0.13206892,0.85347223,0.63229173
39,40,0.14371318,0.82682294,0.5390625,0.13623852,0.86268944,0.6912879,0.13127111,0.8520834,0.6333334
40,41,0.12137383,0.8684896,0.6640625,0.11746707,0.8892046,0.750947,0.12778366,0.8604167,0.65833336
