,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.22528869,0.5638021,0.07421875,0.2128247,0.6038511,0.13352273,0.21996386,0.5673612,0.116666675
1,2,0.21274978,0.60807294,0.14453125,0.2072665,0.62626266,0.17613637,0.2069125,0.64131945,0.20937501
2,3,0.20421475,0.70182294,0.35546875,0.19505756,0.73895204,0.4015152,0.19920574,0.7180556,0.37291667
3,4,0.19559368,0.7317709,0.375,0.18857095,0.794192,0.5056819,0.18986408,0.7822917,0.49375
4,5,0.18233687,0.81640625,0.5625,0.18142939,0.815341,0.5994319,0.1815973,0.8229167,0.5708334
5,6,0.17784141,0.80338544,0.49609375,0.17594314,0.8390152,0.6098485,0.17467193,0.8347222,0.5916667
6,7,0.16902873,0.85546875,0.6484375,0.16587287,0.85542935,0.63920456,0.16745077,0.84201396,0.621875
7,8,0.16311267,0.8645834,0.68359375,0.16341247,0.855745,0.6600379,0.16100061,0.85312504,0.64375
8,9,0.15923828,0.8216146,0.54296875,0.15284579,0.855745,0.63920456,0.15567696,0.8583334,0.646875
9,10,0.15401116,0.828125,0.5546875,0.14632624,0.85542935,0.60795456,0.15029378,0.8454861,0.60833335
10,11,0.15196219,0.81901044,0.53515625,0.14750533,0.8421718,0.60795456,0.1461837,0.8427084,0.590625
11,12,0.14918578,0.81640625,0.5078125,0.1386413,0.8686869,0.6477273,0.14353065,0.8413195,0.59375
12,13,0.1409153,0.8255209,0.53125,0.13982874,0.8421718,0.5880682,0.13993514,0.84375,0.59583336
13,14,0.13872546,0.86328125,0.64453125,0.13400762,0.8421718,0.5681819,0.13530898,0.8541667,0.61875004
14,15,0.13571689,0.86588544,0.65625,0.12557696,0.8652147,0.6373106,0.13306037,0.84513897,0.60520834
15,16,0.12517077,0.8671875,0.66015625,0.1313097,0.8352274,0.5577652,0.13110404,0.8392361,0.58750004
16,17,0.12893954,0.82421875,0.52734375,0.12645595,0.8317551,0.5568182,0.12809221,0.84375,0.59270835
17,18,0.1280676,0.8255209,0.53125,0.12577249,0.8386995,0.5776515,0.12408819,0.8486112,0.6041667
18,19,0.14760599,0.8294271,0.5390625,0.120432615,0.84532833,0.5880682,0.12352164,0.84722227,0.6135417
19,20,0.11992565,0.8697917,0.66015625,0.113845676,0.85542935,0.62784094,0.121507786,0.8427084,0.5947917
20,21,0.120361276,0.828125,0.5390625,0.117499575,0.8491162,0.6089015,0.11894479,0.8538195,0.6145834
21,22,0.14353438,0.83463544,0.5546875,0.11827803,0.8358586,0.5691288,0.1178483,0.8559028,0.62083334
22,23,0.108650155,0.8723959,0.66796875,0.12135556,0.84248745,0.6089015,0.117637575,0.84618056,0.6020834
23,24,0.13158295,0.8385417,0.56640625,0.11034282,0.8661617,0.6401515,0.112203576,0.86909735,0.66562504
24,25,0.1296314,0.84375,0.58203125,0.10780351,0.8794192,0.67992425,0.11314068,0.87118053,0.6822917
25,26,0.11232461,0.8515625,0.60546875,0.10717537,0.8797349,0.7007576,0.10674548,0.8850695,0.7083334
26,27,0.11216984,0.85807294,0.62109375,0.10461812,0.88005054,0.7017045,0.106287435,0.89131945,0.7239584
27,28,0.10602638,0.9010417,0.75,0.1077386,0.8667929,0.6818182,0.105743304,0.8854167,0.7114584
28,29,0.13049977,0.8255209,0.64453125,0.10111725,0.8933081,0.72159094,0.10375619,0.8895834,0.7291667
29,30,0.09968248,0.9075521,0.76953125,0.099727616,0.8967804,0.7320076,0.10386389,0.8940973,0.7375
30,31,0.10405782,0.8684896,0.65234375,0.088639066,0.9204546,0.7926137,0.10224588,0.8989584,0.74895835
31,32,0.12179881,0.87369794,0.66796875,0.09891738,0.89709604,0.7329545,0.09973164,0.90138894,0.75937504
32,33,0.09743568,0.9153646,0.79296875,0.096316636,0.9204546,0.8030304,0.095783256,0.9107639,0.7791667
33,34,0.09576787,0.91796875,0.796875,0.09029716,0.9106692,0.77367425,0.096564665,0.909375,0.78020835
34,35,0.09407171,0.91796875,0.796875,0.094553225,0.90404046,0.7537879,0.09454067,0.91006947,0.77708334
