,epoch,loss,aar,par,val_loss,val_aar,val_par,x_loss,x_aar,x_par
0,1,0.2237131,0.49218753,0.1171875,0.20581552,0.6010101,0.19507575,0.20993812,0.5822917,0.15729168
1,2,0.21036401,0.5546875,0.1484375,0.20131837,0.6458334,0.22727273,0.2053846,0.6163195,0.21666668
2,3,0.2057544,0.6223959,0.19140625,0.19534883,0.70422983,0.29829547,0.20123024,0.6381945,0.23020835
3,4,0.21014021,0.60807294,0.2265625,0.1905134,0.74558085,0.4318182,0.19730113,0.6927084,0.328125
4,5,0.1971701,0.6875,0.28125,0.19290555,0.73674244,0.39393944,0.19285063,0.72256947,0.37083337
5,6,0.18991204,0.7291667,0.3515625,0.18154848,0.81376266,0.52462125,0.18895018,0.76180553,0.4375
6,7,0.18480487,0.80338544,0.5234375,0.17813377,0.82417935,0.55587125,0.183771,0.7944445,0.49895835
7,8,0.18581194,0.7760417,0.42578125,0.17633808,0.8178662,0.5056819,0.18090783,0.80243057,0.5
8,9,0.17344543,0.8203125,0.55078125,0.17072353,0.84122485,0.5757576,0.17681625,0.80416673,0.5
9,10,0.17850772,0.77994794,0.4296875,0.16844583,0.82796717,0.5359849,0.17348756,0.8052083,0.5083334
10,11,0.17535788,0.7825521,0.4375,0.16392998,0.83459604,0.55587125,0.17000845,0.80451393,0.50625
11,12,0.16568439,0.8216146,0.5546875,0.16254988,0.8213384,0.5359849,0.16643958,0.80868065,0.5135417
12,13,0.15973412,0.8216146,0.5546875,0.1563794,0.84122485,0.595644,0.16370797,0.80625004,0.5083334
13,14,0.15857711,0.8229167,0.5546875,0.15960507,0.8014521,0.47632575,0.16032638,0.80972236,0.51875
14,15,0.1567188,0.8216146,0.5546875,0.14766815,0.84438133,0.5852273,0.15931666,0.79548615,0.47916672
15,16,0.15382639,0.8216146,0.5546875,0.15025288,0.824495,0.54545456,0.15439443,0.80243057,0.49479172
16,17,0.15105939,0.8216146,0.5546875,0.14561203,0.824495,0.5255682,0.15239656,0.7993056,0.49687502
17,18,0.15677607,0.77734375,0.4296875,0.13955349,0.8377525,0.56534094,0.14875446,0.8027779,0.50208336
18,19,0.15154427,0.7760417,0.42578125,0.14150244,0.82102275,0.5350379,0.14800651,0.79375005,0.4854167
19,20,0.14180522,0.81640625,0.546875,0.14084682,0.814394,0.5151515,0.14601195,0.7920139,0.48020837
20,21,0.14870963,0.7747396,0.421875,0.14179134,0.78061867,0.42424244,0.14430954,0.78298616,0.46145836
21,22,0.15723185,0.7291667,0.4140625,0.13354531,0.7900884,0.4526515,0.14130493,0.77951396,0.4572917
22,23,0.13546558,0.8098959,0.53515625,0.13221191,0.7866162,0.4526515,0.13691401,0.7829861,0.45520836
23,24,0.13198882,0.79557294,0.4921875,0.12934677,0.7796718,0.4318182,0.13498107,0.76597226,0.4041667
24,25,0.13072407,0.7864584,0.47265625,0.12728617,0.76294196,0.39204547,0.13475691,0.76111114,0.40625
25,26,0.13864666,0.7434896,0.34765625,0.1255221,0.7761995,0.4318182,0.13280301,0.75347227,0.384375
26,27,0.13428469,0.74088544,0.33984375,0.1284642,0.75284094,0.36174244,0.13233308,0.7496528,0.378125
27,28,0.12650071,0.78125,0.4609375,0.119902186,0.79608595,0.47159094,0.13242991,0.7472223,0.37604168
28,29,0.1272831,0.74088544,0.33984375,0.11591251,0.8027147,0.4914773,0.12838678,0.7524306,0.38645837
29,30,0.13538797,0.7005209,0.33984375,0.12761132,0.7563132,0.39204547,0.1273291,0.7541667,0.39166668
30,31,0.1280374,0.7421875,0.34375,0.120253265,0.77304304,0.4223485,0.12502854,0.75520843,0.38958335
31,32,0.14355037,0.703125,0.34765625,0.12466639,0.7739899,0.42518944,0.12429627,0.7777778,0.4541667
32,33,0.12175539,0.7604167,0.390625,0.11515995,0.80713385,0.5047349,0.12279151,0.78333336,0.4729167
33,34,0.120381095,0.76171875,0.39453125,0.12185866,0.7774622,0.45549244,0.122020535,0.7809028,0.46562502
34,35,0.12207076,0.765625,0.40625,0.11505097,0.80429304,0.5160985,0.120320775,0.79062504,0.48958334
35,36,0.12592009,0.77213544,0.42578125,0.11719435,0.8178662,0.5568182,0.11934978,0.80208343,0.5260417
36,37,0.112493366,0.83203125,0.59375,0.10852709,0.8377526,0.59659094,0.11758814,0.81319445,0.5479167
37,38,0.113667086,0.83463544,0.6015625,0.120213315,0.7913511,0.5170455,0.11750322,0.81180567,0.54375
38,39,0.120782316,0.79557294,0.484375,0.12041413,0.78819454,0.47727275,0.11588007,0.82534724,0.57187504
39,40,0.12779495,0.8059896,0.5,0.106905505,0.84154046,0.58712125,0.11629232,0.83090276,0.5822917
40,41,0.11988787,0.81119794,0.51171875,0.1067176,0.8655304,0.6789774,0.11567582,0.846875,0.6177084
41,42,0.12807918,0.8255209,0.54296875,0.10768502,0.8589015,0.63920456,0.11511948,0.84444445,0.615625
42,43,0.11672595,0.86588544,0.6640625,0.10634383,0.8690026,0.65909094,0.11165092,0.85972226,0.6447917
43,44,0.10847951,0.8697917,0.671875,0.11537859,0.82922983,0.5994319,0.11238363,0.8520834,0.62708336
44,45,0.11546187,0.8697917,0.671875,0.11430266,0.8358586,0.6193182,0.11162269,0.8590278,0.64270836
45,46,0.10871181,0.8684896,0.66796875,0.10386932,0.8491162,0.6193182,0.11052199,0.8520834,0.62708336
46,47,0.115768924,0.8294271,0.55078125,0.10596442,0.8525884,0.6297349,0.11001732,0.8618056,0.6510417
47,48,0.104659215,0.8697917,0.671875,0.10188924,0.86584604,0.689394,0.10989528,0.8583334,0.640625
