"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
"ID2",0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0
"ID3",1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
"ID4",0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
"ID5",0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
"ID6",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"ID7",0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"ID8",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"ID9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID10",1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1
"ID11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID12",0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"ID13",1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0
"ID14",0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
"ID15",0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
"ID16",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"ID17",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"ID18",0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
"ID19",0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0
"ID20",0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1
"ID21",1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
"ID22",0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
"ID23",0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"ID24",0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
"ID25",0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
"ID26",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"ID27",1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0
"ID28",0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0
"ID29",0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"ID30",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID31",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"ID32",0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0
"ID33",0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0
"ID34",0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
"ID35",0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
"ID36",0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0
"ID37",1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0
"ID38",0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
"ID39",0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"ID40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ID41",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"ID42",0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0
"ID43",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID44",0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1
"ID45",0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
"ID46",0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"ID47",0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
"ID48",1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1
"ID49",0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
"ID50",0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0
