"","P(0)","1-P(1)"
"Item1",0.1371,0.0649
"Item2",0.0243,0.0137
"Item3",0.1478,0.1294
"Item4",0.0785,0.1069
"Item5",0.1478,0.049
"Item6",0.0825,0.0176
"Item7",0.0145,0.0767
"Item8",0.0836,0.0867
"Item9",0.1301,0.0766
"Item10",0.0168,0.0241
"Item11",0.1461,0.1227
"Item12",0.0407,0.0708
"Item13",0.107,0.0651
"Item14",0.1104,0.1197
"Item15",0.1366,0.1361
"Item16",0.0324,0.1298
"Item17",0.0467,0.0107
"Item18",0.126,0.1033
"Item19",0.0645,0.0638
"Item20",0.0815,0.0816
"Item21",0.0389,0.0873
"Item22",0.0491,0.0294
"Item23",0.1212,0.0197
"Item24",0.1231,0.0064
"Item25",0.0738,0.0824
"Item26",0.0082,0.0311
"Item27",0.1182,0.0282
"Item28",0.1452,0.0944
"Item29",0.1435,0.0341
"Item30",0.1086,0.0676
