"","P(0)","1-P(1)"
"Item1",0.0033,0.0347
"Item2",0.1039,0.1209
"Item3",0.1467,0.0774
"Item4",0.1369,0.094
"Item5",0.0437,0.1446
"Item6",0.1375,0.1422
"Item7",0.112,0.0254
"Item8",0.0487,0.1036
"Item9",0.0395,0.0161
"Item10",0.0856,0.0036
"Item11",0.0187,0.0107
"Item12",0.1295,0.0547
"Item13",0.1497,0.1406
"Item14",0.1237,0.0938
"Item15",0.0677,0.0322
"Item16",0.0389,0.1417
"Item17",0.0542,0.1326
"Item18",0.0733,0.0085
"Item19",0.0762,0.1056
"Item20",0.0654,0.138
"Item21",0.0832,0.0226
"Item22",0.0486,0.1301
"Item23",0.1397,0.1338
"Item24",0.0828,0.1216
"Item25",0.0205,0.0075
"Item26",0.0446,0.1455
"Item27",0.1473,0.0615
"Item28",0.0933,0.0414
"Item29",0.0152,0.0621
"Item30",0.0461,0.1484
