data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
FS536_5,0.828,0.291,0.756,0.235,0.899,0.511,0.909,0.526,0.864,0.41
FS536_4,0.828,0.291,0.756,0.235,0.912,0.623,0.9,0.528,0.857,0.375
FS536_3,0.828,0.291,0.756,0.235,0.909,0.597,0.897,0.478,0.849,0.36
FS536_2,0.828,0.291,0.756,0.235,0.901,0.511,0.907,0.56,0.873,0.437
FS536_1,0.828,0.291,0.756,0.235,0.912,0.621,0.908,0.562,0.846,0.334
,,,,,0.9066,0.5726,0.9042,0.5308,0.8578,0.3832
,,,,,0.006188699,0.057155927,0.005357238,0.034076385,0.011031772,0.040739416
,,,,,,,,,,
G4_py698_5,0.716,0.09,0.773,0.221,0.906,0.626,0.9,0.583,0.906,0.679
G4_py698_4,0.716,0.09,0.773,0.221,0.905,0.626,0.895,0.543,0.906,0.675
G4_py698_3,0.716,0.09,0.773,0.221,0.908,0.64,0.912,0.665,0.886,0.552
G4_py698_2,0.716,0.09,0.773,0.221,0.909,0.65,0.909,0.635,0.908,0.688
G4_py698_1,0.716,0.09,0.773,0.221,0.897,0.586,0.889,0.506,0.884,0.523
,,,,,0.905,0.6256,0.901,0.5864,0.898,0.6234
,,,,,0.004743416,0.024347484,0.009565563,0.064998462,0.011916375,0.079223103
,,,,,,,,,,
SFS536_5,0.784,0.409,0.77,0.381,0.946,0.799,0.949,0.799,0.937,0.776
SFS536_4,0.784,0.409,0.77,0.381,0.948,0.793,0.949,0.806,0.904,0.647
SFS536_3,0.784,0.409,0.77,0.381,0.929,0.703,0.953,0.817,0.938,0.778
SFS536_2,0.784,0.409,0.77,0.381,0.947,0.785,0.948,0.8,0.932,0.759
SFS536_1,0.784,0.409,0.77,0.381,0.948,0.799,0.947,0.797,0.941,0.785
,,,,,0.9436,0.7758,0.9492,0.8038,0.9304,0.749
,,,,,0.008203658,0.041099878,0.002280351,0.008105554,0.0151096,0.057814358
,,,,,,,,,,
SD1H1000_5,0.871,0.656,0.869,0.68,0.901,0.721,0.929,0.816,0.935,0.84
SD1H1000_4,0.871,0.656,0.869,0.68,0.883,0.684,0.888,0.693,0.937,0.846
