data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
FS536_5,0.794,0.246,0.737,0.192,0.875,0.412,0.884,0.44,0.824,0.306
FS536_4,0.794,0.246,0.737,0.192,0.87,0.368,0.885,0.399,0.805,0.259
FS536_3,0.794,0.246,0.737,0.192,0.878,0.392,0.869,0.362,0.831,0.328
FS536_2,0.794,0.246,0.737,0.192,0.876,0.377,0.876,0.381,0.829,0.308
FS536_1,0.794,0.246,0.737,0.192,0.882,0.433,0.881,0.416,0.83,0.317
,,,,,0.8762,0.3964,0.879,0.3996,0.8238,0.3036
,,,,,0.00438178,0.026387497,0.006595453,0.030253925,0.010848963,0.026406439
,,,,,,,,,,
G4_py698_5,0.705,0.102,0.764,0.182,0.883,0.503,0.868,0.474,0.868,0.559
G4_py698_4,0.705,0.102,0.764,0.182,0.882,0.5,0.859,0.377,0.871,0.566
G4_py698_3,0.705,0.102,0.764,0.182,0.87,0.447,0.867,0.433,0.87,0.562
G4_py698_2,0.705,0.102,0.764,0.182,0.881,0.479,0.869,0.509,0.863,0.519
G4_py698_1,0.705,0.102,0.764,0.182,0.883,0.503,0.869,0.494,0.871,0.57
,,,,,0.8798,0.4864,0.8664,0.4574,0.8686,0.5552
,,,,,0.005540758,0.024203306,0.004219005,0.053238144,0.003361547,0.020656718
,,,,,,,,,,
SFS536_5,0.776,0.373,0.762,0.343,0.921,0.675,0.92,0.664,0.909,0.675
SFS536_4,0.776,0.373,0.762,0.343,0.936,0.739,0.93,0.711,0.9,0.653
SFS536_3,0.776,0.373,0.762,0.343,0.937,0.744,0.936,0.728,0.886,0.618
SFS536_2,0.776,0.373,0.762,0.343,0.926,0.701,0.92,0.664,0.91,0.688
SFS536_1,0.776,0.373,0.762,0.343,0.921,0.692,0.938,0.746,0.913,0.703
,,,,,0.9282,0.7102,0.9288,0.7026,0.9036,0.6674
,,,,,0.007854935,0.03011146,0.0085557,0.037347021,0.010968136,0.033155693
,,,,,,,,,,
SD1H1000_5,0.878,0.678,0.872,0.688,0.909,0.765,0.859,0.64,0.845,0.605
SD1H1000_4,0.878,0.678,0.872,0.688,0.91,0.765,0.89,0.7,0.902,0.761
SD1H1000_3,0.878,0.678,0.872,0.688,0.909,0.761,0.912,0.773,0.905,0.768
SD1H1000_2,0.878,0.678,0.872,0.688,0.866,0.628,0.909,0.771,0.906,0.772
SD1H1000_1,0.878,0.678,0.872,0.688,0.91,0.765,0.847,0.611,0.833,0.583
,,,,,0.9008,0.7368,0.8834,0.699,0.8782,0.6978
,,,,,0.019460216,0.060845707,0.029313819,0.073969588,0.036065219,0.095156187
,,,,,,,,,,
SD1H300_5,0.822,0.607,0.851,0.643,0.891,0.713,0.887,0.677,0.899,0.76
SD1H300_4,0.822,0.607,0.851,0.643,0.897,0.737,0.913,0.783,0.896,0.75
SD1H300_3,0.822,0.607,0.851,0.643,0.831,0.543,0.9,0.733,0.841,0.587
SD1H300_2,0.822,0.607,0.851,0.643,0.871,0.653,0.878,0.677,0.897,0.753
SD1H300_1,0.822,0.607,0.851,0.643,0.899,0.73,0.91,0.763,0.898,0.757
,,,,,0.8778,0.6752,0.8976,0.7266,0.8862,0.7214
,,,,,0.028411265,0.08096419,0.014943226,0.048649769,0.025292291,0.075228319
,,,,,,,,,,
SD1H50_5,0.567,0.06,0.867,0.66,0.893,0.7,0.947,0.86,0.907,0.74
SD1H50_4,0.567,0.06,0.867,0.66,0.893,0.7,0.953,0.86,0.9,0.74
SD1H50_3,0.567,0.06,0.867,0.66,0.88,0.68,0.867,0.66,0.84,0.58
SD1H50_2,0.567,0.06,0.867,0.66,0.9,0.7,0.94,0.86,0.913,0.74
