"","MLE.skill1","MLE.skill2","MLE.skill3","MLE.skill4","MLE.skill5","MLE.skill6","MLE.skill7"
"1",1,1,1,0,1,1,1
"2",0,0,1,0,0,1,1
"3",1,0,0,0,1,1,0
"4",0,0,1,0,0,0,1
"5",1,0,1,1,1,1,1
"6",0,0,1,0,0,1,1
"7",1,1,1,1,1,1,1
"8",0,0,1,0,0,1,1
"9",1,1,0,1,1,0,1
"10",0,0,0,0,0,0,0
"11",1,0,1,0,1,0,1
"12",0,0,1,0,0,1,1
"13",1,0,1,0,1,0,1
"14",0,0,1,0,0,0,1
"15",1,1,0,1,1,0,0
"16",0,0,0,0,0,0,0
"17",1,0,0,0,0,1,0
"18",0,0,1,0,0,1,1
"19",1,0,1,1,1,0,1
"20",0,0,1,0,0,1,1
"21",0,1,1,0,1,1,1
"22",0,0,1,0,0,0,1
"23",1,0,1,0,1,0,1
"24",0,0,1,0,0,0,1
"25",1,1,1,1,1,1,1
"26",0,0,1,0,0,1,1
"27",1,1,1,1,1,1,1
"28",0,0,1,0,0,0,0
"29",1,1,1,1,1,1,1
"30",0,0,0,0,0,1,0
"31",1,0,0,1,1,1,0
"32",0,0,1,0,0,1,1
"33",1,0,0,1,0,1,0
"34",0,0,0,0,0,0,1
"35",1,0,0,1,1,0,0
"36",0,0,1,0,0,0,1
"37",1,0,1,0,1,1,0
"38",1,1,1,0,1,1,1
"39",0,0,1,0,0,0,1
"40",1,1,0,0,1,1,0
"41",0,0,1,0,0,1,1
"42",1,0,1,1,1,1,1
"43",0,0,0,0,0,1,0
"44",1,0,1,1,1,1,0
"45",0,0,1,0,0,0,1
"46",1,0,1,1,0,0,0
"47",0,0,0,0,0,1,0
"48",1,1,0,0,1,0,0
"49",0,0,1,0,0,0,1
"50",1,1,1,1,1,1,1
"51",0,0,0,0,0,0,0
"52",0,0,1,0,0,0,1
"53",1,1,1,1,1,1,1
"54",0,0,1,0,0,1,1
"55",1,1,1,1,1,1,1
"56",0,0,1,0,0,1,1
"57",0,0,1,0,0,1,1
"58",1,0,1,1,1,0,1
"59",0,0,0,0,0,1,0
"60",1,0,1,0,1,0,0
"61",0,0,0,0,0,1,0
"62",1,0,0,1,1,1,0
"63",0,0,1,0,0,1,1
"64",0,0,0,0,0,1,0
"65",1,1,1,1,1,0,1
"66",0,0,1,0,0,1,1
"67",1,1,1,1,1,1,1
"68",0,0,1,0,0,1,1
"69",1,1,1,1,1,1,1
"70",0,0,0,0,0,1,0
"71",1,1,1,1,1,1,1
"72",0,0,0,0,0,1,0
"73",1,1,1,0,1,0,1
"74",0,0,1,0,0,0,1
"75",1,0,0,0,0,1,0
"76",0,0,1,0,0,1,1
"77",0,0,0,0,1,1,0
"78",0,0,1,0,0,1,1
"79",1,0,1,1,1,0,1
"80",0,0,1,0,0,1,1
"81",1,0,1,0,1,0,1
"82",0,0,0,0,0,1,0
"83",1,0,0,0,1,0,0
"84",0,0,1,0,0,0,1
"85",1,1,1,1,1,1,0
"86",0,0,0,0,0,1,1
"87",1,1,1,0,1,0,0
"88",0,0,1,0,0,1,1
"89",1,0,1,1,1,1,1
"90",0,0,1,0,0,0,1
"91",1,0,1,1,1,1,1
"92",0,0,1,0,0,1,0
"93",1,1,0,1,1,1,1
"94",0,0,1,0,0,1,1
"95",1,0,1,1,1,1,1
"96",0,0,1,0,0,1,1
"97",1,1,1,1,1,1,1
"98",1,1,1,0,1,1,0
"99",0,0,0,0,0,0,0
"100",1,0,1,0,1,1,0
"101",0,0,0,0,0,1,1
"102",0,0,1,0,0,1,0
"103",1,0,1,0,1,0,0
"104",0,0,1,0,0,1,1
"105",1,0,1,1,1,1,1
"106",0,0,1,0,0,1,1
"107",1,1,0,0,1,0,0
"108",0,0,0,0,0,0,1
"109",1,0,0,1,1,0,0
"110",0,0,1,0,0,1,1
"111",1,0,0,1,1,1,0
"112",0,0,1,0,0,0,0
"113",1,0,0,0,1,0,1
"114",0,0,0,0,0,1,1
"115",1,1,1,1,1,1,1
"116",0,0,0,0,0,0,0
"117",1,0,0,0,1,0,1
"118",0,0,0,0,0,0,0
"119",1,1,1,0,1,1,1
"120",0,0,1,0,0,1,0
"121",0,0,0,1,1,0,0
"122",1,0,0,1,1,0,0
"123",0,0,0,0,0,0,0
"124",1,1,1,1,1,1,1
"125",0,0,0,0,0,1,0
"126",1,1,1,1,1,1,1
"127",0,0,1,0,0,1,1
"128",1,0,1,0,1,0,1
"129",0,0,0,0,0,1,0
"130",1,0,0,1,1,0,0
"131",0,0,0,0,0,1,0
"132",0,0,1,0,0,1,1
"133",1,1,1,1,1,1,1
"134",0,0,1,0,0,1,1
"135",1,0,0,0,1,0,0
"136",0,0,0,0,0,0,0
