Unnamed: 0,MLE.skill1,MLE.skill2,MLE.skill3,MLE.skill4,MLE.skill5,MLE.skill6,MLE.skill7
0,1,1,1,0,1,1,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,0,1,1,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,1,1,1,1,1
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,1,1,1,1,1
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,0,1,1,0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0,1,0,1,0,1
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0,1,0,1,0,1
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,1,0,1,1,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,0,0,0,0,1,0
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,0,1,1,1,0,1
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,1,1,0,1,1,1
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,1,0,1,0,1
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,1,1,1,1,1,1
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,1,1,1,1,1,1
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,1,1,1,1,1,1
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0,0,1,1,1,0
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,0,0,1,0,1,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0,0,1,1,0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,0,1,0,1,1,0
37,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38,0,0,1,0,0,0,1
39,0.0,1.0,0.0,0.0,0.0,1.0,0.0
40,0,0,1,0,0,1,1
41,1.0,0.0,1.0,1.0,1.0,1.0,1.0
42,0,0,0,0,0,1,0
43,1.0,0.0,1.0,1.0,1.0,1.0,0.0
44,0,0,1,0,0,0,1
45,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0,0,0,0,0,1,0
47,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0,0,1,0,0,0,1
49,1.0,0.0,0.0,0.0,1.0,1.0,1.0
50,0,0,0,0,0,0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,1,1,1,1,1,1
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,1,1,1,1,1,1
55,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0,1,0,0,1,1
57,1.0,0.0,1.0,0.0,1.0,0.0,0.0
58,0,0,0,0,0,1,0
59,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60,0,0,0,0,0,1,0
61,1.0,0.0,0.0,1.0,1.0,1.0,0.0
62,0,0,1,0,0,1,1
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,1,1,1,1,0,1
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,1,1,1,1,1,1
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,1,1,1,1,1,1
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1,1,1,1,1,1,1
