"","A1","A2","A3","A4","A5"
"ID1",0,1,1,1,1
"ID2",1,1,1,1,1
"ID3",1,0,0,0,1
"ID4",1,1,0,1,0
"ID5",0,0,0,0,0
"ID6",0,0,1,0,0
"ID7",0,0,0,0,0
"ID8",0,0,0,0,0
"ID9",0,1,1,0,0
"ID10",0,1,0,1,0
"ID11",1,0,1,0,1
"ID12",1,1,1,0,1
"ID13",0,1,0,1,0
"ID14",0,0,0,0,0
"ID15",0,0,1,0,0
"ID16",0,1,0,1,0
"ID17",0,0,0,0,0
"ID18",0,1,1,0,0
"ID19",0,1,1,0,0
"ID20",0,0,0,0,0
"ID21",1,0,0,1,0
"ID22",1,1,0,1,0
"ID23",1,1,1,1,1
"ID24",1,0,1,1,0
"ID25",1,1,1,0,0
"ID26",0,0,0,0,0
"ID27",0,0,1,0,0
"ID28",0,0,0,0,0
"ID29",0,0,1,0,0
"ID30",1,1,1,1,1
"ID31",1,1,1,1,1
"ID32",1,1,1,1,1
"ID33",1,1,1,1,1
"ID34",1,0,1,1,1
"ID35",1,1,0,1,1
"ID36",1,0,1,0,1
"ID37",0,0,1,1,1
"ID38",1,0,0,0,1
"ID39",1,1,1,1,1
"ID40",0,1,1,0,0
"ID41",0,0,0,0,0
"ID42",1,1,1,1,1
"ID43",1,1,1,1,1
"ID44",0,1,0,1,0
"ID45",1,1,1,1,1
"ID46",1,0,1,1,1
"ID47",0,1,1,0,0
"ID48",1,1,0,1,0
"ID49",0,0,0,0,0
"ID50",1,1,1,1,1
"ID51",0,0,0,0,0
"ID52",0,0,1,0,0
"ID53",0,1,0,1,1
"ID54",1,1,1,1,1
"ID55",1,1,0,1,0
"ID56",1,1,1,1,1
"ID57",1,1,1,1,1
"ID58",0,0,0,0,0
"ID59",0,1,1,0,0
"ID60",1,1,0,1,1
"ID61",0,0,0,0,0
"ID62",0,0,0,0,0
"ID63",1,0,1,0,1
"ID64",1,1,1,0,1
"ID65",1,1,0,0,1
"ID66",0,1,1,1,0
"ID67",1,0,1,0,1
"ID68",0,0,0,0,0
"ID69",0,0,0,0,0
"ID70",0,1,0,1,1
"ID71",0,0,1,0,0
"ID72",0,0,1,0,0
"ID73",0,0,0,0,0
"ID74",1,0,1,1,0
"ID75",0,1,1,0,0
"ID76",0,0,0,0,0
"ID77",1,0,0,0,0
"ID78",1,1,0,1,0
"ID79",1,1,1,1,1
"ID80",0,1,1,1,1
"ID81",0,1,1,0,0
"ID82",1,1,1,1,1
"ID83",0,0,0,0,0
"ID84",1,0,0,0,0
"ID85",0,1,0,1,1
"ID86",1,1,0,1,1
"ID87",0,1,1,1,0
"ID88",0,1,1,1,1
"ID89",1,1,1,1,1
"ID90",1,1,1,1,0
"ID91",1,1,0,0,1
"ID92",0,1,1,0,0
"ID93",1,1,0,1,1
"ID94",1,1,1,1,1
"ID95",1,1,1,1,1
"ID96",1,1,1,1,1
"ID97",1,1,0,1,0
"ID98",0,1,1,0,0
"ID99",1,1,0,1,1
"ID100",0,0,0,0,0
"ID101",0,0,1,0,0
"ID102",1,0,1,1,1
"ID103",0,0,1,0,0
"ID104",1,1,1,1,1
"ID105",1,1,1,0,1
"ID106",1,0,1,0,0
"ID107",0,0,0,0,0
"ID108",1,1,1,1,1
"ID109",1,0,1,0,0
"ID110",1,1,0,1,1
"ID111",0,1,0,1,0
"ID112",0,0,0,0,0
"ID113",1,0,0,0,1
"ID114",1,1,0,1,0
"ID115",1,0,0,1,0
"ID116",1,1,1,1,1
"ID117",0,0,0,0,0
"ID118",1,1,0,1,0
"ID119",0,1,1,1,1
"ID120",0,0,0,0,0
