,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
4,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
12,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
22,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1
25,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
34,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
35,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
36,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0
37,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
40,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
46,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
47,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
48,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
53,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
60,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
61,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0
64,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
65,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
66,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1
67,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0
68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
71,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
72,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0
75,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
78,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
81,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
82,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
85,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0
