Unnamed: 0,A1,A2,A3,A4,A5
0,0,1,1,1,1
1,1.0,1.0,1.0,1.0,1.0
2,1,0,0,0,1
3,1.0,1.0,1.0,1.0,0.0
4,0,0,0,0,0
5,0.0,0.0,1.0,0.0,0.0
6,0,0,0,0,0
7,0.0,0.0,0.0,0.0,0.0
8,0,1,1,0,0
9,0.0,0.0,1.0,0.0,0.0
10,1,0,1,0,1
11,1.0,1.0,1.0,1.0,0.0
12,0,1,0,1,0
13,0.0,0.0,0.0,0.0,0.0
14,0,0,1,0,0
15,0.0,0.0,0.0,0.0,0.0
16,0,0,0,0,0
17,0.0,0.0,0.0,0.0,0.0
18,0,1,1,0,0
19,0.0,0.0,0.0,0.0,0.0
20,1,0,0,1,0
21,1.0,1.0,1.0,1.0,0.0
22,1,1,1,1,1
23,1.0,0.0,1.0,1.0,0.0
24,1,1,1,0,0
25,0.0,0.0,1.0,0.0,0.0
26,0,0,1,0,0
27,0.0,0.0,0.0,0.0,0.0
28,0,0,1,0,0
29,1.0,1.0,1.0,1.0,1.0
30,1,1,1,1,1
31,1.0,1.0,1.0,1.0,1.0
32,1,1,1,1,1
33,1.0,1.0,1.0,1.0,1.0
34,1,1,0,1,1
35,1.0,0.0,1.0,0.0,0.0
36,0,0,1,1,1
37,1.0,0.0,0.0,0.0,1.0
38,1,1,1,1,1
39,0.0,0.0,1.0,0.0,0.0
40,0,0,0,0,0
41,1.0,1.0,1.0,1.0,1.0
42,1,1,1,1,1
43,0.0,0.0,0.0,0.0,0.0
44,1,1,1,1,1
45,1.0,1.0,1.0,1.0,1.0
46,0,1,1,0,0
47,0.0,0.0,0.0,0.0,0.0
48,0,0,0,0,0
49,1.0,1.0,1.0,1.0,1.0
50,0,0,0,0,0
51,1.0,0.0,1.0,0.0,0.0
52,0,1,0,1,1
53,1.0,1.0,1.0,1.0,1.0
54,1,1,0,1,0
55,1.0,1.0,1.0,1.0,1.0
56,1,1,1,1,1
57,0.0,0.0,1.0,0.0,0.0
58,0,1,1,0,0
59,1.0,1.0,1.0,1.0,1.0
60,0,0,0,0,0
61,0.0,0.0,0.0,0.0,0.0
62,1,0,1,0,1
63,1.0,1.0,1.0,1.0,1.0
64,1,1,0,0,1
65,1.0,1.0,1.0,1.0,0.0
66,1,0,1,0,1
67,0.0,0.0,1.0,0.0,0.0
68,0,0,0,0,0
69,0.0,0.0,0.0,0.0,1.0
70,0,0,1,0,0
71,0.0,0.0,1.0,0.0,0.0
72,0,0,0,0,0
73,1.0,0.0,1.0,1.0,0.0
74,0,1,1,0,0
75,0.0,0.0,0.0,0.0,0.0
76,1,0,0,0,0
77,1.0,1.0,1.0,1.0,0.0
78,1,1,1,1,1
79,1.0,1.0,1.0,1.0,1.0
80,0,1,1,0,0
81,1.0,1.0,1.0,1.0,1.0
82,0,0,0,0,0
83,1.0,0.0,0.0,0.0,0.0
84,0,1,0,1,1
85,1.0,1.0,1.0,1.0,1.0
86,0,1,1,1,0
87,1.0,1.0,1.0,1.0,1.0
88,1,1,1,1,1
89,1.0,1.0,1.0,1.0,1.0
90,1,1,0,0,1
91,0.0,0.0,0.0,0.0,0.0
92,1,1,0,1,1
93,1.0,1.0,1.0,1.0,1.0
94,1,1,1,1,1
95,1.0,1.0,1.0,1.0,1.0
96,1,1,0,1,0
97,0.0,0.0,1.0,0.0,0.0
98,1,1,0,1,1
99,0.0,0.0,0.0,0.0,0.0
100,0,0,1,0,0
101,1.0,1.0,1.0,1.0,1.0
102,0,0,1,0,0
103,1.0,1.0,1.0,1.0,1.0
104,1,1,1,0,1
105,1.0,0.0,1.0,0.0,0.0
106,0,0,0,0,0
107,1.0,1.0,1.0,1.0,1.0
108,1,0,1,0,0
109,1.0,1.0,1.0,1.0,0.0
110,0,1,0,1,0
111,0.0,0.0,0.0,0.0,0.0
112,1,0,0,0,1
113,1.0,1.0,1.0,1.0,0.0
114,1,0,0,1,0
115,1.0,1.0,1.0,1.0,1.0
116,0,0,0,0,0
117,1.0,1.0,1.0,0.0,0.0
118,0,1,1,1,1
119,0.0,0.0,0.0,0.0,0.0
120,0,0,0,0,0
121,0.0,0.0,1.0,0.0,0.0
122,0,0,1,0,0
123,1.0,1.0,1.0,1.0,1.0
124,1,1,0,1,0
125,1.0,1.0,1.0,1.0,1.0
126,1,0,1,1,1
127,1.0,1.0,1.0,1.0,1.0
128,1,1,0,1,0
129,1.0,1.0,1.0,1.0,1.0
130,0,1,0,1,0
131,1.0,1.0,1.0,1.0,0.0
132,0,1,0,1,1
133,0.0,0.0,0.0,0.0,0.0
134,0,0,0,0,0
135,1.0,1.0,1.0,1.0,1.0
136,1,1,0,1,1
137,1.0,1.0,1.0,1.0,1.0
138,0,0,0,0,0
139,1.0,1.0,1.0,1.0,1.0
140,1,1,1,0,1
141,1.0,1.0,1.0,1.0,1.0
142,0,1,0,1,0
143,0.0,0.0,0.0,0.0,0.0
144,0,1,0,0,0
145,1.0,1.0,1.0,1.0,1.0
146,1,1,0,1,1
147,0.0,0.0,0.0,0.0,0.0
148,1,0,1,1,0
149,1.0,1.0,1.0,1.0,1.0
150,1,1,0,1,1
151,1.0,1.0,1.0,1.0,1.0
152,1,0,1,1,1
153,1.0,1.0,1.0,1.0,1.0
154,0,1,1,1,1
155,1.0,1.0,1.0,1.0,1.0
156,1,1,1,1,1
157,1.0,1.0,1.0,1.0,0.0
158,1,1,0,0,1
159,1.0,1.0,1.0,1.0,1.0
160,1,1,0,1,1
161,1.0,1.0,1.0,1.0,1.0
162,1,1,1,1,1
163,1.0,1.0,1.0,1.0,1.0
164,0,0,0,0,0
165,0.0,0.0,1.0,0.0,0.0
166,0,1,0,1,0
167,1.0,1.0,1.0,1.0,1.0
168,0,1,1,1,1
169,0.0,0.0,0.0,0.0,0.0
170,0,1,0,1,0
171,1.0,1.0,1.0,1.0,0.0
172,1,1,1,1,1
173,1.0,0.0,1.0,1.0,1.0
174,0,1,0,0,0
175,1.0,1.0,1.0,0.0,0.0
176,1,1,0,1,0
177,1.0,0.0,0.0,0.0,0.0
178,1,1,1,0,0
179,1.0,1.0,1.0,1.0,1.0
180,0,0,0,0,0
181,1.0,0.0,1.0,0.0,0.0
182,1,1,1,0,0
183,1.0,1.0,1.0,1.0,1.0
184,1,0,1,1,1
185,1.0,1.0,1.0,1.0,1.0
186,0,0,0,0,0
187,0.0,0.0,0.0,0.0,0.0
188,1,1,1,1,1
189,1.0,1.0,1.0,1.0,1.0
190,1,1,1,1,1
191,1.0,1.0,1.0,1.0,1.0
192,1,0,1,1,1
193,0.0,0.0,0.0,0.0,0.0
194,0,0,1,0,0
195,1.0,1.0,1.0,1.0,1.0
196,1,1,1,1,0
197,1.0,1.0,1.0,1.0,1.0
198,1,1,1,1,1
199,0.0,0.0,0.0,0.0,0.0
200,1,1,1,1,1
201,1.0,1.0,1.0,1.0,1.0
202,1,1,0,1,1
203,1.0,1.0,1.0,1.0,1.0
204,1,1,0,1,0
205,1.0,1.0,1.0,1.0,0.0
206,1,1,0,1,1
207,1.0,0.0,1.0,0.0,0.0
208,1,1,1,1,1
209,1.0,1.0,1.0,1.0,1.0
210,0,0,1,1,0
211,1.0,0.0,0.0,0.0,1.0
212,1,1,1,1,1
213,1.0,1.0,1.0,1.0,1.0
214,0,0,0,0,0
215,1.0,1.0,1.0,1.0,1.0
216,0,0,0,0,0
217,1.0,1.0,1.0,1.0,1.0
218,1,0,0,0,1
219,1.0,1.0,1.0,1.0,0.0
220,1,0,0,1,1
221,1.0,1.0,1.0,1.0,1.0
222,1,1,1,1,1
