Unnamed: 0,A1,A2,A3,A4,A5
0,0,1,1,1,1
1,1.0,1.0,1.0,1.0,1.0
2,1.0,0.0,0.0,0.0,1.0
3,1,1,0,1,0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0
6,0,0,0,0,0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,1.0,0.0,0.0
9,0,1,0,1,0
10,1.0,0.0,1.0,0.0,1.0
11,1.0,1.0,1.0,1.0,0.0
12,0,1,0,1,0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,1.0,0.0,0.0
15,0,1,0,1,0
16,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0,1,1,0,0
19,0.0,0.0,0.0,0.0,0.0
20,1.0,1.0,1.0,1.0,1.0
21,1,1,0,1,0
22,1.0,1.0,1.0,1.0,1.0
23,1.0,0.0,1.0,1.0,0.0
24,1,1,1,0,0
25,0.0,0.0,1.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0,0
28,0.0,0.0,1.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0
30,1,1,1,1,1
31,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
33,1,0,1,1,1
34,1.0,1.0,1.0,1.0,1.0
35,1.0,0.0,1.0,0.0,0.0
36,0,0,1,1,1
37,1.0,0.0,0.0,0.0,1.0
38,1.0,1.0,1.0,1.0,1.0
39,0,1,1,0,0
40,0.0,0.0,1.0,0.0,0.0
41,1.0,1.0,1.0,1.0,1.0
42,1,1,1,1,1
43,0.0,0.0,0.0,0.0,0.0
44,1.0,1.0,1.0,1.0,1.0
45,1,0,1,1,1
46,0.0,0.0,1.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0,0,0,0,0
49,1.0,1.0,1.0,1.0,1.0
50,0.0,0.0,0.0,0.0,0.0
51,0,0,1,0,0
52,1.0,0.0,0.0,0.0,0.0
53,1.0,1.0,1.0,1.0,1.0
54,1,1,0,1,0
55,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0
57,0,0,0,0,0
58,0.0,0.0,1.0,0.0,0.0
59,1.0,1.0,1.0,1.0,1.0
60,0,0,0,0,0
61,0.0,0.0,0.0,0.0,0.0
62,1.0,0.0,1.0,0.0,0.0
63,1,1,1,0,1
64,1.0,0.0,1.0,0.0,0.0
65,1.0,1.0,1.0,1.0,0.0
66,1,0,1,0,1
67,0.0,0.0,1.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0,1,0,1,1
70,0.0,0.0,1.0,0.0,0.0
71,0.0,0.0,1.0,0.0,0.0
72,0,0,0,0,0
73,1.0,0.0,1.0,1.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0,0,0,0,0
76,1.0,0.0,1.0,0.0,0.0
77,1.0,1.0,1.0,1.0,0.0
78,1,1,1,1,1
79,1.0,1.0,1.0,1.0,1.0
80,0.0,0.0,0.0,0.0,0.0
81,1,1,1,1,1
82,0.0,0.0,1.0,0.0,0.0
83,1.0,0.0,0.0,0.0,0.0
84,0,1,0,1,1
85,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,0.0
87,0,1,1,1,1
88,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0
90,1,1,0,0,1
91,0.0,0.0,0.0,0.0,0.0
92,1.0,1.0,1.0,1.0,1.0
93,1,1,1,1,1
94,1.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,1.0
96,1,1,0,1,0
97,0.0,0.0,1.0,0.0,0.0
98,1.0,1.0,1.0,1.0,1.0
99,0,0,0,0,0
100,0.0,0.0,1.0,0.0,0.0
101,1.0,1.0,1.0,1.0,1.0
102,0,0,1,0,0
103,1.0,1.0,1.0,1.0,1.0
104,1.0,1.0,1.0,1.0,1.0
105,1,0,1,0,0
106,1.0,0.0,0.0,0.0,0.0
107,1.0,1.0,1.0,1.0,1.0
108,1,0,1,0,0
109,1.0,1.0,1.0,1.0,0.0
110,0.0,0.0,0.0,0.0,0.0
111,0,0,0,0,0
112,1.0,0.0,0.0,0.0,1.0
113,1.0,1.0,1.0,1.0,0.0
114,1,0,0,1,0
115,1.0,1.0,1.0,1.0,1.0
116,0.0,0.0,1.0,0.0,0.0
117,1,1,0,1,0
118,1.0,1.0,1.0,1.0,1.0
119,0.0,0.0,0.0,0.0,0.0
120,0,0,0,0,0
121,0.0,0.0,1.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,1,1,1,1,1
124,1.0,1.0,1.0,1.0,0.0
125,1.0,1.0,1.0,1.0,1.0
126,1,0,1,1,1
127,1.0,1.0,1.0,1.0,1.0
128,1.0,0.0,1.0,0.0,0.0
129,0,1,1,1,1
130,0.0,0.0,0.0,0.0,0.0
131,1.0,1.0,1.0,1.0,0.0
132,0,1,0,1,1
133,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0
135,1,1,1,1,1
136,1.0,0.0,1.0,1.0,0.0
137,1.0,1.0,1.0,1.0,1.0
138,0,0,0,0,0
139,1.0,1.0,1.0,1.0,1.0
140,1.0,0.0,1.0,0.0,1.0
141,1,1,1,1,1
142,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0
144,0,1,0,0,0
145,1.0,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,1.0,1.0
147,0,0,0,0,0
148,1.0,1.0,1.0,1.0,0.0
149,1.0,1.0,1.0,1.0,1.0
150,1,1,0,1,1
151,1.0,1.0,1.0,1.0,1.0
152,1.0,1.0,1.0,1.0,1.0
153,1,0,1,1,1
154,1.0,1.0,1.0,1.0,1.0
155,1.0,1.0,1.0,1.0,1.0
156,1,1,1,1,1
157,1.0,1.0,1.0,1.0,0.0
158,1.0,0.0,1.0,0.0,1.0
159,1,1,1,1,1
160,1.0,1.0,1.0,1.0,0.0
161,1.0,1.0,1.0,1.0,1.0
162,1,1,1,1,1
163,1.0,1.0,1.0,1.0,1.0
164,0.0,0.0,0.0,0.0,0.0
165,0,0,0,0,0
166,0.0,0.0,1.0,0.0,0.0
167,1.0,1.0,1.0,1.0,1.0
168,0,1,1,1,1
169,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0
171,1,0,1,1,0
172,1.0,1.0,1.0,1.0,1.0
173,1.0,0.0,1.0,1.0,1.0
174,0,1,0,0,0
175,1.0,1.0,1.0,0.0,0.0
176,1.0,1.0,1.0,1.0,0.0
177,1,0,0,0,0
178,1.0,1.0,1.0,1.0,0.0
179,1.0,1.0,1.0,1.0,1.0
180,0,0,0,0,0
181,1.0,0.0,1.0,0.0,0.0
182,1.0,0.0,1.0,0.0,0.0
183,1,0,1,1,1
184,1.0,1.0,1.0,1.0,1.0
185,1.0,1.0,1.0,1.0,1.0
186,0,0,0,0,0
187,0.0,0.0,0.0,0.0,0.0
188,1.0,1.0,1.0,1.0,1.0
189,1,1,1,1,1
190,1.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,1.0
192,1,0,1,1,1
193,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,1.0,0.0,0.0
195,1,1,1,1,1
196,1.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0,1.0
198,1,1,1,1,1
199,0.0,0.0,0.0,0.0,0.0
200,1.0,1.0,1.0,1.0,1.0
201,1,1,1,1,1
202,1.0,1.0,1.0,1.0,1.0
