Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,0.0,1.0
2,1,0,1
3,0.0,1.0,1.0
4,0,0,0
5,1.0,1.0,1.0
6,0,0,1
7,1.0,1.0,1.0
8,0,1,1
9,0.0,0.0,1.0
10,0,0,0
11,1.0,0.0,1.0
12,0,1,1
13,1.0,0.0,1.0
14,0,0,0
15,0.0,0.0,1.0
16,0,0,1
17,1.0,1.0,1.0
18,0,0,1
19,0.0,1.0,1.0
20,0,1,1
21,0.0,0.0,1.0
22,1,1,1
23,0.0,1.0,1.0
24,0,0,1
25,1.0,0.0,0.0
26,0,1,1
27,0.0,1.0,0.0
28,0,1,1
29,1.0,1.0,0.0
30,0,1,1
31,0.0,0.0,1.0
32,0,0,1
33,0.0,0.0,1.0
34,0,0,1
35,1.0,0.0,1.0
36,0,0,1
37,1.0,0.0,1.0
38,0,0,0
39,0.0,0.0,1.0
40,0,0,1
41,1.0,0.0,1.0
42,0,1,1
43,0.0,1.0,0.0
44,0,1,0
45,0.0,1.0,1.0
46,0,1,1
47,0.0,0.0,1.0
48,0,1,1
49,0.0,0.0,1.0
50,0,1,1
51,0.0,1.0,1.0
52,1,1,1
53,1.0,0.0,1.0
54,0,1,1
55,0.0,1.0,1.0
56,0,0,1
57,1.0,1.0,1.0
58,0,1,1
59,0.0,1.0,1.0
60,0,1,1
61,0.0,0.0,0.0
62,0,0,1
63,0.0,1.0,1.0
64,0,0,1
65,1.0,1.0,1.0
66,0,1,1
67,0.0,1.0,1.0
68,1,1,1
69,0.0,1.0,1.0
70,0,1,1
71,0.0,1.0,1.0
72,0,1,1
73,1.0,0.0,1.0
74,0,1,1
75,1.0,1.0,1.0
76,0,1,1
77,1.0,0.0,1.0
78,0,1,1
79,0.0,1.0,1.0
80,0,1,1
81,1.0,1.0,1.0
82,0,0,1
83,0.0,0.0,1.0
84,0,0,1
85,0.0,1.0,1.0
86,0,0,1
87,0.0,1.0,1.0
88,1,0,1
89,0.0,0.0,0.0
90,0,0,1
91,0.0,0.0,1.0
92,0,1,1
93,0.0,1.0,1.0
94,0,0,1
95,1.0,0.0,0.0
96,0,0,1
97,0.0,1.0,1.0
98,0,0,1
99,1.0,1.0,1.0
100,0,1,1
101,0.0,1.0,1.0
102,0,1,0
103,0.0,1.0,1.0
104,1,0,0
105,0.0,1.0,1.0
106,0,0,1
107,0.0,0.0,1.0
108,0,0,1
109,0.0,0.0,1.0
110,0,1,1
111,0.0,0.0,1.0
112,0,1,1
113,0.0,0.0,1.0
114,0,0,1
115,1.0,0.0,1.0
116,0,1,1
117,1.0,0.0,1.0
118,0,1,1
119,0.0,1.0,1.0
120,0,0,1
121,0.0,0.0,0.0
122,0,1,1
123,0.0,1.0,1.0
124,0,0,1
125,0.0,1.0,0.0
126,0,0,0
127,0.0,0.0,1.0
128,0,0,1
129,1.0,1.0,1.0
130,0,0,1
131,1.0,1.0,1.0
132,0,0,1
133,0.0,0.0,1.0
134,0,1,1
135,0.0,0.0,1.0
136,0,1,1
137,0.0,0.0,1.0
138,0,0,1
139,1.0,0.0,1.0
140,0,0,1
141,0.0,0.0,1.0
142,0,0,1
143,1.0,1.0,1.0
144,1,1,1
145,0.0,0.0,0.0
146,1,1,1
147,0.0,1.0,1.0
148,0,1,1
149,0.0,1.0,1.0
150,0,1,1
151,0.0,0.0,1.0
152,0,0,1
153,1.0,0.0,0.0
154,0,1,1
155,0.0,0.0,1.0
156,0,1,1
157,0.0,1.0,1.0
158,0,1,1
159,0.0,1.0,1.0
160,1,1,1
161,0.0,0.0,0.0
162,0,1,1
163,1.0,0.0,1.0
164,0,0,0
165,0.0,0.0,0.0
166,0,1,0
167,0.0,1.0,1.0
168,0,1,1
169,0.0,1.0,0.0
170,0,1,1
171,0.0,1.0,0.0
172,0,0,1
173,1.0,1.0,1.0
174,0,0,1
175,0.0,1.0,0.0
176,0,1,1
177,0.0,1.0,1.0
178,0,1,1
179,0.0,1.0,1.0
180,1,0,1
181,0.0,1.0,1.0
182,1,0,1
183,1.0,0.0,1.0
184,0,1,1
185,1.0,1.0,1.0
186,0,0,1
187,1.0,1.0,1.0
188,0,1,1
189,1.0,1.0,1.0
190,0,1,1
191,0.0,1.0,1.0
192,0,1,1
193,0.0,1.0,1.0
194,0,1,1
195,0.0,1.0,0.0
196,0,1,1
197,0.0,0.0,0.0
198,0,1,0
199,0.0,1.0,1.0
200,0,0,1
201,0.0,1.0,1.0
202,0,0,1
203,1.0,0.0,1.0
204,0,1,1
205,1.0,0.0,1.0
206,1,0,1
207,1.0,1.0,1.0
208,0,1,0
209,0.0,0.0,1.0
210,0,0,1
211,0.0,0.0,0.0
212,0,0,1
213,0.0,0.0,1.0
214,0,1,1
215,0.0,0.0,1.0
216,0,1,1
217,0.0,1.0,1.0
218,0,1,0
219,0.0,1.0,1.0
220,0,1,1
221,0.0,0.0,1.0
222,0,0,0
223,0.0,1.0,1.0
