"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",1,0,1,0,1,1,1,1,0,1
"ID2",1,1,1,0,1,0,1,1,0,1
"ID3",1,0,1,0,0,0,1,0,0,0
"ID4",0,1,1,1,1,0,0,0,0,1
"ID5",0,1,1,1,1,0,1,0,1,0
"ID6",1,0,1,0,1,0,0,1,0,0
"ID7",0,0,1,0,1,0,0,0,0,0
"ID8",1,0,1,0,1,0,1,0,1,0
"ID9",0,0,1,1,1,0,0,1,0,0
"ID10",0,1,1,1,1,0,0,1,1,1
"ID11",0,1,0,0,1,0,0,0,1,0
"ID12",1,0,0,1,0,0,0,1,0,1
"ID13",0,1,1,0,1,1,0,0,1,0
"ID14",0,1,1,0,0,0,0,0,1,1
"ID15",0,1,0,1,1,0,1,1,1,0
"ID16",0,0,1,0,0,0,0,1,0,0
"ID17",0,0,1,0,0,1,0,0,0,0
"ID18",0,0,0,0,0,1,0,0,0,0
"ID19",0,0,0,0,0,0,1,0,0,1
"ID20",1,0,0,1,0,1,1,1,0,0
"ID21",0,0,1,0,0,0,0,0,1,0
"ID22",0,1,0,0,1,0,0,0,1,1
"ID23",1,0,0,1,0,0,0,0,0,0
"ID24",1,0,1,0,0,0,0,1,0,0
"ID25",0,0,1,1,0,1,1,1,0,0
"ID26",0,1,1,0,1,0,0,0,0,0
"ID27",0,0,1,1,0,0,1,0,1,0
"ID28",0,1,1,0,1,0,0,0,1,0
"ID29",0,0,1,1,0,0,1,0,0,0
"ID30",1,0,1,0,0,0,1,1,1,1
"ID31",0,1,1,0,1,1,0,0,0,0
"ID32",0,1,1,0,0,1,1,1,1,1
"ID33",0,1,0,0,1,0,0,0,1,0
"ID34",1,0,1,0,1,1,1,0,1,0
"ID35",1,1,0,0,1,1,0,1,1,1
"ID36",0,1,1,0,0,0,0,1,1,1
"ID37",1,1,1,0,0,0,0,1,1,0
"ID38",0,0,1,1,0,0,1,0,0,0
"ID39",1,1,1,1,0,0,1,1,1,0
"ID40",0,1,1,0,1,0,0,0,1,0
"ID41",0,0,1,0,0,0,1,0,0,0
"ID42",0,0,0,0,0,1,1,0,0,0
"ID43",0,0,1,1,0,0,0,1,1,0
"ID44",0,1,1,0,1,0,0,1,1,1
"ID45",0,1,1,0,0,0,1,0,0,0
"ID46",1,1,1,0,1,0,1,1,1,1
"ID47",0,0,1,0,0,0,1,0,0,0
"ID48",0,0,1,1,0,0,0,1,0,1
"ID49",0,1,1,0,1,0,0,0,1,0
"ID50",1,0,1,1,0,0,0,0,0,0
