"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,1,1,1,1,1,1,1
"ID2",0,0,1,0,1,0,1,0,1,0
"ID3",0,0,1,0,1,0,0,0,1,0
"ID4",0,1,1,0,1,0,0,0,1,0
"ID5",0,1,1,0,1,0,0,0,1,0
"ID6",0,0,1,0,0,0,0,0,0,0
"ID7",1,1,1,1,1,1,0,0,1,1
"ID8",0,0,1,0,0,1,0,0,0,0
"ID9",0,0,1,1,0,0,0,0,0,0
"ID10",0,0,1,0,0,1,0,1,0,0
"ID11",0,1,0,0,0,0,0,0,0,0
"ID12",0,1,1,0,1,0,0,1,1,0
"ID13",0,0,1,0,0,0,0,0,0,0
"ID14",0,1,1,0,1,1,0,0,1,0
"ID15",0,1,1,0,1,1,0,0,0,0
"ID16",0,1,1,0,1,0,0,0,1,0
"ID17",0,1,1,0,1,0,0,0,1,0
"ID18",0,1,0,0,1,0,0,0,1,0
"ID19",0,0,1,0,0,0,0,0,0,0
"ID20",0,0,0,0,0,1,0,0,1,0
"ID21",0,1,1,0,1,0,0,0,1,1
"ID22",0,1,1,0,0,0,0,0,0,0
"ID23",0,0,0,0,0,1,0,0,0,1
"ID24",0,1,1,0,1,1,0,0,1,0
"ID25",0,0,1,0,0,1,0,0,0,1
"ID26",0,0,1,0,1,0,0,0,1,0
"ID27",0,1,1,0,1,0,0,0,1,1
"ID28",1,1,1,1,1,1,1,1,1,1
"ID29",0,1,1,0,0,0,0,0,0,0
"ID30",0,0,0,0,0,0,0,0,0,0
"ID31",1,0,0,1,0,0,1,0,0,0
"ID32",0,1,0,0,1,0,0,0,0,1
"ID33",0,0,1,0,1,0,0,0,1,0
"ID34",0,0,1,0,0,0,0,0,0,0
"ID35",1,1,0,1,1,1,1,1,1,1
"ID36",0,0,0,0,0,0,0,0,0,0
"ID37",1,1,1,1,0,1,1,0,0,1
"ID38",0,1,1,0,1,0,0,0,0,0
"ID39",1,0,1,1,0,0,1,0,0,0
"ID40",1,0,1,1,0,0,1,0,0,1
"ID41",0,1,0,0,1,0,0,0,1,0
"ID42",0,0,0,0,0,1,0,0,0,0
"ID43",0,0,0,0,0,0,0,1,0,0
"ID44",0,1,0,0,0,0,0,0,0,0
"ID45",1,0,0,0,0,0,0,0,0,1
"ID46",0,1,1,0,0,0,0,0,1,0
"ID47",0,1,0,0,1,0,0,0,1,0
"ID48",0,1,1,0,1,0,0,0,1,0
"ID49",0,0,1,0,0,0,0,0,0,0
"ID50",0,1,1,0,1,0,0,0,0,0
"ID51",1,1,1,1,0,1,1,1,1,1
"ID52",1,1,1,0,1,0,0,0,1,0
"ID53",0,0,1,0,0,0,0,0,0,0
"ID54",0,0,0,0,0,1,0,0,0,0
"ID55",0,0,1,0,0,0,0,0,0,0
"ID56",0,0,1,0,0,0,0,1,0,0
"ID57",0,0,1,0,0,0,0,0,0,0
"ID58",1,0,1,1,1,1,1,1,1,1
"ID59",0,1,0,0,1,0,0,0,1,0
