"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"ID2",1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
"ID3",0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
"ID4",1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
"ID5",1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
"ID6",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
"ID7",0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0
"ID8",1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0
"ID9",0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1
"ID10",1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1
"ID11",1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"ID12",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ID13",0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0
"ID14",0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0
"ID15",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"ID16",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"ID17",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"ID18",1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0
"ID19",0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
"ID20",0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1
"ID21",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"ID22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"ID23",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"ID24",0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"ID25",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"ID26",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"ID27",0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
"ID28",1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1
"ID29",0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0
"ID30",1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0
"ID31",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ID32",0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1
"ID33",1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
"ID34",1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0
"ID35",0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"ID36",0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0
"ID37",1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0
"ID38",0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0
"ID39",0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"ID40",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"ID41",1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
"ID42",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
"ID43",0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0
"ID44",1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0
"ID45",0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"ID46",0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
"ID47",0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
"ID48",0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0
"ID49",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
"ID50",0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"ID51",0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0
"ID52",0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
"ID53",1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"ID54",0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
"ID55",0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0
"ID56",1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"ID57",0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"ID58",0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0
"ID59",0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0
"ID60",0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"ID61",0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0
"ID62",0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0
"ID63",0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0
"ID64",1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"ID65",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ID66",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ID67",0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"ID68",0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
"ID69",0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
"ID70",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
"ID71",0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
"ID72",0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
"ID73",0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID74",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"ID75",1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1
"ID76",1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID77",0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
"ID78",1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0
"ID79",0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
