Unnamed: 0,A1,A2,A3
0,0,0,1
1,0.0,1.0,0.0
2,0.0,0.0,1.0
3,0,0,1
4,0.0,0.0,1.0
5,0.0,0.0,0.0
6,0,1,1
7,0.0,1.0,1.0
8,0.0,1.0,1.0
9,0,1,1
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0,0,1
13,0.0,1.0,0.0
14,0.0,0.0,0.0
15,1,1,1
16,1.0,0.0,0.0
17,0.0,0.0,1.0
18,0,1,1
19,1.0,1.0,1.0
20,0.0,0.0,1.0
21,1,1,1
22,0.0,0.0,1.0
23,0.0,0.0,1.0
24,0,0,0
25,0.0,0.0,1.0
26,0.0,1.0,1.0
27,0,1,1
28,0.0,0.0,1.0
29,0.0,0.0,1.0
30,0,0,0
31,0.0,1.0,1.0
32,1.0,1.0,1.0
33,0,1,1
34,0.0,0.0,1.0
35,0.0,1.0,1.0
36,1,1,1
37,0.0,1.0,1.0
38,0.0,1.0,0.0
39,0,0,0
40,0.0,0.0,1.0
41,0.0,0.0,0.0
42,0,1,1
43,1.0,0.0,1.0
44,0.0,0.0,0.0
45,1,0,1
46,0.0,0.0,1.0
47,1.0,1.0,1.0
48,0,0,1
49,0.0,1.0,1.0
50,0.0,1.0,1.0
51,0,0,1
52,0.0,1.0,1.0
53,0.0,0.0,1.0
54,0,1,1
55,0.0,0.0,1.0
56,0.0,0.0,0.0
57,0,1,1
58,0.0,1.0,1.0
59,0.0,1.0,1.0
60,0,1,1
61,0.0,0.0,0.0
62,0.0,1.0,1.0
63,0,0,1
64,0.0,0.0,0.0
65,0.0,0.0,1.0
66,0,0,1
67,1.0,1.0,0.0
68,0.0,1.0,1.0
69,0,0,1
70,0.0,1.0,1.0
71,0.0,1.0,1.0
72,0,0,1
73,0.0,0.0,1.0
74,0.0,1.0,1.0
75,0,1,1
76,0.0,0.0,1.0
77,0.0,1.0,1.0
78,1,0,1
79,0.0,0.0,1.0
80,1.0,1.0,1.0
81,0,1,0
82,0.0,0.0,1.0
83,0.0,1.0,0.0
84,0,1,1
85,1.0,1.0,1.0
86,0.0,1.0,1.0
87,0,0,1
88,0.0,1.0,1.0
89,1.0,0.0,1.0
90,0,0,1
91,0.0,1.0,1.0
92,0.0,0.0,1.0
93,0,1,1
94,1.0,1.0,1.0
95,0.0,0.0,1.0
96,0,0,1
97,0.0,1.0,0.0
98,0.0,1.0,0.0
99,1,0,1
100,0.0,1.0,1.0
101,0.0,0.0,1.0
102,0,1,1
103,0.0,0.0,1.0
104,0.0,1.0,1.0
105,0,0,1
106,0.0,0.0,1.0
107,1.0,0.0,1.0
108,0,1,1
109,0.0,1.0,1.0
110,0.0,1.0,0.0
111,0,0,1
112,0.0,0.0,1.0
113,0.0,0.0,1.0
114,1,1,1
115,0.0,0.0,1.0
116,1.0,0.0,0.0
117,0,0,1
118,0.0,0.0,1.0
119,0.0,1.0,0.0
120,0,1,1
121,0.0,0.0,0.0
