"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,1
"ID3",0,0,1
"ID4",0,0,1
"ID5",0,1,1
"ID6",0,0,0
"ID7",0,1,1
"ID8",0,1,1
"ID9",0,0,0
"ID10",0,0,1
"ID11",0,0,0
"ID12",1,1,1
"ID13",0,1,1
"ID14",0,0,1
"ID15",1,1,1
"ID16",0,0,1
"ID17",0,0,0
"ID18",0,0,1
"ID19",0,0,1
"ID20",0,0,1
"ID21",0,0,0
"ID22",0,0,1
"ID23",0,0,1
"ID24",0,0,1
"ID25",0,1,1
"ID26",0,1,1
"ID27",1,1,1
"ID28",0,0,0
"ID29",0,0,1
"ID30",0,1,1
"ID31",0,1,1
"ID32",0,0,1
"ID33",0,0,1
"ID34",0,0,0
"ID35",1,1,0
"ID36",0,1,1
"ID37",0,0,1
"ID38",0,0,0
"ID39",0,1,1
"ID40",1,1,1
"ID41",0,0,1
"ID42",0,1,1
"ID43",0,0,1
"ID44",0,0,0
"ID45",0,0,0
"ID46",0,0,0
"ID47",0,1,1
"ID48",0,1,1
"ID49",0,0,1
"ID50",0,0,1
"ID51",0,0,0
"ID52",1,1,1
"ID53",0,0,1
"ID54",0,0,1
"ID55",0,1,1
"ID56",0,1,1
"ID57",0,1,1
"ID58",0,0,1
"ID59",1,0,1
"ID60",0,1,1
"ID61",1,1,1
"ID62",0,0,1
"ID63",0,0,1
"ID64",0,0,0
"ID65",0,1,0
"ID66",0,1,1
"ID67",0,1,1
"ID68",0,0,1
"ID69",0,1,0
"ID70",0,0,1
"ID71",0,1,1
"ID72",0,1,1
"ID73",0,1,1
"ID74",0,1,1
"ID75",1,0,1
"ID76",0,1,1
"ID77",0,0,0
"ID78",0,0,1
"ID79",0,0,0
"ID80",0,0,1
"ID81",0,1,0
"ID82",0,0,1
"ID83",0,0,0
"ID84",0,0,1
"ID85",0,0,1
"ID86",0,1,0
"ID87",1,1,0
"ID88",0,0,0
"ID89",0,0,0
"ID90",0,0,1
"ID91",0,1,1
"ID92",0,0,1
"ID93",1,1,1
"ID94",0,1,1
"ID95",0,0,1
"ID96",1,1,1
"ID97",0,1,1
"ID98",0,1,1
"ID99",0,1,1
"ID100",0,0,0
"ID101",0,1,1
"ID102",0,0,1
"ID103",0,0,0
"ID104",0,0,0
"ID105",1,0,1
"ID106",0,1,1
"ID107",0,0,1
"ID108",1,0,0
"ID109",0,1,1
"ID110",0,1,1
"ID111",0,1,1
"ID112",0,1,1
"ID113",0,1,1
"ID114",0,0,0
"ID115",0,0,0
"ID116",0,0,1
"ID117",0,1,1
"ID118",1,1,1
"ID119",0,1,1
"ID120",0,1,1
"ID121",0,1,1
"ID122",0,0,1
"ID123",0,0,1
