"","A1","A2","A3","A4","A5"
"ID1",0,0,1,1,0
"ID2",0,0,0,0,1
"ID3",0,0,0,0,1
"ID4",1,1,1,0,1
"ID5",0,1,1,1,1
"ID6",0,0,0,1,1
"ID7",0,1,1,1,0
"ID8",0,0,0,1,1
"ID9",0,1,0,1,1
"ID10",0,0,1,1,1
"ID11",0,0,1,1,1
"ID12",0,1,1,1,0
"ID13",1,1,0,1,1
"ID14",0,0,0,1,0
"ID15",0,0,0,0,0
"ID16",1,0,0,0,1
"ID17",0,0,1,1,1
"ID18",1,1,0,1,1
"ID19",0,1,1,1,1
"ID20",0,0,1,1,1
"ID21",0,1,1,1,1
"ID22",0,0,0,0,1
"ID23",0,0,0,0,1
"ID24",0,1,1,1,1
"ID25",0,1,1,1,1
"ID26",0,1,0,0,0
"ID27",0,0,1,1,1
"ID28",0,0,0,1,1
"ID29",1,1,1,1,1
"ID30",1,1,1,1,1
"ID31",1,1,1,1,1
"ID32",0,0,1,1,1
"ID33",0,1,0,1,1
"ID34",0,0,0,1,1
"ID35",0,0,0,1,1
"ID36",0,1,0,1,0
"ID37",0,0,0,0,1
"ID38",0,0,0,1,1
"ID39",1,1,0,1,1
"ID40",0,1,0,1,1
"ID41",0,0,1,1,1
"ID42",0,0,1,1,1
"ID43",0,0,1,1,1
"ID44",0,0,0,0,0
"ID45",0,0,0,1,1
"ID46",0,0,1,1,0
"ID47",0,0,1,0,1
"ID48",0,0,0,1,1
"ID49",0,1,0,0,1
"ID50",0,0,0,0,1
"ID51",0,1,1,1,1
"ID52",0,1,0,0,1
"ID53",0,0,0,1,1
"ID54",0,0,1,0,1
"ID55",0,0,1,0,0
"ID56",1,1,1,1,1
"ID57",0,1,1,1,0
"ID58",0,0,1,1,1
"ID59",0,0,1,0,0
"ID60",0,0,0,1,0
"ID61",0,1,0,1,1
"ID62",1,0,1,1,1
"ID63",0,0,0,1,1
"ID64",1,0,1,0,1
"ID65",1,0,0,0,1
"ID66",0,1,1,1,1
"ID67",0,1,0,1,1
"ID68",0,1,1,0,1
"ID69",0,0,1,1,1
"ID70",0,0,0,0,1
"ID71",0,1,1,1,1
"ID72",0,1,1,0,1
"ID73",0,1,1,1,1
"ID74",0,0,0,1,1
"ID75",0,0,1,0,1
"ID76",0,0,0,1,0
"ID77",0,0,1,1,1
"ID78",0,1,0,1,1
"ID79",0,0,1,1,1
"ID80",0,0,0,0,0
"ID81",0,0,1,1,1
"ID82",0,0,1,1,1
"ID83",0,0,0,1,1
"ID84",1,0,1,1,1
"ID85",0,0,0,1,1
"ID86",0,0,0,1,0
"ID87",0,0,0,1,1
"ID88",0,0,0,1,1
"ID89",0,1,1,1,1
"ID90",0,0,0,1,0
"ID91",0,1,1,1,1
"ID92",0,0,0,1,1
"ID93",0,0,0,0,0
"ID94",0,1,1,1,1
"ID95",1,1,0,1,1
"ID96",1,0,1,1,1
"ID97",0,0,0,1,0
"ID98",0,1,0,0,1
"ID99",1,0,1,1,1
"ID100",0,1,1,1,1
"ID101",0,0,1,1,1
"ID102",1,0,0,0,1
"ID103",0,0,0,1,1
"ID104",0,0,1,1,1
"ID105",0,0,1,1,0
"ID106",0,0,1,1,0
"ID107",0,0,0,1,1
"ID108",0,0,1,1,1
"ID109",0,0,0,0,1
"ID110",0,0,1,1,1
"ID111",0,0,0,0,1
"ID112",1,1,0,1,1
"ID113",0,1,1,1,1
"ID114",0,0,0,0,1
"ID115",0,1,1,1,1
"ID116",0,0,1,0,1
"ID117",0,0,0,1,1
"ID118",0,0,1,1,1
"ID119",0,0,0,1,1
"ID120",1,0,1,1,1
"ID121",0,1,0,1,1
"ID122",0,0,1,1,0
"ID123",0,1,0,1,1
"ID124",1,0,1,1,1
"ID125",0,0,0,1,0
"ID126",0,0,0,1,0
"ID127",0,1,1,1,1
"ID128",0,0,1,1,1
"ID129",0,0,0,1,1
"ID130",0,0,1,0,1
"ID131",0,0,1,1,1
"ID132",0,0,0,1,1
"ID133",0,1,1,1,1
"ID134",1,0,1,1,1
"ID135",0,1,0,1,1
"ID136",0,0,1,1,1
"ID137",1,0,1,1,1
"ID138",1,0,0,0,1
"ID139",0,1,1,1,1
"ID140",0,0,0,0,0
"ID141",1,0,1,1,1
"ID142",0,1,1,1,1
"ID143",0,0,0,1,0
"ID144",1,1,1,1,1
"ID145",0,0,1,1,1
"ID146",1,0,1,1,1
"ID147",0,1,1,1,1
"ID148",1,1,0,1,1
"ID149",0,1,1,0,1
"ID150",0,0,0,0,1
"ID151",1,0,0,0,1
"ID152",0,0,1,1,1
"ID153",0,0,0,0,0
"ID154",0,1,1,0,1
"ID155",0,0,0,1,1
"ID156",0,1,0,1,1
"ID157",0,0,0,0,0
"ID158",0,0,1,1,1
"ID159",0,1,1,1,1
"ID160",0,0,1,1,1
"ID161",0,0,0,1,1
"ID162",0,0,0,1,1
"ID163",0,1,1,1,1
"ID164",1,0,1,1,1
"ID165",0,1,1,1,0
"ID166",0,0,0,0,0
"ID167",0,0,1,0,1
"ID168",0,0,0,0,1
"ID169",0,1,1,0,1
"ID170",0,0,0,1,1
"ID171",1,0,0,1,0
"ID172",0,1,1,1,1
"ID173",0,0,1,1,1
"ID174",0,0,1,0,1
"ID175",1,1,1,1,1
"ID176",0,0,0,1,1
"ID177",1,1,1,1,1
"ID178",0,1,0,1,0
"ID179",0,0,0,0,0
"ID180",0,0,0,1,1
"ID181",0,0,0,0,1
"ID182",0,0,0,1,1
"ID183",1,0,0,1,0
"ID184",0,0,1,1,1
"ID185",0,0,1,1,1
"ID186",0,0,1,1,1
"ID187",0,0,0,1,1
"ID188",0,1,0,1,1
"ID189",0,0,1,1,0
"ID190",1,1,1,1,1
"ID191",1,0,0,1,1
"ID192",0,0,0,0,0
"ID193",0,0,1,0,1
"ID194",1,0,1,1,1
"ID195",0,0,0,0,1
"ID196",1,1,1,1,1
"ID197",0,1,1,1,1
"ID198",0,0,1,1,1
"ID199",0,0,0,1,1
"ID200",0,1,0,1,1
"ID201",0,0,1,1,1
"ID202",0,1,0,0,1
"ID203",1,0,0,0,1
"ID204",0,0,0,0,1
"ID205",0,1,1,0,1
"ID206",0,0,1,1,1
"ID207",0,0,0,1,1
"ID208",0,0,0,0,1
"ID209",0,1,1,1,1
"ID210",0,0,0,1,1
"ID211",0,0,0,1,1
"ID212",0,0,1,0,1
"ID213",0,1,0,1,1
"ID214",0,0,0,0,0
"ID215",0,0,1,0,1
"ID216",0,0,1,0,1
"ID217",0,1,0,0,1
"ID218",0,1,1,1,1
"ID219",0,1,0,1,1
"ID220",1,1,1,1,1
"ID221",0,1,1,1,1
"ID222",0,0,1,1,0
"ID223",1,1,1,1,1
"ID224",0,0,0,1,1
"ID225",1,0,0,0,1
"ID226",0,0,0,0,0
"ID227",0,0,0,1,1
"ID228",0,0,1,1,1
"ID229",0,1,0,1,1
"ID230",0,0,0,0,0
"ID231",0,0,0,1,1
"ID232",0,0,0,0,1
"ID233",0,0,1,1,1
"ID234",0,0,0,1,0
"ID235",0,0,0,1,1
"ID236",0,0,1,1,1
"ID237",1,0,0,1,1
"ID238",0,1,1,1,1
"ID239",0,0,0,1,1
"ID240",1,0,0,0,1
"ID241",0,1,1,1,1
"ID242",0,0,0,1,1
"ID243",0,1,1,1,1
"ID244",0,0,0,0,0
"ID245",0,0,0,1,1
"ID246",0,0,0,0,1
"ID247",0,1,1,0,1
"ID248",0,0,0,0,1
"ID249",0,0,1,1,1
"ID250",0,0,0,0,0
"ID251",0,0,0,1,0
"ID252",0,1,1,1,1
"ID253",0,0,1,1,1
"ID254",0,1,1,1,1
"ID255",0,0,0,1,0
"ID256",0,0,0,0,0
"ID257",0,0,1,0,1
"ID258",0,0,1,1,1
"ID259",0,1,1,1,1
"ID260",0,0,1,1,1
"ID261",0,0,0,1,0
"ID262",1,1,1,1,1
"ID263",1,1,1,1,1
"ID264",0,0,1,1,1
"ID265",1,0,1,1,0
"ID266",0,1,0,1,1
"ID267",0,0,1,1,1
"ID268",0,0,1,1,1
"ID269",0,0,1,1,1
"ID270",0,0,0,1,1
"ID271",0,0,1,1,0
"ID272",0,1,1,1,1
"ID273",1,0,0,1,1
"ID274",0,1,1,1,0
"ID275",0,1,0,1,1
"ID276",0,1,1,1,1
"ID277",0,0,1,0,1
"ID278",0,1,1,1,1
"ID279",0,1,1,0,1
"ID280",0,0,1,1,1
"ID281",0,0,0,1,1
"ID282",0,0,0,1,1
"ID283",0,0,0,1,0
"ID284",0,0,1,1,1
"ID285",1,0,0,1,1
"ID286",0,0,0,1,1
"ID287",0,0,0,1,1
"ID288",0,0,0,1,1
"ID289",0,0,0,1,1
"ID290",0,0,0,1,1
"ID291",1,1,0,1,1
"ID292",0,0,0,1,1
"ID293",0,1,0,0,1
"ID294",0,0,1,0,1
"ID295",0,1,1,1,1
"ID296",0,0,0,1,1
"ID297",0,0,0,1,0
"ID298",0,0,1,1,1
"ID299",0,1,1,1,1
"ID300",1,1,0,1,1
"ID301",1,0,0,1,1
"ID302",0,0,1,1,1
"ID303",0,1,1,1,1
"ID304",0,0,1,1,1
"ID305",0,0,0,1,1
"ID306",0,0,0,1,1
"ID307",0,1,0,1,1
"ID308",0,0,1,1,1
"ID309",0,0,1,1,1
"ID310",0,0,0,0,0
"ID311",0,0,0,0,1
"ID312",0,0,0,0,1
"ID313",0,1,1,1,1
"ID314",0,0,0,1,1
"ID315",1,0,1,0,1
"ID316",0,0,0,1,1
"ID317",0,0,0,1,1
"ID318",0,0,0,1,0
"ID319",1,0,0,1,0
"ID320",1,0,1,1,1
"ID321",1,0,1,0,1
"ID322",0,0,1,0,1
"ID323",0,1,0,1,1
"ID324",1,0,1,1,1
"ID325",1,0,0,1,1
"ID326",0,0,1,0,1
"ID327",0,0,0,1,1
"ID328",0,0,0,0,0
"ID329",0,1,0,0,1
"ID330",0,1,1,1,1
"ID331",0,0,0,0,1
"ID332",0,0,0,1,1
"ID333",0,1,1,1,1
"ID334",0,0,0,0,1
"ID335",1,1,1,1,1
"ID336",0,0,0,1,1
"ID337",0,0,1,1,1
"ID338",0,0,1,1,1
"ID339",0,0,0,1,1
"ID340",0,0,1,1,1
"ID341",0,0,0,1,1
"ID342",1,1,1,1,1
"ID343",0,0,0,0,1
"ID344",0,0,1,1,1
"ID345",0,0,0,1,0
"ID346",0,1,0,0,1
"ID347",0,0,1,1,1
"ID348",0,1,0,1,1
"ID349",0,1,1,0,1
"ID350",0,0,1,0,1
"ID351",0,0,0,0,1
"ID352",1,0,1,1,1
"ID353",1,0,0,1,1
"ID354",0,0,1,1,1
"ID355",1,1,0,1,1
"ID356",0,0,0,1,1
"ID357",0,0,0,0,0
"ID358",0,0,1,0,0
"ID359",0,0,0,0,0
"ID360",0,0,1,1,0
"ID361",0,0,0,1,1
"ID362",0,0,0,1,1
"ID363",0,0,0,1,1
"ID364",0,1,0,0,1
"ID365",0,1,0,1,1
"ID366",0,0,1,1,1
"ID367",0,1,1,1,1
"ID368",0,0,0,1,1
"ID369",0,0,1,1,1
"ID370",0,0,0,0,1
"ID371",0,0,1,0,1
"ID372",0,0,1,1,1
"ID373",0,0,0,0,0
"ID374",1,0,1,1,0
"ID375",0,0,0,0,1
"ID376",0,0,0,1,1
"ID377",0,0,1,1,1
"ID378",0,0,1,1,1
"ID379",0,1,0,0,1
"ID380",0,0,1,1,1
"ID381",0,0,0,0,0
"ID382",0,0,1,1,1
"ID383",0,0,0,1,1
"ID384",0,0,0,1,1
"ID385",0,0,0,1,1
"ID386",1,1,0,1,1
"ID387",0,0,0,1,0
"ID388",0,0,0,1,0
"ID389",0,0,1,1,0
"ID390",1,0,0,1,1
