Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,1,1,1
1,0.0,0.0,1.0,1.0,0.0
2,0,0,0,0,0
3,0.0,0.0,0.0,0.0,0.0
4,0,0,1,1,1
5,1.0,1.0,0.0,1.0,1.0
6,0,1,0,1,1
7,0.0,1.0,0.0,1.0,1.0
8,0,0,0,0,1
9,1.0,1.0,1.0,0.0,1.0
10,0,0,0,1,1
11,1.0,1.0,1.0,1.0,1.0
12,0,0,0,1,1
13,1.0,1.0,0.0,1.0,0.0
14,0,0,0,0,0
15,0.0,1.0,1.0,1.0,1.0
16,1,1,1,0,1
17,0.0,1.0,1.0,1.0,0.0
18,0,0,0,1,1
19,0.0,1.0,1.0,1.0,1.0
20,0,1,1,0,1
21,0.0,1.0,0.0,1.0,1.0
22,0,1,1,1,1
23,0.0,0.0,0.0,0.0,0.0
24,0,0,0,0,1
25,1.0,0.0,0.0,1.0,0.0
26,0,1,0,1,1
27,1.0,1.0,1.0,1.0,0.0
28,0,0,0,0,1
29,0.0,1.0,1.0,1.0,0.0
30,1,0,0,0,1
31,0.0,1.0,1.0,1.0,0.0
32,0,0,1,1,1
33,0.0,0.0,0.0,0.0,0.0
34,0,1,0,1,1
35,0.0,0.0,0.0,1.0,1.0
36,0,1,0,1,1
37,0.0,0.0,0.0,0.0,0.0
38,0,0,0,0,1
39,0.0,1.0,1.0,0.0,0.0
40,0,0,0,0,0
41,1.0,1.0,1.0,1.0,1.0
42,0,1,1,1,1
43,0.0,1.0,1.0,1.0,0.0
44,0,0,1,1,1
45,0.0,0.0,0.0,0.0,0.0
46,0,0,1,0,1
47,0.0,0.0,0.0,1.0,0.0
48,0,0,1,1,1
49,1.0,1.0,1.0,1.0,1.0
50,0,0,1,1,1
51,0.0,1.0,1.0,1.0,1.0
52,0,0,0,1,1
53,0.0,0.0,0.0,0.0,1.0
54,0,0,1,1,0
55,1.0,1.0,1.0,1.0,1.0
56,0,1,1,1,1
57,0.0,0.0,0.0,1.0,0.0
58,0,0,1,1,1
59,0.0,1.0,0.0,1.0,1.0
60,0,1,1,1,1
61,1.0,1.0,1.0,1.0,0.0
62,0,1,1,1,1
63,1.0,1.0,1.0,1.0,1.0
64,0,0,0,0,0
65,1.0,1.0,1.0,1.0,1.0
66,0,1,1,1,1
67,1.0,1.0,1.0,1.0,1.0
68,1,0,0,1,1
69,0.0,1.0,0.0,1.0,1.0
70,0,0,1,0,1
71,1.0,0.0,0.0,1.0,0.0
72,1,1,1,1,0
73,0.0,0.0,0.0,1.0,1.0
74,0,0,0,1,0
75,0.0,1.0,0.0,0.0,1.0
76,1,0,0,1,1
77,0.0,0.0,0.0,0.0,1.0
78,0,0,1,1,1
79,0.0,0.0,0.0,0.0,0.0
80,0,1,1,1,1
81,0.0,1.0,1.0,1.0,1.0
82,0,1,0,1,1
83,1.0,0.0,0.0,0.0,0.0
84,0,0,0,1,1
85,0.0,1.0,1.0,1.0,0.0
86,0,0,0,1,1
87,1.0,1.0,1.0,1.0,1.0
88,0,0,0,0,0
89,0.0,0.0,0.0,1.0,0.0
90,1,0,1,1,1
91,1.0,1.0,1.0,1.0,1.0
92,0,0,0,0,0
93,1.0,1.0,1.0,1.0,1.0
94,0,1,0,1,1
95,1.0,0.0,0.0,1.0,1.0
96,0,0,1,1,1
97,1.0,1.0,1.0,1.0,1.0
98,0,0,1,1,1
99,0.0,1.0,0.0,1.0,1.0
100,0,0,1,1,1
101,0.0,0.0,0.0,1.0,0.0
102,1,0,1,1,1
103,0.0,0.0,0.0,0.0,1.0
104,1,1,1,1,1
105,0.0,0.0,0.0,1.0,1.0
106,1,0,1,1,1
107,0.0,1.0,0.0,1.0,1.0
108,0,1,1,1,1
109,1.0,1.0,1.0,1.0,1.0
110,0,0,0,0,1
111,1.0,0.0,0.0,0.0,0.0
112,0,0,1,1,1
113,0.0,1.0,0.0,1.0,1.0
114,0,0,0,0,1
115,0.0,1.0,0.0,0.0,0.0
116,0,0,1,1,0
117,1.0,1.0,1.0,1.0,1.0
118,0,1,0,1,1
119,0.0,0.0,0.0,0.0,0.0
120,0,0,0,1,1
121,0.0,1.0,0.0,1.0,1.0
122,0,1,1,0,1
123,0.0,1.0,1.0,1.0,1.0
124,0,0,1,0,1
125,0.0,1.0,1.0,0.0,1.0
126,0,0,0,1,1
127,0.0,0.0,0.0,1.0,1.0
128,0,1,0,1,1
129,1.0,1.0,1.0,1.0,1.0
130,0,0,1,1,0
131,0.0,1.0,1.0,1.0,1.0
132,0,1,0,0,0
133,0.0,1.0,1.0,1.0,1.0
134,0,1,0,1,1
135,0.0,1.0,1.0,0.0,1.0
136,1,1,1,1,1
137,0.0,0.0,0.0,1.0,0.0
138,0,0,1,1,1
139,1.0,0.0,1.0,1.0,0.0
140,0,0,0,1,1
141,0.0,1.0,1.0,1.0,0.0
142,0,1,1,1,1
143,0.0,0.0,0.0,0.0,0.0
144,0,0,1,1,1
145,1.0,0.0,0.0,1.0,0.0
146,0,0,0,1,1
147,0.0,1.0,0.0,0.0,1.0
148,0,1,0,1,1
149,0.0,0.0,0.0,1.0,1.0
150,1,0,1,1,1
151,0.0,1.0,1.0,0.0,1.0
152,0,1,1,1,1
153,0.0,1.0,1.0,1.0,1.0
154,0,0,1,1,1
155,1.0,1.0,1.0,1.0,1.0
156,0,0,1,1,1
157,1.0,0.0,0.0,1.0,1.0
158,0,1,0,1,1
159,1.0,0.0,0.0,0.0,0.0
160,1,0,1,1,1
161,0.0,0.0,0.0,1.0,0.0
162,0,0,1,1,1
163,0.0,0.0,0.0,1.0,1.0
164,0,0,0,1,0
165,1.0,1.0,1.0,1.0,1.0
166,0,0,0,0,1
167,0.0,1.0,0.0,1.0,1.0
168,0,0,0,0,0
169,0.0,0.0,1.0,1.0,0.0
170,0,0,1,1,1
171,0.0,0.0,0.0,0.0,0.0
172,0,0,1,1,1
173,1.0,0.0,0.0,0.0,0.0
174,0,0,1,0,0
175,1.0,1.0,1.0,1.0,1.0
176,0,0,0,0,1
177,1.0,1.0,1.0,1.0,1.0
178,1,0,1,1,1
