"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0
"ID2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID3",0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0
"ID4",0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0
"ID5",1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
"ID6",0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
"ID7",1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1
"ID8",0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"ID9",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1
"ID10",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1
"ID11",1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
"ID12",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"ID13",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"ID14",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ID15",0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
"ID16",0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"ID17",0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
"ID18",1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
"ID19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ID20",1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1
"ID21",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"ID22",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ID23",1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1
"ID24",0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"ID25",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ID26",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID27",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ID28",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"ID29",0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1
"ID30",0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"ID31",1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"ID32",1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1
"ID33",0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"ID34",0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"ID35",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
"ID36",0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
"ID37",1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"ID38",1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
"ID39",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"ID40",0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
"ID41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID42",1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
"ID43",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1
"ID44",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"ID45",0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0
"ID46",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"ID47",1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1
"ID48",0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
"ID49",0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
"ID50",0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0
