Unnamed: 0,A1,A2,A3,A4,A5
0,0,0,0,1,1
1,1.0,1.0,1.0,1.0,1.0
2,0,0,1,1,1
3,1.0,1.0,1.0,1.0,1.0
4,0,0,0,1,0
5,0.0,0.0,0.0,0.0,0.0
6,1,0,1,1,1
7,1.0,1.0,1.0,1.0,1.0
8,0,0,1,0,1
9,0.0,1.0,1.0,1.0,0.0
10,0,0,1,1,1
11,0.0,0.0,1.0,1.0,1.0
12,0,0,0,0,1
13,0.0,1.0,1.0,1.0,1.0
14,0,1,1,0,1
15,0.0,0.0,0.0,0.0,0.0
16,1,0,1,1,1
17,0.0,1.0,1.0,1.0,1.0
18,1,1,1,1,1
19,0.0,0.0,1.0,1.0,1.0
20,0,0,0,0,1
21,0.0,1.0,1.0,0.0,1.0
22,0,1,1,1,1
23,0.0,0.0,0.0,0.0,1.0
24,0,1,1,1,1
25,0.0,0.0,1.0,1.0,1.0
26,1,1,0,1,1
27,0.0,1.0,1.0,0.0,1.0
28,0,0,1,1,1
29,1.0,0.0,1.0,1.0,1.0
30,0,0,0,1,1
31,0.0,0.0,1.0,1.0,1.0
32,0,0,1,1,1
33,0.0,1.0,1.0,1.0,1.0
34,0,0,0,0,1
35,1.0,0.0,0.0,1.0,1.0
36,0,0,1,1,1
37,0.0,0.0,1.0,0.0,1.0
38,0,0,1,1,1
39,0.0,0.0,0.0,1.0,1.0
40,0,0,1,0,1
41,0.0,0.0,0.0,0.0,0.0
42,0,0,1,0,1
43,0.0,0.0,0.0,1.0,1.0
44,0,0,1,1,1
45,0.0,0.0,1.0,0.0,1.0
46,0,0,1,1,1
47,0.0,1.0,0.0,1.0,1.0
48,0,0,1,1,1
49,1.0,1.0,1.0,1.0,1.0
50,1,1,1,1,1
51,0.0,1.0,1.0,1.0,1.0
52,1,0,0,1,1
53,1.0,1.0,0.0,0.0,1.0
54,0,1,0,1,1
55,0.0,1.0,1.0,1.0,1.0
56,0,1,1,1,1
57,0.0,0.0,1.0,1.0,1.0
58,0,1,0,1,0
59,1.0,1.0,1.0,1.0,1.0
60,0,0,0,1,0
61,1.0,1.0,1.0,1.0,1.0
62,0,1,1,1,1
