Unnamed: 0,A1,A2,A3,A4,A5
0,1,0,0,1,1
1,1.0,1.0,1.0,1.0,1.0
2,0.0,1.0,1.0,1.0,1.0
3,0,0,0,1,1
4,1.0,1.0,1.0,1.0,1.0
5,0.0,0.0,1.0,1.0,1.0
6,0,0,1,0,1
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,0,0,1,0,1
10,0.0,0.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0,0,1,1,1
13,0.0,1.0,1.0,1.0,1.0
14,0.0,1.0,1.0,1.0,1.0
15,0,0,0,0,1
16,0.0,0.0,0.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0
18,0,0,1,1,1
19,0.0,1.0,0.0,0.0,1.0
20,0.0,0.0,0.0,0.0,1.0
21,0,0,0,0,0
22,0.0,0.0,1.0,0.0,1.0
23,0.0,0.0,0.0,0.0,1.0
24,1,0,1,1,1
25,0.0,0.0,1.0,1.0,1.0
26,0.0,0.0,0.0,1.0,1.0
27,0,0,0,1,1
28,0.0,0.0,1.0,0.0,1.0
29,0.0,0.0,1.0,1.0,0.0
30,0,0,1,0,1
31,0.0,1.0,1.0,1.0,1.0
32,0.0,1.0,0.0,0.0,1.0
33,0,1,1,1,1
34,1.0,1.0,1.0,1.0,1.0
35,0.0,0.0,1.0,1.0,1.0
36,0,0,1,0,0
37,0.0,0.0,1.0,1.0,1.0
38,1.0,0.0,1.0,1.0,1.0
39,0,1,1,1,1
40,0.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0
42,0,1,1,1,1
43,0.0,0.0,1.0,0.0,1.0
44,0.0,0.0,1.0,0.0,1.0
45,0,1,0,1,1
46,0.0,0.0,1.0,0.0,1.0
47,1.0,0.0,1.0,0.0,1.0
48,0,0,1,1,1
49,0.0,1.0,1.0,0.0,1.0
50,0.0,0.0,0.0,0.0,1.0
51,1,0,1,1,1
52,0.0,0.0,1.0,0.0,0.0
53,0.0,0.0,0.0,1.0,0.0
54,0,0,1,0,1
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,1.0
57,0,0,1,1,1
58,0.0,0.0,0.0,0.0,1.0
59,0.0,1.0,1.0,0.0,1.0
60,0,0,0,1,1
61,0.0,0.0,1.0,1.0,1.0
62,0.0,0.0,1.0,1.0,1.0
63,0,1,0,1,1
64,0.0,0.0,1.0,1.0,1.0
65,0.0,0.0,1.0,1.0,1.0
66,0,0,1,0,1
67,1.0,0.0,1.0,0.0,1.0
68,0.0,0.0,1.0,1.0,1.0
69,0,0,0,0,1
70,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0
72,0,1,0,1,1
73,1.0,1.0,1.0,1.0,1.0
74,0.0,0.0,1.0,1.0,1.0
75,0,0,1,0,1
76,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0
78,0,1,1,1,1
79,0.0,0.0,0.0,0.0,1.0
80,1.0,1.0,1.0,1.0,1.0
81,0,0,0,1,0
82,0.0,0.0,1.0,1.0,1.0
83,0.0,0.0,1.0,1.0,1.0
84,0,1,1,1,1
85,0.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0
87,0,1,0,1,0
88,0.0,1.0,1.0,1.0,1.0
89,0.0,0.0,0.0,1.0,0.0
90,0,0,0,0,1
91,0.0,0.0,0.0,0.0,1.0
92,0.0,0.0,0.0,0.0,0.0
93,0,0,0,1,1
94,0.0,1.0,1.0,1.0,1.0
95,0.0,0.0,0.0,0.0,0.0
96,0,1,0,1,1
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,1.0,1.0,1.0
99,0,1,1,1,0
100,0.0,0.0,0.0,0.0,1.0
101,0.0,1.0,0.0,1.0,1.0
102,0,1,0,0,1
103,1.0,1.0,1.0,0.0,1.0
104,0.0,0.0,0.0,0.0,1.0
105,1,1,0,1,1
106,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0
108,0,0,1,0,1
109,0.0,0.0,1.0,1.0,1.0
110,0.0,0.0,1.0,1.0,1.0
111,0,0,1,1,0
112,0.0,0.0,1.0,1.0,1.0
113,0.0,1.0,1.0,0.0,1.0
114,0,0,1,1,1
115,0.0,0.0,0.0,0.0,1.0
116,0.0,1.0,1.0,1.0,1.0
117,0,0,0,1,1
118,0.0,0.0,1.0,1.0,1.0
119,0.0,1.0,1.0,1.0,1.0
120,1,1,1,1,1
121,0.0,1.0,1.0,1.0,1.0
122,1.0,0.0,1.0,0.0,1.0
123,0,0,0,1,1
124,0.0,0.0,0.0,0.0,1.0
125,1.0,1.0,0.0,1.0,1.0
126,0,0,0,0,1
127,1.0,1.0,1.0,1.0,1.0
128,0.0,1.0,1.0,1.0,1.0
129,0,1,1,1,1
130,0.0,0.0,1.0,1.0,1.0
131,0.0,0.0,0.0,1.0,1.0
132,0,0,0,0,1
133,0.0,0.0,1.0,1.0,1.0
134,1.0,0.0,1.0,1.0,1.0
135,0,1,0,1,1
136,1.0,0.0,1.0,0.0,1.0
137,0.0,1.0,1.0,0.0,1.0
138,0,0,1,1,1
