,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
4,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
5,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
10,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
11,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
12,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0
13,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
17,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
22,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1
25,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
34,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
35,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
36,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
37,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
38,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
40,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
46,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
47,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
48,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
49,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
54,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
55,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
60,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
61,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
64,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
65,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0
66,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1
67,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0
68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
71,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
72,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
75,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
78,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
81,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
82,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
85,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
86,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
87,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
88,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
91,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0
92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
