,M041052,M041056,M041069,M041076,M041281,M041164,M041146,M041152,M041258A,M041258B,M041131,M041275,M041186,M041336,M031303,M031309,M031245,M031242A,M031242B,M031242C,M031247,M031219,M031173,M031085,M031172
9,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1
10,,,,,,,,,,,,,,,1,0,0,1,1,1,0,1,1,0,0
20,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
21,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1
36,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1
37,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
52,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
53,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
69,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1
70,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
81,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1
82,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
99,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
100,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1
117,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0
135,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
136,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,0
152,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1
153,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,1
169,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
170,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,0
184,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1
185,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1
204,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
205,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1
222,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
223,,,,,,,,,,,,,,,1,1,0,1,0,1,1,0,1,1,1
241,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1
242,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0
259,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1
260,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1
276,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
277,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1
293,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1
294,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,1,1,1
307,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
323,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1
324,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,1,0,1
338,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
339,,,,,,,,,,,,,,,1,0,0,1,1,1,0,1,1,0,1
354,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
