"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,0,1,0,1,0,1,0,1,0
"ID2",0,1,1,0,1,0,0,1,1,0
"ID3",1,0,0,0,0,0,1,0,1,1
"ID4",0,1,1,1,1,1,0,0,1,1
"ID5",1,1,1,1,1,0,1,1,1,1
"ID6",0,1,0,1,0,0,0,1,0,1
"ID7",1,1,0,0,1,0,1,1,1,0
"ID8",0,0,1,0,1,0,0,0,1,1
"ID9",0,0,1,0,1,0,1,0,1,0
"ID10",1,1,0,0,1,0,0,0,0,0
"ID11",0,0,1,1,0,1,1,1,0,0
"ID12",0,0,0,0,1,0,0,0,1,1
"ID13",0,0,0,1,0,0,0,0,0,1
"ID14",0,0,0,1,1,0,1,1,1,1
"ID15",0,0,0,0,1,1,0,0,0,0
"ID16",0,1,1,0,1,1,0,0,1,0
"ID17",0,0,1,0,0,1,0,1,0,0
"ID18",0,1,0,1,1,1,1,1,1,1
"ID19",1,0,0,0,0,0,0,0,0,1
"ID20",0,0,1,0,0,0,0,0,0,0
"ID21",0,0,0,0,1,0,1,1,1,1
"ID22",1,0,0,0,1,1,1,1,1,1
"ID23",1,1,1,0,1,0,0,0,0,0
"ID24",1,1,0,1,1,1,0,1,1,0
"ID25",0,1,1,1,1,1,0,0,1,0
"ID26",0,1,0,0,1,1,0,1,1,1
"ID27",0,0,0,0,0,0,0,1,0,0
"ID28",0,1,1,0,1,1,0,1,1,1
"ID29",1,1,1,1,1,1,0,0,1,0
"ID30",0,0,1,0,0,0,0,0,1,1
"ID31",0,0,1,0,1,0,0,0,1,0
"ID32",0,1,0,0,1,1,1,0,1,0
"ID33",0,1,1,0,1,1,1,1,0,1
"ID34",0,0,0,0,0,0,0,0,0,1
"ID35",1,1,0,0,0,1,0,1,1,1
"ID36",0,0,1,0,1,0,1,0,0,1
"ID37",0,1,1,0,0,0,0,0,1,1
"ID38",0,0,0,0,1,0,0,0,0,0
"ID39",1,0,0,1,0,0,1,1,0,1
"ID40",1,0,1,1,0,0,0,0,1,0
"ID41",1,1,1,0,1,0,1,0,1,0
"ID42",0,0,0,1,1,0,1,0,1,0
"ID43",0,1,1,1,1,1,1,1,1,1
"ID44",1,0,0,1,1,1,1,1,1,1
"ID45",0,0,0,0,1,0,0,1,1,0
"ID46",1,0,1,1,0,0,1,0,0,0
"ID47",0,0,1,0,0,0,1,1,0,1
"ID48",1,1,1,0,1,1,1,1,1,1
"ID49",0,0,1,0,1,0,1,0,1,1
"ID50",0,0,0,1,1,0,0,0,1,0
"ID51",0,1,0,1,0,0,0,0,0,1
"ID52",0,0,1,1,1,0,1,0,0,1
"ID53",0,1,0,0,0,0,0,0,1,0
"ID54",0,1,1,0,1,0,1,1,0,1
"ID55",0,1,1,1,1,1,1,1,1,0
"ID56",1,1,1,1,1,1,1,1,1,1
"ID57",0,1,1,0,0,0,0,0,0,0
"ID58",1,0,1,1,1,0,0,0,1,1
