"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,0
"ID3",1,0,0
"ID4",0,1,0
"ID5",0,1,1
"ID6",0,0,1
"ID7",0,1,1
"ID8",0,0,0
"ID9",0,1,1
"ID10",0,0,1
"ID11",0,0,0
"ID12",0,1,0
"ID13",0,0,0
"ID14",0,0,1
"ID15",0,0,1
"ID16",0,1,1
"ID17",0,0,1
"ID18",0,0,1
"ID19",1,1,1
"ID20",0,1,1
"ID21",0,1,1
"ID22",1,0,1
"ID23",0,1,1
"ID24",0,1,1
"ID25",0,0,0
"ID26",0,1,1
"ID27",0,0,0
"ID28",0,1,1
"ID29",0,1,1
"ID30",0,0,1
"ID31",1,1,1
"ID32",0,1,1
"ID33",0,0,1
"ID34",0,1,1
"ID35",0,1,1
"ID36",0,1,1
"ID37",1,1,1
"ID38",0,0,1
"ID39",0,1,0
"ID40",0,1,1
"ID41",1,0,1
"ID42",0,0,1
"ID43",0,1,0
"ID44",1,0,1
"ID45",0,0,0
"ID46",0,1,1
"ID47",0,0,1
"ID48",0,1,1
"ID49",0,1,1
"ID50",1,0,1
"ID51",0,0,0
"ID52",1,1,1
"ID53",1,1,1
"ID54",0,1,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",1,1,1
"ID58",0,1,1
"ID59",1,0,1
"ID60",0,1,1
"ID61",0,0,1
"ID62",0,0,1
"ID63",1,0,1
"ID64",0,0,1
"ID65",0,1,1
"ID66",0,0,1
"ID67",0,1,1
"ID68",1,0,1
"ID69",0,1,1
"ID70",0,1,1
"ID71",0,0,1
"ID72",1,0,1
"ID73",0,0,1
"ID74",0,1,1
"ID75",0,0,1
"ID76",0,1,1
"ID77",0,1,0
"ID78",0,1,1
"ID79",0,1,1
"ID80",0,0,1
"ID81",0,1,1
"ID82",1,0,1
"ID83",1,0,1
"ID84",0,0,1
"ID85",0,1,1
"ID86",0,0,1
"ID87",0,0,0
"ID88",0,1,1
"ID89",1,0,1
"ID90",0,1,1
"ID91",0,1,1
"ID92",0,0,1
"ID93",0,0,1
