"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0
"ID2",0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"ID3",0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
"ID4",1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1
"ID5",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"ID6",0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0
"ID7",0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
"ID8",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
"ID9",0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
"ID10",0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0
"ID11",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"ID12",0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"ID13",0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
"ID14",0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0
"ID15",0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
"ID16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"ID17",0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
"ID18",1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0
"ID19",0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0
"ID20",1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0
"ID21",0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0
"ID22",1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
"ID23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID24",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ID25",1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0
"ID26",1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0
"ID27",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
"ID28",0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"ID29",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ID30",1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
"ID31",0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
"ID32",0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0
"ID33",1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
"ID34",0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
"ID35",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"ID36",0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
"ID37",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"ID38",0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
"ID39",0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0
"ID40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID41",0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"ID42",0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
"ID43",0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0
"ID44",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
"ID45",0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"ID46",0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
"ID47",0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
"ID48",0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0
"ID49",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"ID50",0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
"ID51",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"ID52",0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0
"ID53",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ID54",1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0
"ID55",0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"ID56",1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
"ID57",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
"ID58",0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0
"ID59",0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
"ID60",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"ID61",0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
"ID62",1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
"ID63",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"ID64",0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
"ID65",0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"ID66",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
