"","P(0)","1-P(1)"
"Item1",0.3242,0.106
"Item2",0.0071,0.1692
"Item3",0.0417,0.0397
"Item4",0.2842,0.1421
"Item5",0.177,0.3314
"Item6",0.3027,0.3286
"Item7",0.138,0.0611
"Item8",0.0594,0.0743
"Item9",0.2659,0.3477
"Item10",0.0423,0.1964
"Item11",0.1609,0.3312
"Item12",0.0667,0.2302
"Item13",0.2213,0.0231
"Item14",0.0982,0.1358
"Item15",0.3395,0.1335
"Item16",0.1262,0.1984
"Item17",0.186,0.1183
"Item18",0.3447,0.3337
"Item19",0.1103,0.3281
"Item20",0.2873,0.2195
"Item21",0.2423,0.0759
"Item22",0.2368,0.1876
"Item23",0.1236,0.225
"Item24",0.0578,0.2344
"Item25",0.002,0.1309
"Item26",0.3344,0.2199
"Item27",0.1229,0.314
"Item28",0.0574,0.121
"Item29",0.1467,0.034
"Item30",0.1632,0.3376
