"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,1,1,1,0,1,0
"ID2",0,1,0,1,1,1,1,0,1,1
"ID3",0,0,0,0,0,0,0,0,0,0
"ID4",1,0,0,1,1,1,1,1,0,1
"ID5",0,1,0,1,1,1,0,1,0,1
"ID6",0,0,0,0,1,0,0,0,0,0
"ID7",0,1,0,0,1,0,0,1,0,0
"ID8",0,1,1,0,1,0,0,1,1,0
"ID9",0,0,0,1,0,1,0,1,1,0
"ID10",0,0,1,0,1,0,1,0,0,0
"ID11",0,0,1,0,1,0,1,1,1,1
"ID12",0,1,0,1,1,0,0,1,1,0
"ID13",0,0,0,0,0,1,1,0,1,0
"ID14",1,1,1,0,0,0,0,0,0,0
"ID15",0,0,1,1,0,1,0,0,0,0
"ID16",1,0,1,0,0,0,1,1,1,0
"ID17",0,0,0,1,1,1,1,0,0,0
"ID18",1,1,0,0,0,1,0,0,0,0
"ID19",0,0,1,1,0,0,1,0,1,1
"ID20",0,0,0,0,1,0,1,0,0,0
"ID21",0,0,1,0,0,1,0,0,1,0
"ID22",0,0,0,0,1,1,0,1,1,1
"ID23",0,0,1,1,0,0,0,0,1,0
"ID24",0,1,1,0,0,0,1,0,1,1
"ID25",0,0,0,0,0,1,1,0,0,0
"ID26",1,1,1,1,1,1,1,1,1,1
"ID27",0,0,1,0,0,0,1,0,1,1
"ID28",0,0,1,1,1,0,0,0,1,1
"ID29",1,0,1,1,0,0,1,1,1,1
"ID30",0,1,0,0,0,1,1,1,1,1
"ID31",1,0,1,1,1,1,0,0,1,0
"ID32",0,0,1,0,0,1,1,0,0,1
"ID33",0,0,1,0,1,0,0,1,0,1
"ID34",0,1,0,0,1,0,1,1,1,0
"ID35",0,0,1,1,0,0,1,0,0,1
"ID36",0,0,0,1,1,0,0,1,0,0
"ID37",0,1,1,0,0,0,1,1,1,1
"ID38",0,1,1,1,1,1,1,1,1,0
"ID39",1,1,0,1,1,0,1,0,1,0
"ID40",1,0,0,1,0,0,0,1,1,0
"ID41",1,0,0,1,0,1,1,0,1,1
"ID42",0,1,1,1,1,1,1,0,1,1
"ID43",0,0,1,1,1,1,1,1,1,1
"ID44",0,1,1,0,0,0,0,1,1,1
"ID45",0,0,1,0,1,0,1,1,1,1
"ID46",1,0,1,1,1,1,1,0,1,1
"ID47",0,1,0,0,1,0,0,0,0,1
"ID48",0,1,1,1,1,0,1,1,1,0
"ID49",0,0,0,0,1,0,1,1,0,0
"ID50",1,0,1,0,0,0,0,0,0,0
"ID51",0,0,0,0,0,1,0,0,0,1
"ID52",1,0,1,1,1,0,1,1,1,1
"ID53",0,0,1,0,1,0,1,0,1,0
"ID54",0,0,1,1,0,0,0,1,0,0
"ID55",1,0,1,0,1,0,1,1,1,1
"ID56",0,0,0,0,0,0,0,0,0,1
"ID57",0,1,1,0,1,1,0,0,0,0
"ID58",0,0,0,0,0,1,0,0,0,0
"ID59",1,1,0,0,0,0,1,0,1,0
"ID60",0,0,1,1,0,0,1,0,1,1
"ID61",0,1,1,0,1,1,0,0,1,1
"ID62",0,1,1,1,1,0,1,0,1,0
"ID63",0,1,1,0,1,1,1,0,1,1
"ID64",0,0,1,0,1,0,1,0,1,0
"ID65",1,1,1,1,0,1,1,1,0,0
"ID66",0,1,1,1,1,0,1,1,1,1
"ID67",0,1,1,0,1,0,0,0,1,1
"ID68",0,1,1,1,1,0,0,0,1,0
"ID69",0,1,1,1,1,0,0,0,1,0
"ID70",0,1,0,0,1,0,0,1,1,0
"ID71",0,0,0,1,0,0,1,0,1,0
"ID72",1,0,1,0,0,1,1,0,1,1
"ID73",0,0,1,1,0,0,1,0,1,0
"ID74",1,1,1,0,0,0,0,0,1,0
"ID75",1,0,1,1,1,1,1,1,0,1
"ID76",0,0,0,0,0,0,0,0,0,0
"ID77",0,0,1,0,1,1,0,0,0,0
"ID78",0,1,1,1,0,0,1,0,1,0
"ID79",0,0,1,1,0,0,1,1,0,0
"ID80",0,0,1,1,1,1,1,0,1,1
"ID81",0,1,0,1,1,1,1,0,1,1
"ID82",1,0,0,0,1,1,1,0,1,0
"ID83",0,1,1,1,1,0,1,0,1,1
"ID84",0,0,1,1,0,1,1,0,1,0
"ID85",0,0,1,1,1,0,1,0,0,1
"ID86",0,0,1,0,0,0,1,1,1,0
"ID87",0,1,1,1,1,0,1,1,1,1
"ID88",1,1,1,1,0,1,1,0,1,1
"ID89",1,0,1,0,1,1,1,0,1,0
"ID90",1,0,0,1,0,1,0,1,1,0
"ID91",0,0,0,0,1,0,1,0,0,0
"ID92",0,0,0,1,1,0,1,1,0,1
"ID93",0,0,1,1,0,0,0,0,1,0
"ID94",0,0,1,0,1,1,1,0,1,0
"ID95",0,1,1,0,0,1,0,1,1,1
"ID96",0,1,1,0,0,1,1,1,1,1
"ID97",0,0,1,1,0,1,0,0,1,1
"ID98",0,0,1,0,0,0,0,0,0,1
"ID99",0,1,0,0,1,0,0,0,0,0
"ID100",0,0,1,1,1,1,1,1,1,0
"ID101",0,0,1,0,1,0,1,0,1,0
"ID102",0,0,1,1,0,0,0,1,1,0
"ID103",1,0,1,1,1,1,1,0,0,1
"ID104",0,0,1,1,0,0,0,0,0,1
"ID105",0,0,1,0,1,0,0,0,1,0
"ID106",0,1,1,1,1,0,0,0,1,1
"ID107",0,0,1,1,1,1,0,1,0,1
"ID108",1,0,1,1,1,1,1,1,1,1
"ID109",0,1,0,0,0,1,0,0,0,0
"ID110",0,0,1,1,0,0,1,0,1,0
"ID111",0,0,0,1,1,1,1,0,1,0
"ID112",1,1,1,0,1,1,1,0,0,1
"ID113",0,1,1,0,0,1,0,0,1,0
"ID114",0,1,0,0,1,0,0,0,1,1
"ID115",0,1,1,1,1,1,1,1,1,0
"ID116",0,0,1,1,0,0,1,0,1,1
"ID117",0,1,0,0,1,0,1,1,1,1
"ID118",1,0,0,0,0,0,1,0,0,0
"ID119",0,0,1,0,1,0,1,0,0,0
"ID120",1,0,0,1,0,0,1,0,1,0
"ID121",0,1,1,1,0,1,0,0,0,1
"ID122",0,0,0,0,0,0,0,1,0,1
"ID123",0,1,0,0,1,0,0,1,1,0
"ID124",1,0,1,0,1,0,1,1,1,1
"ID125",0,0,1,0,1,1,1,0,1,1
"ID126",0,1,0,0,0,1,0,1,0,0
"ID127",0,0,1,0,0,0,0,1,1,0
"ID128",1,0,1,1,1,0,1,0,1,0
"ID129",1,0,1,1,1,1,1,0,0,1
"ID130",0,1,0,1,1,0,1,1,0,0
"ID131",0,1,1,0,1,0,0,1,0,1
"ID132",1,1,1,1,1,0,1,0,1,0
"ID133",0,1,0,0,1,0,1,1,1,1
"ID134",0,0,0,1,1,1,1,1,1,0
"ID135",0,0,1,0,0,1,0,1,1,1
"ID136",0,1,1,1,1,1,0,1,1,1
"ID137",0,0,1,0,1,0,1,0,0,1
"ID138",1,1,0,1,1,1,0,1,1,0
"ID139",0,0,0,0,0,0,1,0,1,0
"ID140",0,0,1,0,0,0,1,0,0,0
"ID141",0,1,0,1,0,0,0,1,0,0
"ID142",0,0,0,0,1,1,1,0,1,1
"ID143",0,1,1,0,0,0,0,0,1,0
"ID144",0,1,1,1,1,0,1,1,0,0
"ID145",0,1,1,1,1,1,1,1,1,1
"ID146",1,1,1,1,1,1,1,1,1,1
"ID147",0,0,1,1,1,0,1,0,1,0
"ID148",0,1,1,1,0,1,1,1,1,1
"ID149",0,1,1,1,1,0,1,0,0,0
"ID150",0,0,1,1,0,0,1,1,1,0
"ID151",0,1,0,1,1,0,0,0,1,0
"ID152",0,1,0,1,1,0,1,0,0,1
"ID153",0,0,0,1,1,0,1,0,1,1
"ID154",0,1,1,1,1,1,1,0,0,1
"ID155",1,0,1,1,1,0,1,0,1,1
"ID156",0,1,0,0,1,0,1,0,1,1
"ID157",0,1,0,0,1,0,1,0,1,0
"ID158",0,1,0,1,1,0,0,1,1,0
"ID159",0,0,0,0,0,0,0,0,1,0
"ID160",0,1,0,0,1,0,0,0,0,0
"ID161",1,1,0,0,1,0,1,1,0,1
"ID162",1,1,0,0,1,0,0,1,0,0
"ID163",0,0,1,1,0,1,1,0,1,1
"ID164",0,0,0,0,0,0,0,0,0,0
"ID165",0,1,0,1,1,0,1,1,1,1
"ID166",1,0,1,1,1,1,0,0,1,1
"ID167",1,0,1,0,0,1,0,0,0,0
"ID168",1,1,1,1,1,1,0,1,1,1
"ID169",0,0,0,0,1,0,1,0,1,1
"ID170",0,1,1,1,0,0,1,0,1,0
"ID171",0,0,1,1,0,0,1,0,1,0
"ID172",0,1,0,0,0,1,1,0,1,1
"ID173",1,1,0,1,1,1,1,1,1,0
"ID174",0,0,1,0,1,0,1,0,1,1
"ID175",0,0,0,1,1,0,0,1,1,0
"ID176",0,1,1,1,1,0,1,1,1,0
"ID177",1,0,1,1,1,0,1,0,1,1
"ID178",0,0,1,1,0,0,1,0,1,0
"ID179",0,1,0,0,0,0,1,0,0,0
"ID180",0,0,1,1,1,0,0,1,1,0
"ID181",0,1,0,1,1,0,0,1,1,0
"ID182",1,1,1,1,0,0,1,1,1,0
"ID183",0,0,1,1,0,0,0,1,0,0
"ID184",0,0,1,0,1,0,0,0,1,0
"ID185",0,1,1,1,1,1,0,0,1,0
"ID186",0,0,1,0,1,0,0,1,1,0
"ID187",1,1,0,1,0,1,1,0,1,1
"ID188",1,1,1,1,1,1,0,0,1,0
"ID189",0,1,0,1,1,0,1,0,1,1
"ID190",0,1,1,1,0,1,1,0,1,1
"ID191",0,1,1,1,1,0,0,0,1,1
"ID192",1,0,0,1,0,1,1,0,1,0
"ID193",0,1,0,1,1,0,0,1,1,0
"ID194",0,1,1,0,1,1,0,1,1,1
"ID195",1,1,1,0,0,1,1,1,1,1
"ID196",0,0,1,1,0,0,0,1,1,1
"ID197",0,1,1,0,1,0,0,1,1,1
"ID198",0,0,0,0,0,0,0,0,0,0
"ID199",1,0,1,1,0,1,0,0,0,0
"ID200",0,1,1,0,1,1,1,1,1,0
"ID201",0,0,1,0,1,1,0,1,1,0
"ID202",0,0,1,0,1,1,0,0,1,0
"ID203",0,1,0,0,1,1,0,0,1,0
"ID204",0,1,0,1,1,0,0,1,1,0
"ID205",0,1,1,1,1,0,1,0,0,0
"ID206",1,0,0,0,1,1,0,0,1,1
"ID207",1,0,0,1,0,1,1,1,1,1
"ID208",0,0,1,1,0,0,0,0,1,1
"ID209",0,1,1,1,1,1,1,0,1,0
"ID210",0,0,0,1,0,0,0,0,1,0
"ID211",1,1,1,0,1,1,1,0,1,1
"ID212",0,0,0,0,0,0,1,0,1,1
"ID213",1,1,0,0,1,0,0,0,0,1
"ID214",0,1,1,1,1,1,1,1,1,1
"ID215",0,1,1,1,1,0,0,0,1,0
"ID216",1,1,1,1,0,0,1,1,0,0
"ID217",1,0,1,1,1,1,1,1,1,1
"ID218",1,0,1,0,1,1,0,1,1,1
"ID219",1,1,1,1,1,0,0,1,1,0
"ID220",0,0,0,0,1,0,0,0,0,0
"ID221",0,1,1,0,1,0,0,0,1,0
"ID222",0,1,1,0,0,0,1,1,1,1
"ID223",0,0,0,1,1,0,0,0,0,0
"ID224",0,1,1,1,0,1,1,1,1,1
"ID225",0,0,1,1,0,1,1,0,1,0
"ID226",1,1,0,1,1,1,1,1,0,1
"ID227",0,1,1,0,1,0,1,1,1,1
"ID228",0,1,1,1,1,1,0,1,1,0
"ID229",0,1,1,0,1,1,1,1,1,1
"ID230",0,0,0,1,1,0,0,0,1,1
"ID231",1,0,0,1,1,0,1,0,0,1
"ID232",0,0,1,0,0,1,0,0,1,0
"ID233",1,0,1,0,1,0,0,0,1,1
"ID234",0,0,1,1,0,0,0,1,1,0
"ID235",1,0,1,1,1,0,1,0,1,0
"ID236",0,1,0,0,1,0,1,0,1,0
"ID237",1,1,1,1,1,0,1,1,1,0
"ID238",0,0,1,0,1,0,1,0,1,0
"ID239",0,1,0,1,1,0,1,1,1,1
"ID240",0,1,1,1,0,0,1,1,0,1
"ID241",1,1,1,1,1,1,0,1,1,0
"ID242",0,1,1,1,1,0,0,1,1,1
"ID243",0,0,1,1,1,0,0,0,0,0
"ID244",1,0,1,1,1,0,0,0,1,1
"ID245",0,0,1,0,1,0,1,0,1,0
"ID246",1,1,1,0,1,1,1,0,1,1
"ID247",0,0,0,0,0,0,0,0,0,1
"ID248",0,0,1,1,0,0,1,0,1,1
"ID249",0,1,1,0,1,0,1,1,0,1
"ID250",0,1,1,0,1,1,1,0,1,1
"ID251",0,1,0,0,0,0,0,1,1,0
"ID252",1,1,0,1,0,1,0,0,0,0
"ID253",0,1,1,0,0,0,0,0,1,0
"ID254",0,1,1,1,1,0,0,1,1,1
"ID255",1,1,1,0,1,0,1,1,1,0
"ID256",1,0,0,1,1,0,0,0,0,0
"ID257",0,1,1,1,1,0,1,1,1,0
"ID258",1,0,0,1,1,0,1,1,1,0
"ID259",0,0,1,1,0,0,1,0,0,0
"ID260",0,0,0,0,0,0,0,0,0,1
"ID261",0,1,1,1,1,0,1,0,0,0
"ID262",0,1,1,0,1,1,0,0,1,0
"ID263",1,0,0,1,1,0,1,1,1,1
"ID264",0,0,0,1,1,0,1,0,1,0
"ID265",0,0,1,1,1,0,0,1,1,0
"ID266",0,0,1,0,0,0,1,0,1,0
"ID267",1,0,1,0,1,0,0,1,1,0
"ID268",0,0,0,1,0,0,0,0,1,0
"ID269",1,1,1,0,1,0,0,0,1,0
"ID270",0,1,0,0,1,1,0,0,1,1
"ID271",1,0,0,1,0,1,0,0,1,1
"ID272",0,1,0,1,0,0,0,0,0,0
"ID273",0,1,1,0,0,0,1,1,1,1
"ID274",0,0,1,1,0,1,1,0,0,1
"ID275",0,1,1,0,1,0,0,0,1,1
"ID276",0,0,1,1,1,1,0,0,1,1
"ID277",1,0,0,1,0,0,1,0,1,0
"ID278",1,1,1,1,1,0,0,0,1,0
"ID279",0,0,0,0,0,1,0,0,0,0
"ID280",0,1,1,0,0,1,1,0,1,0
"ID281",0,0,0,0,1,0,0,0,1,0
"ID282",0,1,0,1,0,0,1,1,0,1
"ID283",0,1,1,1,0,1,1,1,1,0
"ID284",0,0,1,0,1,0,0,0,1,0
