"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",1,0,1,0,1,1,1,0,1,1
"ID2",1,0,1,1,1,0,1,1,1,0
"ID3",1,1,1,0,0,1,0,0,0,0
"ID4",1,1,1,1,1,1,1,1,1,1
"ID5",1,1,1,0,1,0,1,0,1,0
"ID6",0,0,1,0,1,0,0,0,1,1
"ID7",0,0,1,0,0,0,0,0,0,0
"ID8",0,1,1,0,1,0,1,0,1,0
"ID9",1,0,1,1,1,0,1,1,1,1
"ID10",0,1,1,0,1,0,0,1,1,0
"ID11",0,0,1,0,0,0,1,0,0,0
"ID12",1,1,1,0,1,0,1,0,1,1
"ID13",1,0,1,0,0,0,1,0,0,0
"ID14",0,1,1,0,1,1,0,1,1,0
"ID15",1,1,0,0,1,0,1,0,1,0
"ID16",1,0,1,1,0,0,0,0,0,0
"ID17",1,1,0,0,1,1,0,0,0,0
"ID18",1,0,1,0,0,0,0,1,0,0
"ID19",1,0,1,1,0,0,0,1,0,0
"ID20",0,1,1,0,0,0,0,0,1,0
"ID21",0,1,1,1,1,0,0,0,1,1
"ID22",1,1,1,0,0,0,0,1,0,0
"ID23",1,1,1,0,1,0,0,0,1,1
"ID24",0,1,1,0,1,0,0,0,1,0
"ID25",0,0,1,0,0,0,1,0,0,0
"ID26",0,0,1,0,1,0,0,1,1,0
"ID27",0,1,1,0,1,1,0,0,0,0
"ID28",1,1,1,0,1,0,1,1,1,0
"ID29",0,0,0,0,0,0,0,0,0,0
"ID30",0,1,1,0,0,0,0,0,1,0
"ID31",1,1,1,1,0,1,1,1,0,0
"ID32",0,0,1,1,1,0,1,0,1,0
"ID33",0,1,0,0,1,0,1,0,1,0
"ID34",0,1,1,0,1,1,0,0,1,0
"ID35",0,1,1,0,0,0,0,1,0,1
"ID36",0,1,1,0,1,0,1,0,0,1
"ID37",0,0,1,1,1,0,0,0,0,0
"ID38",1,0,1,0,0,0,0,0,1,0
"ID39",1,1,1,0,1,0,0,0,0,0
"ID40",0,1,1,0,1,0,0,1,1,0
"ID41",0,1,1,0,0,0,1,0,0,0
"ID42",0,1,0,0,1,0,0,0,0,0
"ID43",0,0,1,0,0,0,0,0,0,0
"ID44",1,1,1,1,1,1,1,1,1,1
"ID45",0,1,1,0,0,0,0,0,0,0
"ID46",0,1,1,0,0,0,0,0,1,1
"ID47",0,1,1,0,1,1,0,1,0,0
"ID48",0,0,0,0,0,0,0,0,0,0
"ID49",0,1,1,0,1,0,1,0,1,0
"ID50",1,0,1,0,0,1,1,0,0,0
"ID51",0,1,1,0,1,1,0,0,0,0
"ID52",0,0,1,1,0,1,1,0,0,0
"ID53",1,1,1,1,1,0,0,1,1,0
"ID54",0,1,0,0,1,0,0,1,1,0
"ID55",1,0,1,0,1,0,0,0,0,0
"ID56",1,0,1,1,0,0,0,0,0,0
"ID57",0,0,0,0,0,1,0,0,0,0
"ID58",0,1,0,0,0,0,0,0,0,0
"ID59",1,1,0,1,1,1,1,1,0,1
"ID60",1,1,1,1,0,1,1,1,1,1
"ID61",0,1,1,0,1,0,0,0,0,0
"ID62",0,1,1,0,1,1,0,0,1,0
"ID63",0,1,1,0,0,0,0,0,0,0
"ID64",0,1,1,1,0,0,0,0,1,0
"ID65",0,1,1,0,1,1,0,0,0,0
"ID66",0,1,1,0,1,0,0,1,1,0
"ID67",0,0,1,1,0,0,0,0,0,0
"ID68",0,0,1,0,1,0,0,0,0,0
"ID69",1,0,1,1,0,0,1,0,0,1
"ID70",0,0,1,0,1,1,0,0,1,0
"ID71",0,0,0,0,0,0,0,0,0,1
"ID72",1,1,0,0,1,0,0,0,1,0
"ID73",0,1,1,0,0,0,0,0,1,0
"ID74",0,0,1,0,0,1,0,0,0,0
"ID75",0,0,1,0,0,1,1,1,0,0
"ID76",0,0,1,0,0,0,0,0,1,0
"ID77",0,1,1,0,1,0,0,0,1,1
"ID78",1,0,1,0,0,0,1,0,0,0
"ID79",0,1,1,1,1,0,1,0,1,0
