"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,0,0,1,0,0,0
"ID2",0,0,0,1,1,0,0,0,1,0
"ID3",0,1,0,0,1,1,1,0,1,0
"ID4",0,1,1,0,1,0,0,0,1,0
"ID5",0,0,0,0,0,1,0,0,0,0
"ID6",0,1,0,0,0,0,0,1,0,0
"ID7",0,1,0,0,0,0,0,0,0,0
"ID8",0,1,1,1,1,1,0,0,1,1
"ID9",1,0,1,0,0,1,1,0,1,0
"ID10",0,1,1,0,0,0,0,0,1,0
"ID11",0,0,1,0,1,0,1,0,0,1
"ID12",0,1,0,0,0,0,1,1,1,0
"ID13",0,1,0,0,0,1,0,1,1,0
"ID14",0,1,1,0,1,0,0,0,1,0
"ID15",1,1,1,0,1,0,1,1,0,1
"ID16",1,1,1,0,1,1,0,0,1,1
"ID17",0,0,0,0,1,0,1,0,0,1
"ID18",0,0,1,1,0,1,0,1,0,0
"ID19",0,0,1,0,1,0,1,0,0,1
"ID20",0,0,0,0,1,1,0,0,1,1
"ID21",1,0,1,0,0,1,1,1,1,1
"ID22",1,1,1,0,1,0,1,0,1,1
"ID23",0,0,0,1,1,0,0,0,1,0
"ID24",0,1,1,1,1,1,1,1,1,0
"ID25",1,1,1,0,1,1,1,0,0,1
"ID26",1,1,1,0,1,1,1,0,1,0
"ID27",1,1,1,1,0,1,0,1,1,0
"ID28",0,0,1,1,0,0,1,0,1,0
"ID29",1,1,0,1,1,1,0,1,1,0
"ID30",1,0,1,0,1,0,1,1,1,0
"ID31",0,0,1,0,1,0,1,0,1,0
"ID32",1,0,1,1,0,0,1,0,0,1
"ID33",1,0,1,0,1,0,1,1,0,0
"ID34",0,0,1,0,0,0,0,0,0,0
"ID35",0,0,1,0,1,0,1,0,0,1
"ID36",0,0,1,1,1,0,0,0,1,0
"ID37",0,1,1,1,1,1,1,1,1,0
"ID38",0,1,1,0,1,1,1,0,1,0
"ID39",1,0,1,1,1,0,0,0,1,0
"ID40",0,0,1,1,1,1,0,1,0,0
"ID41",1,0,1,1,1,1,1,1,1,1
"ID42",1,0,1,0,1,0,1,1,0,0
"ID43",1,1,1,0,1,1,1,0,1,0
"ID44",1,0,0,0,0,1,1,0,0,0
"ID45",1,1,0,0,0,1,1,0,1,0
"ID46",0,0,1,0,1,0,1,0,1,0
"ID47",0,0,0,0,0,1,1,0,0,0
"ID48",1,0,0,0,0,0,1,0,1,0
"ID49",1,0,0,0,0,0,0,0,0,0
"ID50",0,1,0,0,0,0,1,1,1,0
"ID51",0,1,1,0,1,0,0,1,0,0
"ID52",1,1,1,1,1,0,0,0,0,1
"ID53",0,0,0,0,0,0,1,0,0,1
"ID54",0,1,0,0,0,0,1,0,1,0
"ID55",0,0,1,0,1,0,1,1,0,0
"ID56",1,1,0,1,1,1,1,0,1,0
"ID57",1,0,1,0,1,1,0,0,0,1
"ID58",0,1,1,0,1,1,0,0,0,1
"ID59",0,1,0,0,1,0,1,1,0,1
"ID60",1,0,1,1,0,0,0,1,1,0
"ID61",1,0,1,1,1,0,1,1,0,0
"ID62",0,1,0,0,0,1,1,1,0,0
"ID63",1,0,1,1,1,1,1,0,1,0
"ID64",0,0,1,0,0,0,0,0,0,0
"ID65",1,1,1,0,1,1,0,0,0,1
"ID66",0,0,1,0,1,0,1,1,0,0
"ID67",0,0,1,1,0,1,1,1,0,0
"ID68",1,0,1,0,1,1,0,1,1,1
"ID69",1,1,1,1,1,1,1,1,1,0
"ID70",1,0,1,1,0,0,1,0,0,0
"ID71",0,0,1,0,0,0,1,0,1,0
"ID72",0,0,1,1,1,0,0,0,1,0
"ID73",1,1,1,0,1,0,0,1,1,1
"ID74",0,1,1,1,0,1,1,0,0,1
"ID75",0,1,0,0,0,0,0,0,0,0
"ID76",0,0,1,1,0,0,1,0,0,0
"ID77",0,0,1,0,0,1,1,0,1,1
"ID78",0,1,0,1,1,0,0,0,0,0
"ID79",0,1,0,0,1,1,1,0,1,1
"ID80",1,0,1,1,1,0,1,0,0,0
"ID81",0,0,0,1,1,0,1,1,1,0
"ID82",0,1,1,0,0,1,1,0,0,0
"ID83",0,1,0,0,0,0,0,0,0,0
"ID84",1,1,1,1,1,1,1,1,1,1
"ID85",0,1,0,0,1,1,1,0,0,1
"ID86",1,0,1,0,0,0,0,1,1,0
"ID87",1,0,1,0,0,0,0,0,1,0
"ID88",1,1,0,1,1,1,1,1,0,0
"ID89",1,1,1,0,0,1,1,0,1,0
"ID90",0,1,0,0,1,0,0,0,1,0
"ID91",1,0,1,0,1,0,1,0,0,1
"ID92",1,1,1,1,1,0,0,1,0,0
"ID93",0,1,1,0,1,1,1,0,1,1
"ID94",0,0,0,0,1,0,0,0,0,1
"ID95",0,0,1,0,0,0,1,0,0,0
"ID96",0,0,1,0,1,0,1,0,1,1
"ID97",1,1,1,0,1,1,0,1,1,1
"ID98",0,1,1,0,1,1,0,1,1,0
"ID99",1,0,0,1,1,0,0,0,1,1
"ID100",0,1,0,1,1,1,0,0,1,0
