"","A1","A2","A3"
"ID1",1,1,1
"ID2",1,1,1
"ID3",0,0,1
"ID4",0,0,1
"ID5",0,0,1
"ID6",0,0,1
"ID7",0,1,0
"ID8",0,0,1
"ID9",0,0,1
"ID10",0,0,1
"ID11",0,1,1
"ID12",1,1,1
"ID13",0,0,1
"ID14",0,0,1
"ID15",0,1,1
"ID16",0,0,1
"ID17",0,1,1
"ID18",0,0,1
"ID19",0,0,1
"ID20",0,1,1
"ID21",0,1,1
"ID22",0,0,0
"ID23",0,0,1
"ID24",0,0,1
"ID25",0,1,1
"ID26",0,0,1
"ID27",0,1,1
"ID28",0,1,1
"ID29",0,1,1
"ID30",0,1,0
"ID31",0,0,1
"ID32",0,0,0
"ID33",1,0,1
"ID34",0,1,1
"ID35",0,1,1
"ID36",0,0,1
"ID37",0,0,1
"ID38",0,0,0
"ID39",1,1,1
"ID40",1,0,0
"ID41",0,1,1
"ID42",0,1,1
"ID43",0,0,1
"ID44",0,1,1
"ID45",0,1,1
"ID46",0,0,1
"ID47",0,1,1
"ID48",0,0,1
"ID49",0,0,1
"ID50",1,1,1
"ID51",1,0,1
"ID52",0,1,1
"ID53",0,0,0
"ID54",1,1,1
"ID55",0,0,1
"ID56",0,0,1
"ID57",0,1,1
"ID58",1,0,1
"ID59",0,1,1
"ID60",0,1,1
"ID61",0,1,1
"ID62",0,1,1
"ID63",1,0,1
"ID64",0,1,1
"ID65",0,0,0
"ID66",1,1,1
"ID67",0,0,1
"ID68",0,0,1
"ID69",1,1,1
"ID70",0,1,1
"ID71",0,0,0
"ID72",1,1,1
"ID73",1,1,1
"ID74",0,0,0
"ID75",0,1,1
"ID76",0,0,1
"ID77",0,1,1
"ID78",1,1,1
"ID79",0,1,1
"ID80",0,1,1
"ID81",0,1,1
"ID82",0,1,1
"ID83",0,1,0
"ID84",0,1,1
"ID85",0,0,1
"ID86",0,0,0
"ID87",0,1,1
"ID88",0,1,1
"ID89",0,1,1
"ID90",0,1,1
"ID91",0,1,1
"ID92",0,1,1
"ID93",0,1,1
"ID94",0,0,1
"ID95",0,1,1
"ID96",0,1,1
"ID97",0,0,1
"ID98",0,0,1
"ID99",0,0,1
"ID100",0,1,1
"ID101",0,0,1
"ID102",0,1,1
"ID103",0,0,1
"ID104",1,1,1
"ID105",0,0,1
"ID106",0,0,1
"ID107",0,1,0
"ID108",0,1,1
"ID109",1,1,1
"ID110",0,1,1
"ID111",0,1,1
"ID112",0,0,0
"ID113",0,1,1
"ID114",1,1,1
"ID115",1,1,1
"ID116",0,1,0
"ID117",0,0,0
"ID118",0,0,1
"ID119",0,1,1
"ID120",0,0,1
"ID121",0,0,0
"ID122",0,0,1
"ID123",0,0,1
"ID124",0,0,0
"ID125",1,0,1
"ID126",0,1,1
"ID127",0,1,1
"ID128",0,1,1
"ID129",0,0,1
"ID130",0,1,1
"ID131",1,1,1
"ID132",0,1,1
