"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,1,0,0,1,0,0
"ID2",0,0,1,1,0,0,1,0,0,0
"ID3",0,0,1,1,1,0,1,1,1,0
"ID4",0,0,0,1,1,0,0,0,0,0
"ID5",1,1,1,1,1,0,0,0,0,1
"ID6",0,0,1,0,0,0,1,0,1,1
"ID7",0,1,1,1,1,0,0,1,0,0
"ID8",0,1,0,1,1,0,0,1,0,0
"ID9",1,1,1,0,1,0,1,0,0,1
"ID10",1,0,1,0,0,0,0,0,0,0
"ID11",0,0,0,1,0,0,0,0,0,0
"ID12",1,1,1,1,1,0,1,0,1,1
"ID13",1,1,1,1,0,1,1,1,1,1
"ID14",1,0,1,0,0,0,0,0,1,0
"ID15",0,1,0,1,1,0,0,0,0,0
"ID16",0,1,1,1,1,0,0,1,1,1
"ID17",0,0,0,0,0,1,0,0,0,0
"ID18",0,1,1,0,0,0,0,0,1,1
"ID19",1,1,1,0,0,1,1,1,1,1
"ID20",1,0,0,1,1,1,1,1,0,1
"ID21",0,1,1,0,1,1,1,0,1,1
"ID22",1,1,1,1,1,0,1,1,1,0
"ID23",0,1,1,1,0,1,0,1,0,1
"ID24",0,1,1,0,1,1,1,0,1,1
"ID25",1,1,0,1,1,0,1,1,1,1
"ID26",0,0,0,0,0,0,0,0,0,1
"ID27",0,0,0,1,0,0,1,1,1,0
"ID28",1,1,0,1,1,1,1,1,1,0
"ID29",0,1,1,1,1,0,1,0,0,0
"ID30",0,0,0,1,0,0,1,1,0,0
"ID31",0,0,1,0,1,0,1,1,1,0
"ID32",0,0,1,1,1,1,0,0,0,0
"ID33",0,1,1,0,1,1,1,0,1,1
"ID34",0,0,1,1,0,0,1,0,1,0
"ID35",0,1,1,1,0,0,1,0,0,1
"ID36",0,1,0,0,0,0,0,0,1,0
"ID37",1,1,1,1,1,0,0,1,1,0
"ID38",0,1,1,1,1,0,1,0,1,0
"ID39",0,0,1,1,0,0,0,1,0,0
"ID40",0,0,1,0,0,1,0,0,0,0
"ID41",0,0,0,0,0,0,0,0,1,1
"ID42",1,1,1,1,1,0,1,0,1,1
"ID43",0,1,0,0,0,0,0,0,0,0
"ID44",0,1,1,1,1,0,1,1,0,1
"ID45",0,0,1,1,0,0,1,0,0,0
"ID46",1,1,1,0,0,0,1,0,0,1
"ID47",0,0,1,1,1,0,0,0,1,1
"ID48",1,1,1,0,1,0,1,1,0,1
"ID49",0,1,1,0,1,0,1,0,1,1
