"","A1","A2","A3"
"ID1",0,0,1
"ID2",0,1,1
"ID3",0,0,1
"ID4",0,1,1
"ID5",1,0,1
"ID6",0,1,1
"ID7",0,0,0
"ID8",0,0,1
"ID9",0,1,1
"ID10",0,0,1
"ID11",0,1,1
"ID12",1,1,1
"ID13",0,1,1
"ID14",0,1,1
"ID15",0,0,1
"ID16",0,0,0
"ID17",0,1,1
"ID18",0,0,1
"ID19",0,0,0
"ID20",0,1,1
"ID21",0,1,1
"ID22",0,1,1
"ID23",0,1,1
"ID24",0,1,1
"ID25",0,1,1
"ID26",0,1,0
"ID27",0,0,0
"ID28",0,0,0
"ID29",0,1,1
"ID30",0,1,0
"ID31",0,0,1
"ID32",0,0,1
"ID33",0,0,0
"ID34",0,1,1
"ID35",0,1,1
"ID36",0,0,0
"ID37",0,1,1
"ID38",0,0,1
"ID39",0,1,1
"ID40",0,0,1
"ID41",0,1,1
"ID42",0,0,1
"ID43",0,1,0
"ID44",1,1,1
"ID45",0,1,1
"ID46",0,0,1
"ID47",0,1,1
"ID48",0,1,1
"ID49",0,0,1
"ID50",0,1,1
