"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"ID2",0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"ID3",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"ID4",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ID5",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ID6",0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0
"ID7",1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
"ID8",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ID9",0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0
"ID10",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ID11",0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
"ID12",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"ID13",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0
"ID14",0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0
"ID15",0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1
"ID16",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ID17",1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"ID18",1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
"ID19",0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"ID20",0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
"ID21",0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
"ID22",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ID23",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ID24",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"ID25",1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
"ID26",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"ID27",0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
"ID28",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"ID29",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"ID30",0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"ID31",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"ID32",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"ID33",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ID34",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"ID35",0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"ID36",0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"ID37",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ID38",1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"ID39",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ID40",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
"ID41",1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
"ID42",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ID43",0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"ID44",0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"ID45",0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
"ID46",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"ID47",0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0
"ID48",1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0
"ID49",0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0
"ID50",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
