"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1
"ID2",1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
"ID3",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1
"ID4",0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
"ID5",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ID6",0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"ID7",1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1
"ID8",0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0
"ID9",0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0
"ID10",1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
"ID11",0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1
"ID12",0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1
"ID13",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
"ID14",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"ID15",0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1
"ID16",1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0
"ID17",1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"ID18",0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0
"ID19",0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0
"ID20",0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
"ID21",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"ID22",0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1
"ID23",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"ID24",1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1
"ID25",0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"ID26",0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1
"ID27",1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
"ID28",1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0
"ID29",0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1
"ID30",0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
"ID31",0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
"ID32",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
"ID33",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ID34",0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1
"ID35",0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
"ID36",1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1
"ID37",0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"ID38",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"ID39",1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
"ID40",1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
