"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
"ID2",1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0
"ID3",0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"ID4",0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1
"ID5",1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0
"ID6",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ID7",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
"ID8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
"ID9",0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
"ID10",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"ID11",0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
"ID12",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
"ID13",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"ID14",1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
"ID15",1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1
"ID16",1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
"ID17",1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0
"ID18",1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
"ID19",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"ID20",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"ID21",1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
"ID22",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"ID23",0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
"ID24",0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
"ID25",0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
"ID26",0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0
"ID27",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"ID28",1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
"ID29",1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"ID30",1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1
"ID31",1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0
"ID32",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"ID33",0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"ID34",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
"ID35",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ID36",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
