"","P(0)","1-P(1)"
"Item1",0.2312,0.2653
"Item2",0.1848,0.2661
"Item3",0.2476,0.1844
"Item4",0.1896,0.2118
"Item5",0.2167,0.2849
"Item6",0.2716,0.1583
"Item7",0.1814,0.2794
"Item8",0.1507,0.2202
"Item9",0.2306,0.2989
"Item10",0.2137,0.1949
"Item11",0.2308,0.2782
"Item12",0.2148,0.2151
"Item13",0.2478,0.2013
"Item14",0.2092,0.2379
"Item15",0.2246,0.2615
"Item16",0.212,0.1537
"Item17",0.1564,0.2631
"Item18",0.1872,0.2438
"Item19",0.1542,0.1505
"Item20",0.2136,0.1795
"Item21",0.1555,0.206
"Item22",0.2671,0.2686
"Item23",0.1583,0.2221
"Item24",0.2907,0.246
"Item25",0.2354,0.2314
"Item26",0.1558,0.2377
"Item27",0.1622,0.2813
"Item28",0.1982,0.2497
"Item29",0.2607,0.1766
"Item30",0.29,0.202
