"","A1","A2","A3","A4","A5"
"ID1",0,0,1,1,1
"ID2",0,1,1,1,1
"ID3",0,0,1,0,0
"ID4",0,0,1,0,0
"ID5",0,1,0,1,0
"ID6",0,0,0,1,1
"ID7",0,1,0,1,0
"ID8",0,0,0,0,0
"ID9",0,0,1,1,1
"ID10",0,0,1,1,1
"ID11",0,0,0,0,1
"ID12",0,1,0,1,1
"ID13",0,0,1,1,1
"ID14",0,0,0,1,1
"ID15",1,1,1,1,1
"ID16",0,0,0,1,1
"ID17",0,0,1,0,1
"ID18",0,0,0,1,1
"ID19",1,0,1,1,1
"ID20",0,0,1,1,1
"ID21",1,1,1,1,1
"ID22",0,0,0,0,1
"ID23",0,0,0,1,1
"ID24",1,0,1,1,1
"ID25",0,0,1,1,1
"ID26",0,1,1,1,1
"ID27",0,0,1,1,1
"ID28",0,0,0,1,1
"ID29",1,0,1,1,1
"ID30",1,0,1,1,1
"ID31",0,0,1,1,1
"ID32",0,0,0,1,0
"ID33",0,0,1,1,1
"ID34",0,0,0,1,1
"ID35",0,0,0,0,0
"ID36",0,0,1,0,1
"ID37",1,0,0,1,1
"ID38",1,1,1,0,1
"ID39",0,0,1,1,1
"ID40",1,0,1,1,0
"ID41",1,1,0,1,1
"ID42",0,1,0,0,1
"ID43",0,1,0,1,1
"ID44",0,0,1,0,1
"ID45",1,1,0,0,1
"ID46",1,1,1,1,1
"ID47",0,1,1,1,1
"ID48",0,0,0,1,1
"ID49",0,0,0,0,1
"ID50",0,0,1,1,1
"ID51",0,0,1,1,1
"ID52",1,1,1,1,1
"ID53",0,0,1,1,1
"ID54",0,0,0,1,1
"ID55",0,1,0,1,1
"ID56",0,0,0,1,1
"ID57",0,0,1,1,1
"ID58",0,0,0,0,1
"ID59",0,1,1,1,1
"ID60",0,0,0,1,1
"ID61",0,0,0,0,1
"ID62",0,1,1,0,1
"ID63",0,0,0,0,1
"ID64",0,1,0,1,1
"ID65",0,0,1,1,1
"ID66",0,0,0,0,1
"ID67",0,0,0,1,1
"ID68",0,0,0,1,0
"ID69",1,0,1,0,0
"ID70",0,1,0,0,1
"ID71",1,1,1,1,1
"ID72",0,0,1,0,0
"ID73",0,0,0,0,1
"ID74",0,0,0,1,0
"ID75",0,1,1,1,1
"ID76",0,0,1,1,1
"ID77",0,0,0,0,1
"ID78",0,0,0,0,1
"ID79",0,0,0,0,1
"ID80",1,0,0,1,1
"ID81",0,0,1,1,1
"ID82",0,1,0,0,1
"ID83",0,1,0,1,1
"ID84",0,0,1,0,1
"ID85",1,1,0,1,1
"ID86",0,0,1,1,1
"ID87",0,0,0,0,1
"ID88",0,0,1,1,1
"ID89",0,1,0,0,1
"ID90",0,0,0,0,1
"ID91",0,0,0,0,0
"ID92",1,0,1,0,1
"ID93",0,1,1,1,1
