"","P(0)","1-P(1)"
"Item1",0.1558,0.1661
"Item2",0.2626,0.2108
"Item3",0.2477,0.2385
"Item4",0.1851,0.2903
"Item5",0.1525,0.1634
"Item6",0.2773,0.152
"Item7",0.2494,0.1519
"Item8",0.2188,0.2944
"Item9",0.2244,0.2706
"Item10",0.2552,0.2285
"Item11",0.2376,0.2192
"Item12",0.1828,0.1577
"Item13",0.218,0.1911
"Item14",0.2411,0.2377
"Item15",0.1893,0.2149
"Item16",0.2894,0.2784
"Item17",0.1632,0.1828
"Item18",0.2703,0.2463
"Item19",0.2844,0.1829
"Item20",0.2426,0.2072
"Item21",0.2445,0.163
"Item22",0.2945,0.1699
"Item23",0.2306,0.2227
"Item24",0.2019,0.2785
"Item25",0.1907,0.2888
"Item26",0.2048,0.1753
"Item27",0.2624,0.2711
"Item28",0.2594,0.2355
"Item29",0.185,0.2976
"Item30",0.1909,0.1564
